file,rows,units,columns
evidencia/episodio_2023_03_24_equity_daily.csv,2,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;equity;free_spot;free_futures;debt;status;partial_day;BTCUSDT_average;BTCUSDT_collateral;BTCUSDT_fees;BTCUSDT_funding;BTCUSDT_liquidation_fees;BTCUSDT_mark;BTCUSDT_realized_futures;BTCUSDT_realized_spot;BTCUSDT_short;BTCUSDT_slippage;BTCUSDT_spot;BTCUSDT_spot_cost;BTCUSDT_spot_price;ETHUSDT_average;ETHUSDT_collateral;ETHUSDT_fees;ETHUSDT_funding;ETHUSDT_liquidation_fees;ETHUSDT_mark;ETHUSDT_realized_futures;ETHUSDT_realized_spot;ETHUSDT_short;ETHUSDT_slippage;ETHUSDT_spot;ETHUSDT_spot_cost;ETHUSDT_spot_price;source_run_id
evidencia/episodio_2023_03_24_fills.csv,6,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;fill_id;order_id;market;side;quantity;price;reference_price;trade_id;fee_rate;liquidation;participation;recent_volume_quantity;partial;remaining_quantity;window_start;window_end;slippage_rate;execution_model;window_base_volume;window_quote_volume;max_volume_participation;capacity_used;fill_reason;source_file;window_end_utc;window_start_utc;participation_window_seconds;purpose;rounding_cost;source_run_id
evidencia/episodio_2023_03_24_fills_verificados.csv,6,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;market;fill_id;time_ns;timestamp_utc;quantity;price;reference_vwap;expected_adverse_price;volume_base;realized_participation;window_start;available_at;verified;strategy;source_run_id
evidencia/episodio_2023_03_24_funding_payments.csv,6,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;event_id;kind;amount_usdt;funding;short;debt;average;collateral;collateral_change;fee;free_futures;free_spot;pnl;spot;source_run_id
evidencia/episodio_2023_03_24_ledger.csv,12,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;event_id;kind;amount_usdt;fee;free_spot;free_futures;debt;spot;short;average;collateral;base_fee_quantity;cash_futures_change;cash_spot_change;collateral_change;debt_change;fee_asset;funding;liquidation_fee;open_loss;pnl;price;quantity;reference_price;spot_cost;spot_proceeds;transfer_futures_to_spot;source_run_id
evidencia/episodio_2023_03_24_orders.csv,732,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;order_id;market;side;quantity;submitted_at;deadline;purpose;status;action;record_type;deadline_utc;submitted_at_utc;window_end_utc;window_start_utc;cancel_requested_at;filled_quantity;recent_volume_quantity;reference_ids;remaining_quantity;vwap_notional;vwap_quantity;window_end;window_start;source_run_id
evidencia/episodio_2023_03_24_positions.csv,19,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;state;snapshot_kind;spot;short;average;collateral;spot_cost;realized_spot;realized_futures;funding;fees;liquidation_fees;slippage;spot_price;mark_price;dust_spot;tradable_spot;mark_available_at_utc;mark_close_time_ns_utc;spot_price_time_ns_utc;mark_age_seconds;mark_available_at;mark_close_time_ns;spot_price_age_seconds;spot_price_time_ns;source_run_id
evidencia/episodio_2023_03_24_risk_events.csv,372,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;kind;cause;previous;state;order_id;cycle_id;next_expiry_utc;liquidation;next_expiry;purpose;source_run_id
evidencia/episodio_2023_03_24_signals.csv,12,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;anchor;history_start;forecast;no_change;valid;forecast_reason;decision;estimated_cycle_cost;basis;anchor_utc;history_start_utc;mark_available_at_utc;mark_open_time_utc;available_cash;basis_above_max;basis_negative;basis_raw;budget_reason;budget_required_cash;cooldown_until;cost_futures_close_fee;cost_futures_open_fee;cost_slippage_per_order;cost_slippage_total;cost_spot_close_fee;cost_spot_open_fee;current_short;current_spot;data_valid;decision_kind;decision_time;equity_snapshot;filter_basis_above_max;filter_basis_negative;filter_budget;filter_cooldown;filter_coverage;filter_data_valid;filter_debt;filter_forecast;filter_freshness;filter_funding;filter_mark;filter_operational;filter_order;filter_pending_orders;filter_price_alignment;filter_rules;filter_sizing;filter_state_active;forecast_anchor;forecast_available_at;forecast_cost_gap;forecast_history_start;forecast_no_change;funding_anchor;futures_available_at;futures_end_time;futures_open_time;futures_price;futures_price_time;latest_funding_available_at;latest_funding_time;mark_available_at;mark_open_time;mark_price;mark_time;planned_hedge_error;portfolio_state;price_alignment_enforced;proposed_futures_quantity;proposed_futures_side;proposed_gross_spot;proposed_net_spot;proposed_short;proposed_short_delta;proposed_spot_delta;proposed_spot_side;prospective_pair_feasible;prospective_sizing_reason;sequential_rejection;simultaneous_not_evaluable;simultaneous_rejections;sizing_enforcement;sizing_feasible;sizing_futures_price;sizing_futures_price_time;sizing_reason;sizing_spot_price;sizing_spot_price_time;spot_available_at;spot_end_time;spot_open_time;spot_price;spot_price_time;target_quantity;target_usdt;unallocated_target_usdt;source_run_id
evidencia/episodio_2023_03_24_velas.csv,524,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;market;open_time;end_time;available_at;open;high;low;close;base_volume;quote_volume;trade_count;source_file;open_time_utc;source_partition
