method,strategy,symbol,first_open_utc,last_open_utc,checks,spot_min,spot_max,short_min,short_max,collateral_min,collateral_max,mark_min,mark_max,max_margin_ratio,min_liquidation_distance,close_causes
futures_scaled,conditional,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,0.05300678,0.05300678,0.053,0.053,1665.391455354141656662665066,1665.391455354141656662665066,58232.32264116708687299819921,58287.89117834583831635668822,0.006481089392783261633190071417,0.6107372436722490287654929263,[]
futures_scaled,conditional,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:57:00.000000000Z,1,0,0,0,0,0,0,1070.589963129941287931823061,1070.589963129941287931823061,,,[]
futures_scaled,conditional,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:07:00.000000000Z,1,0,0,0,0,0,0,1075.049892087000204662585819,1075.049892087000204662585819,,,[]
futures_scaled,conditional,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:21:00.000000000Z,7,0,0,0,0,0,0,1075.460130665425779432294090,1076.881161470451372731503025,,,[]
futures_scaled,conditional,ETHUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:52:00.000000000Z,1,0,0,0,0,0,0,1071.779410166643327265088923,1071.779410166643327265088923,,,[]
futures_scaled,conditional,ETHUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T06:59:00.000000000Z,1,0,0,0,0,0,0,1061.040045263376270674990098,1061.040045263376270674990098,,,[]
futures_scaled,conditional,ETHUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,0.0000560,0.0000560,0.000,0.000,0E-24,0E-24,2594.013763909774436090225563,2597.629735338345864661654134,,,[]
futures_scaled,permanent,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,0.05900933,0.05900933,0.059,0.059,1793.739328493475895084933460,1793.739328493475895084933460,58232.32264116708687299819921,58287.89117834583831635668822,0.007091120039806547484267780596,0.5578543655376705721559834126,[]
futures_scaled,permanent,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:57:00.000000000Z,1,0.0000690,0.0000690,0.000,0.000,0E-24,0E-24,1070.589963129941287931823061,1070.589963129941287931823061,,,[]
futures_scaled,permanent,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:07:00.000000000Z,1,0.0000690,0.0000690,0.000,0.000,0E-24,0E-24,1075.049892087000204662585819,1075.049892087000204662585819,,,[]
futures_scaled,permanent,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:21:00.000000000Z,7,0.0000690,0.0000690,0.000,0.000,0E-24,0E-24,1075.460130665425779432294090,1076.881161470451372731503025,,,[]
futures_scaled,permanent,ETHUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:52:00.000000000Z,1,0.0000690,0.0000690,0.000,0.000,0E-24,0E-24,1071.779410166643327265088923,1071.779410166643327265088923,,,[]
futures_scaled,permanent,ETHUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T06:59:00.000000000Z,1,0.0000690,0.0000690,0.000,0.000,0E-24,0E-24,1061.040045263376270674990098,1061.040045263376270674990098,,,[]
futures_scaled,permanent,ETHUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,1.1900866,1.1900866,1.190,1.190,1914.349087983394981649404313,1914.349087983394981649404313,2594.013763909774436090225563,2597.629735338345864661654134,0.007577572901014337875273073169,0.8457967737471921375376497551,[]
last_official,conditional,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,0.05300678,0.05300678,0.053,0.053,1665.391455354141656662665066,1665.391455354141656662665066,58269.46845611,58269.46845611,0.006475724666644638930178006950,0.6112465011894588343610722118,[]
last_official,conditional,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:57:00.000000000Z,1,0,0,0,0,0,0,1071.38000000,1071.38000000,,,[]
last_official,conditional,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:07:00.000000000Z,1,0,0,0,0,0,0,1074.65000000,1074.65000000,,,[]
last_official,conditional,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:21:00.000000000Z,7,0,0,0,0,0,0,1075.28000000,1075.28000000,,,[]
last_official,conditional,ETHUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:52:00.000000000Z,1,0,0,0,0,0,0,1070.61000000,1070.61000000,,,[]
last_official,conditional,ETHUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T06:59:00.000000000Z,1,0,0,0,0,0,0,1060.56000000,1060.56000000,,,[]
last_official,conditional,ETHUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,0.0000560,0.0000560,0.000,0.000,0E-24,0E-24,2597.79000000,2597.79000000,,,[]
last_official,permanent,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,2,0.05900933,0.05900933,0.059,0.059,1793.739328493475895084933460,1793.739328493475895084933460,58269.46845611,58269.46845611,0.007084909026777820041866600444,0.5583469033798821605810674375,[]
last_official,permanent,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:57:00.000000000Z,1,0.0000690,0.0000690,0.000,0.000,0E-24,0E-24,1071.38000000,1071.38000000,,,[]
