symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,event_id,kind,amount_usdt,fee,free_spot,free_futures,debt,spot,short,average,collateral,base_fee_quantity,cash_futures_change,cash_spot_change,collateral_change,debt_change,fee_asset,funding,liquidation_fee,open_loss,pnl,price,quantity,reference_price,spot_cost,spot_proceeds,transfer_futures_to_spot,source_run_id
ETHUSDT,conditional,True,1679616000013000000,2023-03-24T00:00:00.013000000Z,funding:ETHUSDT:1679616000013000000,funding,0.3037813500000000000,0,5841.700670129514937320868845,306.1184462352364108052275935,0E-26,1.6750090,1.675,1547.962813091530805397814008,1296.672246542901457287165100,,,,0,,,0.3037813500000000000,,,0,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679644800012000000,2023-03-24T08:00:00.012000000Z,funding:ETHUSDT:1679644800012000000,funding,0.3040091500000000000,0,5841.700670129514937320868845,306.4224553852364108052275935,0E-26,1.6750090,1.675,1547.962813091530805397814008,1296.672246542901457287165100,,,,0,,,0.3040091500000000000,,,0,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659200000000000,2023-03-24T12:00:00.000000000Z,fill:fill-conditional-00000017-1679659200000000000,futures_buy,-2.49464523700,1.462970125,5813.557617318065447167434902,1296.672246542901457287165100,0E-26,1.6750090,0.000,0,0E-24,,990.2497911576650464819375065,-28.143052811449490153433943,-1296.672246542901457287165100,0E-26,USDT,,0,,-333.1025380716859009586615366,1746.83,1.675,1746.651222547725505012021826,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679666460000000000,2023-03-24T14:01:00.000000000Z,fill:fill-conditional-00000138-1679666460000000000,spot_sell,-3.269001614451820147149592,2.966358000,8776.949259318065447167434902,1296.672246542901457287165100,0E-26,0.0000090,0.000,0,0E-24,,0E-24,2963.391642000000000000000000,0,0E-26,USDT,,,,372.534563311735237426138617,1770.96,1.6750,1771.140682754896609043074383,,2966.358000,,run_ad71d751b20623006c195ff3
BTCUSDT,permanent,False,1679616000013000000,2023-03-24T00:00:00.013000000Z,funding:BTCUSDT:1679616000013000000,funding,0.3083141300000000000,0,1250.166955620000000000000000,647.1146382258716495951843058,0E-26,0.10900772,0.109,26231.94862774828052605830382,1429.206118157930615047014518,,,,0,,,0.3083141300000000000,,,0,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679616000013000000,2023-03-24T00:00:00.013000000Z,funding:ETHUSDT:1679616000013000000,funding,0.3152071560000000000,0,1250.166955620000000000000000,647.4298453818716495951843058,0E-26,1.7380087,1.738,1547.984058211571478310981978,1345.420276892401339880659375,,,,0,,,0.3152071560000000000,,,0,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1679644800012000000,2023-03-24T08:00:00.012000000Z,funding:BTCUSDT:1679644800012000000,funding,0.3081419100000000000,0,1250.166955620000000000000000,647.7379872918716495951843058,0E-26,0.10900772,0.109,26231.94862774828052605830382,1429.206118157930615047014518,,,,0,,,0.3081419100000000000,,,0,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679644800012000000,2023-03-24T08:00:00.012000000Z,funding:ETHUSDT:1679644800012000000,funding,0.3154435240000000000,0,1250.166955620000000000000000,648.0534308158716495951843058,0E-26,1.7380087,1.738,1547.984058211571478310981978,1345.420276892401339880659375,,,,0,,,0.3154435240000000000,,,0,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1679659200000000000,2023-03-24T12:00:00.000000000Z,fill:fill-permanent-00000093-1679659200000000000,futures_buy,-3.33497490000,1.50377490,1250.166955620000000000000000,1927.488374498364841982553940,0E-26,0.10900772,0.000,0,0E-24,,1279.434943682493192387369634,0E-24,-1429.206118157930615047014518,0E-26,USDT,,0,,-148.2673995754374226596448836,27592.2,0.109,27589.35746521915028068755914,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679659200000000000,2023-03-24T12:00:00.000000000Z,fill:fill-permanent-00000094-1679659200000000000,futures_buy,-2.58847368472,1.517995270,1250.166955620000000000000000,2925.796409292477411167699993,0E-26,1.7380087,0.000,0,0E-24,,998.308034794112569185146053,0E-24,-1345.420276892401339880659375,0E-26,USDT,,0,,-345.5942468282887706955133222,1746.83,1.738,1746.651222547725505012021826,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1679666460000000000,2023-03-24T14:01:00.000000000Z,fill:fill-permanent-00000335-1679666460000000000,spot_sell,-3.354564821414854056620142,3.0490003200,4296.118275300000000000000000,2925.796409292477411167699993,0E-26,0.00000772,0.000,0,0E-24,,0E-24,3045.951319680000000000000000,0,0E-26,USDT,,,,189.380802950323812614544163,27972.48,0.10900,27975.28334404967756015247837,,3049.0003200,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679666460000000000,2023-03-24T14:01:00.000000000Z,fill:fill-permanent-00000336-1679666460000000000,spot_sell,-3.391955108010306516863278,3.077928480,7370.968826820000000000000000,2925.796409292477411167699993,0E-26,0.0000087,0.000,0,0E-24,,0E-24,3074.850551520000000000000000,0,0E-26,USDT,,,,384.899170502124042786517738,1770.96,1.7380,1771.140682754896609043074383,,3077.928480,,run_dfea4b7ac1475668d5968c97
