symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,order_id,market,side,quantity,submitted_at,deadline,purpose,status,action,record_type,deadline_utc,submitted_at_utc,window_end_utc,window_start_utc,cancel_requested_at,filled_quantity,recent_volume_quantity,reference_ids,remaining_quantity,vwap_notional,vwap_quantity,window_end,window_start,source_run_id
ETHUSDT,conditional,True,1679659140000000000,2023-03-24T11:59:00.000000000Z,conditional-00000017,futures,BUY,1.675,1679659140000000000,1679659200000000000,close_perp,pending,submitted,event,2023-03-24T12:00:00.000000000Z,2023-03-24T11:59:00.000000000Z,2023-03-24T12:00:00.000000000Z,2023-03-24T11:59:00.000000000Z,,0,15170.864,[],1.675,0,0,1679659200000000000,1679659140000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659200000000000,2023-03-24T12:00:00.000000000Z,conditional-00000017,futures,BUY,1.675,1679659140000000000,1679659200000000000,close_perp,filled,filled,event,2023-03-24T12:00:00.000000000Z,2023-03-24T11:59:00.000000000Z,2023-03-24T12:00:00.000000000Z,2023-03-24T11:59:00.000000000Z,,1.675,15170.864,[],0.000,0,0,1679659200000000000,1679659140000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659200000000000,2023-03-24T12:00:00.000000000Z,conditional-00000018,spot,SELL,1.6750,1679659200000000000,1679659260000000000,close_spot,pending,submitted,event,2023-03-24T12:01:00.000000000Z,2023-03-24T12:00:00.000000000Z,2023-03-24T12:01:00.000000000Z,2023-03-24T12:00:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659260000000000,1679659200000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659260000000000,2023-03-24T12:01:00.000000000Z,conditional-00000018,spot,SELL,1.6750,1679659200000000000,1679659260000000000,close_spot,expired,timeout,event,2023-03-24T12:01:00.000000000Z,2023-03-24T12:00:00.000000000Z,2023-03-24T12:01:00.000000000Z,2023-03-24T12:00:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659260000000000,1679659200000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659260000000000,2023-03-24T12:01:00.000000000Z,conditional-00000019,spot,SELL,1.6750,1679659260000000000,1679659320000000000,close_spot,pending,submitted,event,2023-03-24T12:02:00.000000000Z,2023-03-24T12:01:00.000000000Z,2023-03-24T12:02:00.000000000Z,2023-03-24T12:01:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659320000000000,1679659260000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659320000000000,2023-03-24T12:02:00.000000000Z,conditional-00000019,spot,SELL,1.6750,1679659260000000000,1679659320000000000,close_spot,expired,timeout,event,2023-03-24T12:02:00.000000000Z,2023-03-24T12:01:00.000000000Z,2023-03-24T12:02:00.000000000Z,2023-03-24T12:01:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659320000000000,1679659260000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659320000000000,2023-03-24T12:02:00.000000000Z,conditional-00000020,spot,SELL,1.6750,1679659320000000000,1679659380000000000,close_spot,pending,submitted,event,2023-03-24T12:03:00.000000000Z,2023-03-24T12:02:00.000000000Z,2023-03-24T12:03:00.000000000Z,2023-03-24T12:02:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659380000000000,1679659320000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659380000000000,2023-03-24T12:03:00.000000000Z,conditional-00000020,spot,SELL,1.6750,1679659320000000000,1679659380000000000,close_spot,expired,timeout,event,2023-03-24T12:03:00.000000000Z,2023-03-24T12:02:00.000000000Z,2023-03-24T12:03:00.000000000Z,2023-03-24T12:02:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659380000000000,1679659320000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659380000000000,2023-03-24T12:03:00.000000000Z,conditional-00000021,spot,SELL,1.6750,1679659380000000000,1679659440000000000,close_spot,pending,submitted,event,2023-03-24T12:04:00.000000000Z,2023-03-24T12:03:00.000000000Z,2023-03-24T12:04:00.000000000Z,2023-03-24T12:03:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659440000000000,1679659380000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659440000000000,2023-03-24T12:04:00.000000000Z,conditional-00000021,spot,SELL,1.6750,1679659380000000000,1679659440000000000,close_spot,expired,timeout,event,2023-03-24T12:04:00.000000000Z,2023-03-24T12:03:00.000000000Z,2023-03-24T12:04:00.000000000Z,2023-03-24T12:03:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659440000000000,1679659380000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659440000000000,2023-03-24T12:04:00.000000000Z,conditional-00000022,spot,SELL,1.6750,1679659440000000000,1679659500000000000,close_spot,pending,submitted,event,2023-03-24T12:05:00.000000000Z,2023-03-24T12:04:00.000000000Z,2023-03-24T12:05:00.000000000Z,2023-03-24T12:04:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659500000000000,1679659440000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659500000000000,2023-03-24T12:05:00.000000000Z,conditional-00000022,spot,SELL,1.6750,1679659440000000000,1679659500000000000,close_spot,expired,timeout,event,2023-03-24T12:05:00.000000000Z,2023-03-24T12:04:00.000000000Z,2023-03-24T12:05:00.000000000Z,2023-03-24T12:04:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659500000000000,1679659440000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659500000000000,2023-03-24T12:05:00.000000000Z,conditional-00000023,spot,SELL,1.6750,1679659500000000000,1679659560000000000,close_spot,pending,submitted,event,2023-03-24T12:06:00.000000000Z,2023-03-24T12:05:00.000000000Z,2023-03-24T12:06:00.000000000Z,2023-03-24T12:05:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659560000000000,1679659500000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659560000000000,2023-03-24T12:06:00.000000000Z,conditional-00000023,spot,SELL,1.6750,1679659500000000000,1679659560000000000,close_spot,expired,timeout,event,2023-03-24T12:06:00.000000000Z,2023-03-24T12:05:00.000000000Z,2023-03-24T12:06:00.000000000Z,2023-03-24T12:05:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659560000000000,1679659500000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659560000000000,2023-03-24T12:06:00.000000000Z,conditional-00000024,spot,SELL,1.6750,1679659560000000000,1679659620000000000,close_spot,pending,submitted,event,2023-03-24T12:07:00.000000000Z,2023-03-24T12:06:00.000000000Z,2023-03-24T12:07:00.000000000Z,2023-03-24T12:06:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659620000000000,1679659560000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659620000000000,2023-03-24T12:07:00.000000000Z,conditional-00000024,spot,SELL,1.6750,1679659560000000000,1679659620000000000,close_spot,expired,timeout,event,2023-03-24T12:07:00.000000000Z,2023-03-24T12:06:00.000000000Z,2023-03-24T12:07:00.000000000Z,2023-03-24T12:06:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659620000000000,1679659560000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659620000000000,2023-03-24T12:07:00.000000000Z,conditional-00000025,spot,SELL,1.6750,1679659620000000000,1679659680000000000,close_spot,pending,submitted,event,2023-03-24T12:08:00.000000000Z,2023-03-24T12:07:00.000000000Z,2023-03-24T12:08:00.000000000Z,2023-03-24T12:07:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659680000000000,1679659620000000000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679659680000000000,2023-03-24T12:08:00.000000000Z,conditional-00000025,spot,SELL,1.6750,1679659620000000000,1679659680000000000,close_spot,expired,timeout,event,2023-03-24T12:08:00.000000000Z,2023-03-24T12:07:00.000000000Z,2023-03-24T12:08:00.000000000Z,2023-03-24T12:07:00.000000000Z,,0,0E-8,[],1.6750,0,0,1679659680000000000,1679659620000000000,run_ad71d751b20623006c195ff3
