symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,anchor,history_start,forecast,no_change,valid,forecast_reason,decision,estimated_cycle_cost,basis,anchor_utc,history_start_utc,mark_available_at_utc,mark_open_time_utc,available_cash,basis_above_max,basis_negative,basis_raw,budget_reason,budget_required_cash,cooldown_until,cost_futures_close_fee,cost_futures_open_fee,cost_slippage_per_order,cost_slippage_total,cost_spot_close_fee,cost_spot_open_fee,current_short,current_spot,data_valid,decision_kind,decision_time,equity_snapshot,filter_basis_above_max,filter_basis_negative,filter_budget,filter_cooldown,filter_coverage,filter_data_valid,filter_debt,filter_forecast,filter_freshness,filter_funding,filter_mark,filter_operational,filter_order,filter_pending_orders,filter_price_alignment,filter_rules,filter_sizing,filter_state_active,forecast_anchor,forecast_available_at,forecast_cost_gap,forecast_history_start,forecast_no_change,funding_anchor,futures_available_at,futures_end_time,futures_open_time,futures_price,futures_price_time,latest_funding_available_at,latest_funding_time,mark_available_at,mark_open_time,mark_price,mark_time,planned_hedge_error,portfolio_state,price_alignment_enforced,proposed_futures_quantity,proposed_futures_side,proposed_gross_spot,proposed_net_spot,proposed_short,proposed_short_delta,proposed_spot_delta,proposed_spot_side,prospective_pair_feasible,prospective_sizing_reason,sequential_rejection,simultaneous_not_evaluable,simultaneous_rejections,sizing_enforcement,sizing_feasible,sizing_futures_price,sizing_futures_price_time,sizing_reason,sizing_spot_price,sizing_spot_price_time,spot_available_at,spot_end_time,spot_open_time,spot_price,spot_price_time,target_quantity,target_usdt,unallocated_target_usdt,source_run_id
BTCUSDT,conditional,True,1679616060013000000,2023-03-24T00:01:00.013000000Z,1679616000013000000,1678406400000000000,0.001109227907315521267356666810,0.00210000,True,,funding_not_above_cost,0.0034,-0.0002872555015788452752829891,2023-03-24T00:00:00.013000000Z,2023-03-10T00:00:00.000000000Z,2023-03-24T00:01:00.000000000Z,2023-03-24T00:00:00.000000000Z,6147.819116364751348126096438,False,True,-0.0002872555015788452752829891,ok,4504.69672760000,0,0.0005,0.0005,0.0001,0.0004,0.001,0.001,0,0,True,entry,1679616060013000000,10038.04890398596690445460000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,pass,1679616000013000000,1679616060013000000,-0.002290772092684478732643333190,1678406400000000000,0.00210000,1679616000013000000,1679616060000000000,1679616060000000000,1679616000000000000,28294.20,1679616060000000000,1679616060013000000,1679616000013000000,1679616060000000000,1679616000000000000,28294.10000000,1679616059999000000,0.00003669676650545560167650451318,FLAT,True,0.106,sell,0.10611,0.10600389,0.106,0.106,0.10600389,buy,True,ok,funding,[],"[""funding"",""basis_negative""]",joint_pair,True,28294.20,1679616060000000000,ok,28302.33000000,1679616060000000000,1679616060000000000,1679616060000000000,1679616000000000000,28302.33000000,1679616060000000000,0.1064016521323788561343316964,3011.414671195790071336380000,11.257595132090071336380000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679616060013000000,2023-03-24T00:01:00.013000000Z,1679616000013000000,1678406400000000000,0.001503665542922058034730445657,0.00210000,True,,state_or_cooldown,0.0034,-0.0002259762449362030479234988,2023-03-24T00:00:00.013000000Z,2023-03-10T00:00:00.000000000Z,2023-03-24T00:01:00.000000000Z,2023-03-24T00:00:00.000000000Z,6147.819116364751348126096438,False,True,-0.0002259762449362030479234988,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.675,1.6750090,True,entry,1679616060013000000,10038.04890398596690445460000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,fail,1679616000013000000,1679616060013000000,-0.001896334457077941965269554343,1678406400000000000,0.00210000,1679616000013000000,1679616060000000000,1679616060000000000,1679616000000000000,1813.94,1679616060000000000,1679616060013000000,1679616000013000000,1679616060000000000,1679616000000000000,1813.93000000,1679616059999000000,0.000005424925362068560206725822464,HOLDING,True,0.016,buy,0.0160,1.6590090,1.659,-0.016,-0.0160000,sell,True,ok,state_active,[],"[""state_active"",""funding"",""basis_negative""]",joint_pair,True,1813.94,1679616060000000000,ok,1814.35000000,1679616060000000000,1679616060000000000,1679616060000000000,1679616000000000000,1814.35000000,1679616060000000000,1.659776047177110299190553091,3011.414671195790071336380000,1.391692045790071336380000,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1679644860012000000,2023-03-24T08:01:00.012000000Z,1679644800012000000,1678435200000000000,0.001313648729105469019518337784,0.002100000072916669198495458281,True,,funding_not_above_cost,0.0034,-0.0002460706477314831837582059,2023-03-24T08:00:00.012000000Z,2023-03-10T08:00:00.000000000Z,2023-03-24T08:01:00.000000000Z,2023-03-24T08:00:00.000000000Z,6148.123125514751348126096438,False,True,-0.0002460706477314831837582059,ok,4501.95061200000,0,0.0005,0.0005,0.0001,0.0004,0.001,0.001,0,0,True,entry,1679644860012000000,10038.67533645246690445460000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,pass,1679644800012000000,1679644860012000000,-0.002086351270894530980481662216,1678435200000000000,0.002100000072916669198495458281,1679644800012000000,1679644860000000000,1679644860000000000,1679644800000000000,28277.60,1679644860000000000,1679644860012000000,1679644800012000000,1679644860000000000,1679644800000000000,28277.70000000,1679644859999000000,0.00003669676650545560167650451318,FLAT,True,0.106,sell,0.10611,0.10600389,0.106,0.106,0.10600389,buy,True,ok,funding,[],"[""funding"",""basis_negative""]",joint_pair,True,28277.60,1679644860000000000,ok,28284.56000000,1679644860000000000,1679644860000000000,1679644860000000000,1679644800000000000,28284.56000000,1679644860000000000,0.1064751440692639401615715429,3011.602600935740071336380000,13.329213997340071336380000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679644860012000000,2023-03-24T08:01:00.012000000Z,1679644800012000000,1678435200000000000,0.001626715738470646036048909748,0.002100000072916669198495458281,True,,state_or_cooldown,0.0034,-0.0004186958725401617488265497,2023-03-24T08:00:00.012000000Z,2023-03-10T08:00:00.000000000Z,2023-03-24T08:01:00.000000000Z,2023-03-24T08:00:00.000000000Z,6148.123125514751348126096438,False,True,-0.0004186958725401617488265497,ok,0,1673769840000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.675,1.6750090,True,entry,1679644860012000000,10038.67533645246690445460000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,fail,1679644800012000000,1679644860012000000,-0.001773284261529353963951090252,1678435200000000000,0.002100000072916669198495458281,1679644800012000000,1679644860000000000,1679644860000000000,1679644800000000000,1814.40,1679644860000000000,1679644860012000000,1679644800012000000,1679644860000000000,1679644800000000000,1814.54751282,1679644859999000000,0.000005424925362068560206725822464,HOLDING,True,0.016,buy,0.0160,1.6590090,1.659,-0.016,-0.0160000,sell,True,ok,state_active,[],"[""state_active"",""funding"",""basis_negative""]",joint_pair,True,1814.40,1679644860000000000,ok,1815.16000000,1679644860000000000,1679644860000000000,1679644860000000000,1679644800000000000,1815.16000000,1679644860000000000,1.659138919398697674770477534,3011.602600935740071336380000,0.235824495740071336380000,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1679673660027000000,2023-03-24T16:01:00.027000000Z,1679673600027000000,1678464000005000000,0.001475903238306329762232021184,0.002099998906250569661161634812,True,,funding_not_above_cost,0.0034,-0.0005848268302421482805413234,2023-03-24T16:00:00.027000000Z,2023-03-10T16:00:00.005000000Z,2023-03-24T16:01:00.000000000Z,2023-03-24T16:00:00.000000000Z,10073.62150586096690445460000,False,True,-0.0005848268302421482805413234,ok,4502.55647835,0,0.0005,0.0005,0.0001,0.0004,0.001,0.001,0,0,True,entry,1679673660027000000,10073.63741201096690445460000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,pass,1679673600027000000,1679673660027000000,-0.001924096761693670237767978816,1678464000005000000,0.002099998906250569661161634812,1679673600027000000,1679673660000000000,1679673660000000000,1679673600000000000,28009.00,1679673660000000000,1679673660027000000,1679673600027000000,1679673660000000000,1679673600000000000,28012,1679673659999000000,0.00002700861630933519646058157868,FLAT,True,0.107,sell,0.10711,0.10700289,0.107,0.107,0.10700289,buy,True,ok,funding,[],"[""funding"",""basis_negative""]",joint_pair,True,28009.00,1679673660000000000,ok,28025.39000000,1679673660000000000,1679673660000000000,1679673660000000000,1679673600000000000,28025.39000000,1679673660000000000,0.1078340470410327945957711918,3022.091223603290071336380000,23.293500226190071336380000,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679673660027000000,2023-03-24T16:01:00.027000000Z,1679673600027000000,1678464000005000000,0.001724381654219648128915471808,0.002099998906250569661161634812,True,,state_or_cooldown,0.0034,-0.0004130477834045322092398223,2023-03-24T16:00:00.027000000Z,2023-03-10T16:00:00.005000000Z,2023-03-24T16:01:00.000000000Z,2023-03-24T16:00:00.000000000Z,10073.62150586096690445460000,False,True,-0.0004130477834045322092398223,ok,4534.88103747894,1679752860000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,0.000,0.0000090,True,entry,1679673660027000000,10073.63741201096690445460000,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,pass,1679673600027000000,1679673660027000000,-0.001675618345780351871084528192,1678464000005000000,0.002099998906250569661161634812,1679673600027000000,1679673660000000000,1679673660000000000,1679673600000000000,1766.62,1679673660000000000,1679673660027000000,1679673600027000000,1679673660000000000,1679673600000000000,1766.47411966,1679673659999000000,0.00005745720169853317966164846467,COOLDOWN,True,1.709,sell,1.7108,1.7090982,1.709,1.709,1.7090892,buy,True,ok,cooldown,[],"[""cooldown"",""funding"",""basis_negative""]",joint_pair,True,1766.62,1679673660000000000,ok,1767.35000000,1679673660000000000,1679673660000000000,1679673660000000000,1679673600000000000,1767.35000000,1679673660000000000,1.709956275555656814630028008,3022.091223603290071336380000,1.516519833290071336380000,run_ad71d751b20623006c195ff3
BTCUSDT,permanent,False,1679616060013000000,2023-03-24T00:01:00.013000000Z,1679616000013000000,1678406400000000000,0.001109227907315521267356666810,0.00210000,True,,state_or_cooldown,0.0034,-0.0002872555015788452752829891,2023-03-24T00:00:00.013000000Z,2023-03-10T00:00:00.000000000Z,2023-03-24T00:01:00.000000000Z,2023-03-24T00:00:00.000000000Z,1897.596801001871649595184306,False,True,-0.0002872555015788452752829891,ok,0,1653844620000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,0.109,0.10900772,True,entry,1679616060013000000,10223.76319848107741116770000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,fail,1679616000013000000,1679616060013000000,-0.002290772092684478732643333190,1678406400000000000,0.00210000,1679616000013000000,1679616060000000000,1679616060000000000,1679616000000000000,28294.20,1679616060000000000,1679616060013000000,1679616000013000000,1679616060000000000,1679616000000000000,28294.10000000,1679616059999000000,0.00007351840417066478540815856206,HOLDING,True,0.004,buy,0.00400,0.10500772,0.105,-0.004,-0.00400000,sell,True,ok,state_active,[],"[""state_active"",""funding"",""basis_negative""]",joint_pair,True,28294.20,1679616060000000000,ok,28302.33000000,1679616060000000000,1679616060000000000,1679616060000000000,1679616000000000000,28302.33000000,1679616060000000000,0.1083701928266797547534181815,3067.128959544323223350310000,95.165815556723223350310000,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679616060013000000,2023-03-24T00:01:00.013000000Z,1679616000013000000,1678406400000000000,0.001503665542922058034730445657,0.00210000,True,,state_or_cooldown,0.0034,-0.0002259762449362030479234988,2023-03-24T00:00:00.013000000Z,2023-03-10T00:00:00.000000000Z,2023-03-24T00:01:00.000000000Z,2023-03-24T00:00:00.000000000Z,1897.596801001871649595184306,False,True,-0.0002259762449362030479234988,ok,0,1673856480000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.738,1.7380087,True,entry,1679616060013000000,10223.76319848107741116770000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,fail,1679616000013000000,1679616060013000000,-0.001896334457077941965269554343,1678406400000000000,0.00210000,1679616000013000000,1679616060000000000,1679616060000000000,1679616000000000000,1813.94,1679616060000000000,1679616060013000000,1679616000013000000,1679616060000000000,1679616000000000000,1813.93000000,1679616059999000000,0.000005147902493046337572108356602,HOLDING,True,0.048,buy,0.0480,1.6900087,1.690,-0.048,-0.0480000,sell,True,ok,state_active,[],"[""state_active"",""funding"",""basis_negative""]",joint_pair,True,1813.94,1679616060000000000,ok,1814.35000000,1679616060000000000,1679616060000000000,1679616060000000000,1679616000000000000,1814.35000000,1679616060000000000,1.690483621982706326425612478,3067.128959544323223350310000,0.861674699323223350310000,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1679644860012000000,2023-03-24T08:01:00.012000000Z,1679644800012000000,1678435200000000000,0.001313648729105469019518337784,0.002100000072916669198495458281,True,,state_or_cooldown,0.0034,-0.0002460706477314831837582059,2023-03-24T08:00:00.012000000Z,2023-03-10T08:00:00.000000000Z,2023-03-24T08:01:00.000000000Z,2023-03-24T08:00:00.000000000Z,1898.220386435871649595184306,False,True,-0.0002460706477314831837582059,ok,0,1653844620000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,0.109,0.10900772,True,entry,1679644860012000000,10224.57186649651741116770000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,fail,1679644800012000000,1679644860012000000,-0.002086351270894530980481662216,1678435200000000000,0.002100000072916669198495458281,1679644800012000000,1679644860000000000,1679644860000000000,1679644800000000000,28277.60,1679644860000000000,1679644860012000000,1679644800012000000,1679644860000000000,1679644800000000000,28277.70000000,1679644859999000000,0.00007351840417066478540815856206,HOLDING,True,0.004,buy,0.00400,0.10500772,0.105,-0.004,-0.00400000,sell,True,ok,state_active,[],"[""state_active"",""funding"",""basis_negative""]",joint_pair,True,28277.60,1679644860000000000,ok,28284.56000000,1679644860000000000,1679644860000000000,1679644860000000000,1679644800000000000,28284.56000000,1679644860000000000,0.1084468543950818122449247929,3067.371559948955223350310000,97.274403145755223350310000,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1679644860012000000,2023-03-24T08:01:00.012000000Z,1679644800012000000,1678435200000000000,0.001626715738470646036048909748,0.002100000072916669198495458281,True,,state_or_cooldown,0.0034,-0.0004186958725401617488265497,2023-03-24T08:00:00.012000000Z,2023-03-10T08:00:00.000000000Z,2023-03-24T08:01:00.000000000Z,2023-03-24T08:00:00.000000000Z,1898.220386435871649595184306,False,True,-0.0004186958725401617488265497,ok,0,1673856480000000000,0.0005,0.0005,0.0001,0.0004,0.001,0.001,1.738,1.7380087,True,entry,1679644860012000000,10224.57186649651741116770000,pass,fail,pass,pass,pass,pass,pass,pass,pass,fail,pass,pass,"[""state_active"",""cooldown"",""pending_orders"",""debt"",""coverage"",""forecast"",""rules"",""operational"",""mark"",""price_alignment"",""freshness"",""funding"",""basis_negative"",""basis_above_max"",""sizing"",""budget""]",pass,pass,pass,pass,fail,1679644800012000000,1679644860012000000,-0.001773284261529353963951090252,1678435200000000000,0.002100000072916669198495458281,1679644800012000000,1679644860000000000,1679644860000000000,1679644800000000000,1814.40,1679644860000000000,1679644860012000000,1679644800012000000,1679644860000000000,1679644800000000000,1814.54751282,1679644859999000000,0.000005150950376987400952996867334,HOLDING,True,0.049,buy,0.0490,1.6890087,1.689,-0.049,-0.0490000,sell,True,ok,state_active,[],"[""state_active"",""funding"",""basis_negative""]",joint_pair,True,1814.40,1679644860000000000,ok,1815.16000000,1679644860000000000,1679644860000000000,1679644860000000000,1679644800000000000,1815.16000000,1679644860000000000,1.689862910128559037963766280,3067.371559948955223350310000,1.550528056955223350310000,run_dfea4b7ac1475668d5968c97
