symbol,market,open_time,end_time,available_at,open,high,low,close,base_volume,quote_volume,trade_count,source_file,open_time_utc,source_partition
BTCUSDT,futures,1679656800000000000,1679656860000000000,1679656860000000000,28012.10,28015.00,28002.30,28011.40,249.486,6988236.39610,1887,BTCUSDT-1m-2023-03.zip,2023-03-24T11:20:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679656800000000000,1679656860000000000,1679656860000000000,28024.27000000,28024.27000000,28014.01000000,28022.96000000,34.41427000,964318.92174610,626,BTCUSDT-1m-2023-03.zip,2023-03-24T11:20:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679656800000000000,1679656860000000000,1679656860000000000,1784.70,1785.87,1784.49,1785.34,901.746,1609758.50119,1185,ETHUSDT-1m-2023-03.zip,2023-03-24T11:20:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679656800000000000,1679656860000000000,1679656860000000000,1785.70000000,1786.70000000,1785.63000000,1786.18000000,137.22840000,245110.86922000,291,ETHUSDT-1m-2023-03.zip,2023-03-24T11:20:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679656860000000000,1679656920000000000,1679656920000000000,28011.30,28032.00,28010.90,28030.40,190.472,5337613.18000,1765,BTCUSDT-1m-2023-03.zip,2023-03-24T11:21:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679656860000000000,1679656920000000000,1679656920000000000,28022.96000000,28040.08000000,28022.96000000,28040.08000000,30.67751000,859960.03439490,612,BTCUSDT-1m-2023-03.zip,2023-03-24T11:21:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679656860000000000,1679656920000000000,1679656920000000000,1785.34,1786.45,1785.08,1786.45,1041.583,1860199.44325,1302,ETHUSDT-1m-2023-03.zip,2023-03-24T11:21:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679656860000000000,1679656920000000000,1679656920000000000,1786.18000000,1787.39000000,1786.03000000,1787.38000000,198.18100000,354092.13386500,322,ETHUSDT-1m-2023-03.zip,2023-03-24T11:21:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679656920000000000,1679656980000000000,1679656980000000000,28030.40,28047.40,28030.40,28047.30,432.723,12134448.04960,3116,BTCUSDT-1m-2023-03.zip,2023-03-24T11:22:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679656920000000000,1679656980000000000,1679656980000000000,28040.08000000,28054.77000000,28040.07000000,28054.76000000,73.74617000,2068565.91726010,1049,BTCUSDT-1m-2023-03.zip,2023-03-24T11:22:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679656920000000000,1679656980000000000,1679656980000000000,1786.45,1787.56,1786.45,1787.55,2274.152,4064042.38891,2195,ETHUSDT-1m-2023-03.zip,2023-03-24T11:22:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679656920000000000,1679656980000000000,1679656980000000000,1787.38000000,1788.16000000,1787.38000000,1788.16000000,237.48840000,424582.48591600,440,ETHUSDT-1m-2023-03.zip,2023-03-24T11:22:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679656980000000000,1679657040000000000,1679657040000000000,28047.30,28082.80,28047.30,28082.70,845.092,23720184.81020,6492,BTCUSDT-1m-2023-03.zip,2023-03-24T11:23:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679656980000000000,1679657040000000000,1679657040000000000,28054.76000000,28091.03000000,28054.76000000,28091.01000000,89.80105000,2521295.03898040,2015,BTCUSDT-1m-2023-03.zip,2023-03-24T11:23:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679656980000000000,1679657040000000000,1679657040000000000,1787.55,1788.96,1787.55,1788.95,4942.871,8838734.17003,3819,ETHUSDT-1m-2023-03.zip,2023-03-24T11:23:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679656980000000000,1679657040000000000,1679657040000000000,1788.15000000,1789.62000000,1788.15000000,1789.62000000,243.75910000,436089.45652300,587,ETHUSDT-1m-2023-03.zip,2023-03-24T11:23:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679657040000000000,1679657100000000000,1679657100000000000,28082.80,28082.80,28068.30,28068.40,428.984,12043357.34930,3185,BTCUSDT-1m-2023-03.zip,2023-03-24T11:24:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679657040000000000,1679657100000000000,1679657100000000000,28091.01000000,28091.02000000,28080.37000000,28080.39000000,67.58316000,1898120.08608460,1007,BTCUSDT-1m-2023-03.zip,2023-03-24T11:24:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679657040000000000,1679657100000000000,1679657100000000000,1788.96,1789.35,1788.09,1788.09,2759.335,4935694.78343,3032,ETHUSDT-1m-2023-03.zip,2023-03-24T11:24:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679657040000000000,1679657100000000000,1679657100000000000,1789.61000000,1789.84000000,1789.09000000,1789.15000000,200.51600000,358821.85080300,387,ETHUSDT-1m-2023-03.zip,2023-03-24T11:24:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679657100000000000,1679657160000000000,1679657160000000000,28068.40,28068.50,28044.50,28044.60,420.561,11798217.30200,3416,BTCUSDT-1m-2023-03.zip,2023-03-24T11:25:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679657100000000000,1679657160000000000,1679657160000000000,28080.38000000,28080.39000000,28060.40000000,28060.40000000,44.74102000,1255828.12673440,927,BTCUSDT-1m-2023-03.zip,2023-03-24T11:25:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679657100000000000,1679657160000000000,1679657160000000000,1788.09,1788.64,1786.80,1786.81,2636.508,4712869.41624,2986,ETHUSDT-1m-2023-03.zip,2023-03-24T11:25:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679657100000000000,1679657160000000000,1679657160000000000,1789.15000000,1789.16000000,1787.95000000,1787.96000000,305.65650000,546622.87819200,531,ETHUSDT-1m-2023-03.zip,2023-03-24T11:25:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679657160000000000,1679657220000000000,1679657220000000000,28044.60,28056.70,28043.00,28053.70,165.541,4643377.38510,1849,BTCUSDT-1m-2023-03.zip,2023-03-24T11:26:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679657160000000000,1679657220000000000,1679657220000000000,28060.41000000,28068.82000000,28058.67000000,28068.79000000,24.35528000,683483.28777930,618,BTCUSDT-1m-2023-03.zip,2023-03-24T11:26:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679657160000000000,1679657220000000000,1679657220000000000,1786.80,1787.93,1786.77,1787.90,1349.016,2411149.53025,2221,ETHUSDT-1m-2023-03.zip,2023-03-24T11:26:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679657160000000000,1679657220000000000,1679657220000000000,1787.95000000,1788.71000000,1787.76000000,1788.70000000,184.90830000,330649.89927600,345,ETHUSDT-1m-2023-03.zip,2023-03-24T11:26:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679657220000000000,1679657280000000000,1679657280000000000,28053.70,28074.20,28053.60,28070.00,320.440,8993439.94580,2347,BTCUSDT-1m-2023-03.zip,2023-03-24T11:27:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679657220000000000,1679657280000000000,1679657280000000000,28068.79000000,28080.00000000,28068.79000000,28080.00000000,15.66899000,439865.98517800,418,BTCUSDT-1m-2023-03.zip,2023-03-24T11:27:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679657220000000000,1679657280000000000,1679657280000000000,1787.90,1788.88,1787.89,1788.54,2027.063,3625398.68396,2831,ETHUSDT-1m-2023-03.zip,2023-03-24T11:27:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
