symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,fill_id,order_id,market,side,quantity,price,reference_price,trade_id,fee_rate,liquidation,participation,recent_volume_quantity,partial,remaining_quantity,window_start,window_end,slippage_rate,execution_model,window_base_volume,window_quote_volume,max_volume_participation,capacity_used,fill_reason,source_file,window_end_utc,window_start_utc,participation_window_seconds,purpose,rounding_cost,source_run_id
ETHUSDT,conditional,True,1673683380000000000,2023-01-14T08:03:00.000000000Z,fill-conditional-00000001-1673683380000000000,conditional-00000001,spot,BUY,1.7207,1552.92,1552.758333687836923699204285,bar:ETHUSDT:spot:1673683320000000000,0.001,False,0.009999907015451707312537339108,168.41570000,True,0.2123,1673683320000000000,1673683380000000000,0.0001,next_minute_vwap,172.07160000,267185.61089100,0.01,1.7207,capacity_or_funds,ETHUSDT-1m-2023-01.zip,2023-01-14T08:03:00.000000000Z,2023-01-14T08:02:00.000000000Z,60,open_spot,0.0109960968613392913182654565,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673683440000000000,2023-01-14T08:04:00.000000000Z,fill-conditional-00000002-1673683440000000000,conditional-00000002,spot,SELL,1.7189,1553.12,1553.281283108878413333743448,bar:ETHUSDT:spot:1673683380000000000,0.001,False,0.008527567125630922886265700517,172.07160000,False,0.0000,1673683380000000000,1673683440000000000,0.0001,next_minute_vwap,201.56980000,313094.59758000,0.01,1.7189,full,ETHUSDT-1m-2023-01.zip,2023-01-14T08:04:00.000000000Z,2023-01-14T08:03:00.000000000Z,60,close_spot,0.0102360160975195689036761986,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673798520000000000,2023-01-15T16:02:00.000000000Z,fill-conditional-00000003-1673798520000000000,conditional-00000003,spot,BUY,1.9269,1556.25,1556.093388051792728390880380,bar:ETHUSDT:spot:1673798460000000000,0.001,False,0.002975924341189285560396252457,328.30160000,False,0.0000,1673798460000000000,1673798520000000000,0.0001,next_minute_vwap,647.49630000,1007564.71121800,0.01,1.9269,full,ETHUSDT-1m-2023-01.zip,2023-01-15T16:02:00.000000000Z,2023-01-15T16:01:00.000000000Z,60,open_spot,0.0019319280568917227789571108,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673798580000000000,2023-01-15T16:03:00.000000000Z,fill-conditional-00000004-1673798580000000000,conditional-00000004,futures,SELL,1.925,1555.82,1555.982684372332775929769552,bar:ETHUSDT:futures:1673798520000000000,0.0005,False,0.0003851406533666094857842083929,6237.745,False,0.000,1673798520000000000,1673798580000000000,0.0001,next_minute_vwap,4998.174,7777072.19748,0.01,1.925,full,ETHUSDT-1m-2023-01.zip,2023-01-15T16:03:00.000000000Z,2023-01-15T16:02:00.000000000Z,60,open_perp,0.013640749998919605439906875,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675613040000000000,2023-02-05T16:04:00.000000000Z,fill-conditional-00000005-1675613040000000000,conditional-00000005,futures,BUY,0.097,1642.83,1642.656922630217239210941182,bar:ETHUSDT:futures:1675612980000000000,0.0005,False,0.00002201235097127796674864187198,26538.923,False,0.000,1675612980000000000,1675613040000000000,0.0001,next_minute_vwap,4406.617,7238559.92043,0.01,0.097,full,ETHUSDT-1m-2023-02.zip,2023-02-05T16:04:00.000000000Z,2023-02-05T16:03:00.000000000Z,60,reduce_perp,0.000854732719414689318359228,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1675613100000000000,2023-02-05T16:05:00.000000000Z,fill-conditional-00000006-1675613100000000000,conditional-00000006,spot,SELL,0.0970,1643.41,1643.581043985824473629351678,bar:ETHUSDT:spot:1675613040000000000,0.001,False,0.0002117379208427605822574536660,393.90730000,False,0.0000,1675613040000000000,1675613100000000000,0.0001,next_minute_vwap,458.11350000,752946.66459400,0.01,0.0970,full,ETHUSDT-1m-2023-02.zip,2023-02-05T16:05:00.000000000Z,2023-02-05T16:04:00.000000000Z,60,reduce_spot,0.0006485304983114446529080710,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1676217840000000000,2023-02-12T16:04:00.000000000Z,fill-conditional-00000007-1676217840000000000,conditional-00000007,spot,BUY,0.1291,1535.74,1535.586057714768172412829384,bar:ETHUSDT:spot:1676217780000000000,0.001,False,0.0004454407534469903076094461043,279.96260000,False,0.0000,1676217780000000000,1676217840000000000,0.0001,next_minute_vwap,289.82530000,445051.68985300,0.01,0.1291,full,ETHUSDT-1m-2023-02.zip,2023-02-12T16:04:00.000000000Z,2023-02-12T16:03:00.000000000Z,60,increase_spot,0.0000495330183312843978768903,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1676217900000000000,2023-02-12T16:05:00.000000000Z,fill-conditional-00000008-1676217900000000000,conditional-00000008,futures,SELL,0.129,1534.92,1535.074620909720650466725650,bar:ETHUSDT:futures:1676217840000000000,0.0005,False,0.00007372962147555262923259466540,2317.406,False,0.000,1676217840000000000,1676217900000000000,0.0001,next_minute_vwap,1749.636,2685821.81943,0.01,0.129,full,ETHUSDT-1m-2023-02.zip,2023-02-12T16:05:00.000000000Z,2023-02-12T16:04:00.000000000Z,60,increase_perp,0.000143634744228513816588033,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1676822640000000000,2023-02-19T16:04:00.000000000Z,fill-conditional-00000009-1676822640000000000,conditional-00000009,futures,BUY,0.204,1713.99,1713.812925198172559027676711,bar:ETHUSDT:futures:1676822580000000000,0.0005,False,0.00006384838637287645431131534249,5636.758,False,0.000,1676822580000000000,1676822640000000000,0.0001,next_minute_vwap,3195.069,5475750.54910,0.01,0.204,full,ETHUSDT-1m-2023-02.zip,2023-02-19T16:04:00.000000000Z,2023-02-19T16:03:00.000000000Z,60,reduce_perp,0.001161475898755238149786284,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1676822700000000000,2023-02-19T16:05:00.000000000Z,fill-conditional-00000010-1676822700000000000,conditional-00000010,spot,SELL,0.2040,1712.34,1712.512500777752105388594061,bar:ETHUSDT:spot:1676822640000000000,0.001,False,0.0007422756935638511737234404478,492.09640000,False,0.0000,1676822640000000000,1676822700000000000,0.0001,next_minute_vwap,274.83050000,470650.66684500,0.01,0.2040,full,ETHUSDT-1m-2023-02.zip,2023-02-19T16:05:00.000000000Z,2023-02-19T16:04:00.000000000Z,60,reduce_spot,0.0002549036455633563232612080,run_ad71d751b20623006c195ff3
