date,saved_complete,recomputed_complete,saved_opportunity,recomputed_opportunity,difference
2022-01-01,True,True,0.0,0E-30,0E-30
2022-01-02,True,True,0.0,0E-30,0E-30
2022-01-03,True,True,0.0,0E-30,0E-30
2022-01-04,True,True,0.0,0E-30,0E-30
2022-01-05,True,True,0.0,0E-30,0E-30
2022-01-06,True,True,0.0,0E-30,0E-30
2022-01-07,True,True,0.0,0E-30,0E-30
2022-01-08,True,True,0.0,0E-30,0E-30
2022-01-09,True,True,0.0,0E-30,0E-30
2022-01-10,True,True,0.0,0E-32,0E-32
2022-01-11,True,True,0.0,0E-32,0E-32
2022-01-12,True,True,0.0,0E-31,0E-31
2022-01-13,True,True,0.0,0E-33,0E-33
2022-01-14,True,True,0.0,0E-33,0E-33
2022-01-15,True,True,0.0,0E-31,0E-31
2022-01-16,True,True,0.0,0E-31,0E-31
2022-01-17,True,True,0.0,0E-31,0E-31
2022-01-18,True,True,0.0,0E-31,0E-31
2022-01-19,True,True,0.0,0E-31,0E-31
2022-01-20,True,True,0.0,0E-30,0E-30
2022-01-21,True,True,0.0,0E-31,0E-31
2022-01-22,True,True,0.0,0E-31,0E-31
2022-01-23,True,True,0.0,0E-31,0E-31
2022-01-24,True,True,0.0,0E-32,0E-32
2022-01-25,True,True,0.0,0E-31,0E-31
2022-01-26,True,True,0.0,0E-32,0E-32
2022-01-27,True,True,0.0,0E-32,0E-32
2022-01-28,True,True,0.0,0E-32,0E-32
2022-01-29,True,True,0.0,0E-33,0E-33
2022-01-30,True,True,0.0,0E-33,0E-33
2022-01-31,True,True,0.0,0E-32,0E-32
2022-02-01,True,True,0.0,0E-32,0E-32
2022-02-02,True,True,0.0,0E-32,0E-32
2022-02-03,True,True,0.0,0E-34,0E-34
2022-02-04,True,True,0.0,0E-32,0E-32
2022-02-05,True,True,0.0,0E-32,0E-32
2022-02-06,True,True,0.0,0E-31,0E-31
2022-02-07,True,True,0.0,0E-31,0E-31
2022-02-08,True,True,0.0,0E-31,0E-31
2022-02-09,True,True,0.0,0E-30,0E-30
2022-02-10,True,True,0.0,0E-31,0E-31
2022-02-11,True,True,0.0,0E-32,0E-32
2022-02-12,True,True,0.0,0E-32,0E-32
2022-02-13,True,True,0.0,0E-31,0E-31
2022-02-14,True,True,0.0,0E-31,0E-31
2022-02-15,True,True,0.0,0E-31,0E-31
2022-02-16,True,True,0.0,0E-31,0E-31
2022-02-17,True,True,0.0,0E-30,0E-30
2022-02-18,True,True,0.0,0E-31,0E-31
2022-02-19,True,True,0.0,0E-31,0E-31
2022-02-20,True,True,0.0,0E-31,0E-31
2022-02-21,True,True,0.0,0E-32,0E-32
2022-02-22,True,True,0.0,0E-33,0E-33
2022-02-23,True,True,0.0,0E-31,0E-31
2022-02-24,True,True,0.0,0E-32,0E-32
2022-02-25,True,True,0.0,0E-32,0E-32
2022-02-26,True,True,0.0,0E-32,0E-32
2022-02-27,True,True,0.0,0E-31,0E-31
2022-02-28,True,True,0.0,0E-32,0E-32
2022-03-01,True,True,0.0,0E-31,0E-31
2022-03-02,True,True,0.0,0E-31,0E-31
2022-03-03,True,True,0.0,0E-31,0E-31
2022-03-04,True,True,0.0,0E-30,0E-30
2022-03-05,True,True,0.0,0E-30,0E-30
2022-03-06,True,True,0.0,0E-31,0E-31
2022-03-07,True,True,0.0,0E-32,0E-32
2022-03-08,True,True,0.0,0E-32,0E-32
2022-03-09,True,True,0.0,0E-31,0E-31
2022-03-10,True,True,0.0,0E-31,0E-31
2022-03-11,True,True,0.0,0E-32,0E-32
2022-03-12,True,True,0.0,0E-33,0E-33
2022-03-13,True,True,0.0,0E-33,0E-33
2022-03-14,True,True,0.0,0E-31,0E-31
2022-03-15,True,True,0.0,0E-32,0E-32
2022-03-16,True,True,0.0,0E-31,0E-31
2022-03-17,True,True,0.0,0E-30,0E-30
2022-03-18,True,True,0.0,0E-30,0E-30
2022-03-19,True,True,0.0,0E-30,0E-30
2022-03-20,True,True,0.0,0E-30,0E-30
2022-03-21,True,True,0.0,0E-30,0E-30
2022-03-22,True,True,0.0,0E-30,0E-30
2022-03-23,True,True,0.0,0E-30,0E-30
2022-03-24,True,True,0.0,0E-31,0E-31
2022-03-25,True,True,0.0,0E-31,0E-31
2022-03-26,True,True,0.0,0E-31,0E-31
2022-03-27,True,True,0.0,0E-31,0E-31
2022-03-28,True,True,0.0,0E-31,0E-31
2022-03-29,True,True,0.0,0E-30,0E-30
2022-03-30,True,True,0.0,0E-30,0E-30
2022-03-31,True,True,0.0,0E-30,0E-30
2022-04-01,True,True,0.0,0E-30,0E-30
2022-04-02,True,True,0.0,0E-30,0E-30
2022-04-03,True,True,0.0,0E-30,0E-30
2022-04-04,True,True,0.0,0E-30,0E-30
2022-04-05,True,True,0.0,0E-30,0E-30
2022-04-06,True,True,0.0,0E-31,0E-31
2022-04-07,True,True,0.0,0E-31,0E-31
2022-04-08,True,True,0.0,0E-32,0E-32
2022-04-09,True,True,0.0,0E-31,0E-31
2022-04-10,True,True,0.0,0E-30,0E-30
2022-04-11,True,True,0.0,0E-30,0E-30
2022-04-12,True,True,0.0,0E-32,0E-32
2022-04-13,True,True,0.0,0E-32,0E-32
2022-04-14,True,True,0.0,0E-32,0E-32
2022-04-15,True,True,0.0,0E-32,0E-32
2022-04-16,True,True,0.0,0E-32,0E-32
2022-04-17,True,True,0.0,0E-31,0E-31
2022-04-18,True,True,0.0,0E-31,0E-31
2022-04-19,True,True,0.0,0E-32,0E-32
2022-04-20,True,True,0.0,0E-32,0E-32
2022-04-21,True,True,0.0,0E-32,0E-32
2022-04-22,True,True,0.0,0E-31,0E-31
2022-04-23,True,True,0.0,0E-31,0E-31
2022-04-24,True,True,0.0,0E-30,0E-30
2022-04-25,True,True,0.0,0E-31,0E-31
2022-04-26,True,True,0.0,0E-32,0E-32
2022-04-27,True,True,0.0,0E-31,0E-31
