symbol,time_ns,minute_utc,candle_open_utc,spot_close,future_close,mark_close,spot_base_volume,future_base_volume,forecast,forecast_available_at,cycle_cost,complete,eligible,funding_pass,basis_pass,operational,known_closure,forecast_valid,unknown_market_data
BTCUSDT,1640995200000000000,2022-01-01T00:00:00.000000000Z,2021-12-31T23:59:00.000000000Z,46216.93,46210.56,46210.24349457,23.12242,172.576,0.001741294598199389493034768713,1640966460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1640995320000000000,2022-01-01T00:02:00.000000000Z,2022-01-01T00:01:00.000000000Z,46312.76,46314.36,46306.32278545,42.38106,275.296,0.001815306428948212415256468724,1640995260006000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1641024120000000000,2022-01-01T08:02:00.000000000Z,2022-01-01T08:01:00.000000000Z,47125.88,47112.49,47119.27632705,12.63977,208.632,0.001874040372795722793898060191,1641024060009000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641038400000000000,2022-01-01T12:00:00.000000000Z,2022-01-01T11:59:00.000000000Z,46758.87,46755.01,46760.9885101,12.2744,186.923,0.001874040372795722793898060191,1641024060009000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641052860000000000,2022-01-01T16:01:00.000000000Z,2022-01-01T16:00:00.000000000Z,47283.7,47257.07,47256.07,24.47624,311.617,0.001920659448443394750032589783,1641052860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641081540000000000,2022-01-01T23:59:00.000000000Z,2022-01-01T23:58:00.000000000Z,47722.99,47709.35,47720.2437619,20.97965,143.415,0.001920659448443394750032589783,1641052860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641081600000000000,2022-01-02T00:00:00.000000000Z,2022-01-01T23:59:00.000000000Z,47722.65,47704.35,47710.8594579,18.76054,176.17,0.001920659448443394750032589783,1641052860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641081720000000000,2022-01-02T00:02:00.000000000Z,2022-01-02T00:01:00.000000000Z,47660.81,47647.85,47658.67990995,22.58851,200.78,0.001957658716371901069762689421,1641081660028000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641110460000000000,2022-01-02T08:01:00.000000000Z,2022-01-02T08:00:00.000000000Z,47135.21,47130.0,47134.78682703,9.68046,65.765,0.001987028747205889261350229728,1641110460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641124800000000000,2022-01-02T12:00:00.000000000Z,2022-01-02T11:59:00.000000000Z,47235.5,47231.3,47231.40837889,5.39784,26.166,0.001987028747205889261350229728,1641110460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641139260000000000,2022-01-02T16:01:00.000000000Z,2022-01-02T16:00:00.000000000Z,47341.56,47328.75,47330.2,20.96807,189.811,0.002010335786455687465594620450,1641139260000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641167940000000000,2022-01-02T23:59:00.000000000Z,2022-01-02T23:58:00.000000000Z,47317.04,47321.62,47320.47206119,4.70874,30.74,0.002010335786455687465594620450,1641139260000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1641168000000000000,2022-01-03T00:00:00.000000000Z,2022-01-02T23:59:00.000000000Z,47286.18,47280.0,47294.00771138,4.49544,58.651,0.002010335786455687465594620450,1641139260000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641168120000000000,2022-01-03T00:02:00.000000000Z,2022-01-03T00:01:00.000000000Z,47224.33,47217.16,47204.53460346,22.84541,364.183,0.002028833322481251930914056821,1641168060010000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641196920000000000,2022-01-03T08:02:00.000000000Z,2022-01-03T08:01:00.000000000Z,47072.48,47060.42,47065.80534359,12.32811,91.044,0.002043514215673493223515961142,1641196860013000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641211200000000000,2022-01-03T12:00:00.000000000Z,2022-01-03T11:59:00.000000000Z,47378.0,47364.11,47364.71328111,8.05405,180.296,0.002043514215673493223515961142,1641196860013000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641225720000000000,2022-01-03T16:02:00.000000000Z,2022-01-03T16:01:00.000000000Z,46735.69,46742.42,46737.29129088,75.05485,853.745,0.002055167129981490562381740101,1641225660018000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1641254340000000000,2022-01-03T23:59:00.000000000Z,2022-01-03T23:58:00.000000000Z,46423.68,46423.15,46423.15,3.98465,57.357,0.002055167129981490562381740101,1641225660018000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641254400000000000,2022-01-04T00:00:00.000000000Z,2022-01-03T23:59:00.000000000Z,46446.1,46445.81,46438.8209463,33.30992,170.341,0.002055167129981490562381740101,1641225660018000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641254460000000000,2022-01-04T00:01:00.000000000Z,2022-01-04T00:00:00.000000000Z,46510.7,46511.99,46511.41402581,36.01682,218.225,0.002064416840636883661848484648,1641254460000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1641283320000000000,2022-01-04T08:02:00.000000000Z,2022-01-04T08:01:00.000000000Z,46480.76,46460.96,46463.44,29.0782,296.304,0.002071759192436645539769051978,1641283260010000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641297600000000000,2022-01-04T12:00:00.000000000Z,2022-01-04T11:59:00.000000000Z,46733.77,46709.98,46709.98,8.25563,101.088,0.002071759192436645539769051978,1641283260010000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1641312120000000000,2022-01-04T16:02:00.000000000Z,2022-01-04T16:01:00.000000000Z,46873.27,46874.89,46861.56301567,42.99168,421.064,0.002077585374947990069300293733,1641312060002000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1641340740000000000,2022-01-04T23:59:00.000000000Z,2022-01-04T23:58:00.000000000Z,45862.94,45871.31,45867.43685027,7.5244,86.536,0.002077585374947990069300293733,1641312060002000000,0.0034,True,False,False,True,True,False,True,False
