symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
BTCUSDT,conditional,True,1641081599999999999,2022-01-01T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641081599999999999,2022-01-01T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641167999999999999,2022-01-02T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641167999999999999,2022-01-02T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641254399999999999,2022-01-03T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641254399999999999,2022-01-03T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641340799999999999,2022-01-04T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641340799999999999,2022-01-04T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1641427199999999999,2022-01-05T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1641427199999999999,2022-01-05T23:59:59.999999999Z,FLAT,event,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,run_ad71d751b20623006c195ff3
