symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,kind,cause,previous,state,order_id,cycle_id,next_expiry_utc,liquidation,next_expiry,purpose,source_run_id
ETHUSDT,conditional,True,1673683260001000000,2023-01-14T08:01:00.001000000Z,transition,entry,FLAT,OPENING_SPOT,conditional-00000001,ETHUSDT-1673683260001000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673683380000000000,2023-01-14T08:03:00.000000000Z,attempt_failed,timeout,,,conditional-00000001,,,,,open_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673683380000000000,2023-01-14T08:03:00.000000000Z,close_requested,opening_or_second_leg_failed,,,,,,False,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673683380000000000,2023-01-14T08:03:00.000000000Z,transition,opening_or_second_leg_failed,OPENING_SPOT,CLOSING_SPOT,,ETHUSDT-1673683260001000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673683440000000000,2023-01-14T08:04:00.000000000Z,transition,unwind_complete,CLOSING_SPOT,COOLDOWN,,ETHUSDT-1673683260001000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673798460000000000,2023-01-15T16:01:00.000000000Z,transition,cooldown_elapsed,COOLDOWN,FLAT,,ETHUSDT-1673683260001000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673798460000000000,2023-01-15T16:01:00.000000000Z,transition,entry,FLAT,OPENING_SPOT,conditional-00000003,ETHUSDT-1673798460000000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673798520000000000,2023-01-15T16:02:00.000000000Z,transition,spot_filled_waiting_hedge,OPENING_SPOT,OPENING_PERP,,ETHUSDT-1673798460000000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1673798580000000000,2023-01-15T16:03:00.000000000Z,transition,opening_complete,OPENING_PERP,HOLDING,,ETHUSDT-1673798460000000000,,,,,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1674403380000000000,2023-01-22T16:03:00.000000000Z,renewal,,,,,,2023-01-29T16:03:00.000000000Z,,1675008180000000000,,run_ad71d751b20623006c195ff3
