period,symbol,orders_submitted,fills,partial_fills,opening_attempts,completed_openings,completed_cycles,failed_cycles,close_requests,execution_failure_events,failed_order_ids,renewals,rebalances,corrections,liquidation_fills,turnover_usdt,strategy,source_run_id
full,BTCUSDT,48,48,0,4,4,4,0,48,0,0,37,16,0,0,60237.5455734,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,210,90,3,6,5,5,1,50,123,123,63,33,0,0,91157.299468,conditional,run_ad71d751b20623006c195ff3
full,PORTFOLIO,258,138,3,10,9,9,1,98,123,123,100,49,0,0,151394.8450414,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,8,8,0,1,1,0,0,0,0,0,7,3,0,0,7292.0200830,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,142,22,1,3,2,1,1,2,121,121,16,7,0,0,27857.655531,conditional,run_ad71d751b20623006c195ff3
2022-2023,PORTFOLIO,150,30,1,4,3,1,1,2,121,121,23,10,0,0,35149.6756140,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,40,40,0,3,3,4,0,48,0,0,30,13,0,0,52945.5254904,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,68,68,2,3,3,4,0,48,2,2,47,26,0,0,63299.643937,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,PORTFOLIO,108,108,2,6,6,8,0,96,2,2,77,39,0,0,116245.1694274,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,388,152,0,9,8,7,1,8,236,236,234,60,0,0,137354.7455770,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,347,180,4,11,9,8,2,12,171,171,224,69,0,0,163844.376068,permanent,run_dfea4b7ac1475668d5968c97
full,PORTFOLIO,735,332,4,20,17,15,3,20,407,407,458,129,0,0,301199.1216450,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,254,62,0,4,4,3,0,3,192,192,99,24,0,0,56896.7802570,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,190,66,3,5,4,3,1,6,127,127,90,23,0,0,60895.003666,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,PORTFOLIO,444,128,3,9,8,6,1,9,319,319,189,47,0,0,117791.7839230,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,134,90,0,5,4,4,1,5,44,44,135,36,0,0,80457.9653200,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,157,114,1,6,5,5,1,6,44,44,134,46,0,0,102949.372402,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,PORTFOLIO,291,204,1,11,9,9,2,11,88,88,269,82,0,0,183407.3377220,permanent,run_dfea4b7ac1475668d5968c97
