symbol,cycle_id,entry_ns,opened_ns,closed_ns,complete,failed,still_open_at_end,close_causes,entry_utc,opened_utc,closed_utc,strategy,source_run_id
ETHUSDT,ETHUSDT-1673683260001000000,1673683260001000000,,1673683440000000000,False,True,False,"[""opening_or_second_leg_failed""]",2023-01-14T08:01:00.001000000Z,,2023-01-14T08:04:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,ETHUSDT-1673798460000000000,1673798460000000000,1673798580000000000,1679666460000000000,True,False,False,"[""real_market_inactivity""]",2023-01-15T16:01:00.000000000Z,2023-01-15T16:03:00.000000000Z,2023-03-24T14:01:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,ETHUSDT-1699545660000000000,1699545660000000000,1699545780000000000,1704973680000000000,True,False,False,"[""margin""]",2023-11-09T16:01:00.000000000Z,2023-11-09T16:03:00.000000000Z,2024-01-11T11:48:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,BTCUSDT-1699804860001000000,1699804860001000000,1699805040000000000,1704984420000000000,True,False,False,"[""margin""]",2023-11-12T16:01:00.001000000Z,2023-11-12T16:04:00.000000000Z,2024-01-11T14:47:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,BTCUSDT-1708329660000000000,1708329660000000000,1708329780000000000,1709593500000000000,True,False,False,"[""margin""]",2024-02-19T08:01:00.000000000Z,2024-02-19T08:03:00.000000000Z,2024-03-04T23:05:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,ETHUSDT-1708473660000000000,1708473660000000000,1708473780000000000,1709843460000000000,True,False,False,"[""margin""]",2024-02-21T00:01:00.000000000Z,2024-02-21T00:03:00.000000000Z,2024-03-07T20:31:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,BTCUSDT-1709683260000000000,1709683260000000000,1709683380000000000,1724198700000000000,True,False,False,"[""holding_expiry""]",2024-03-06T00:01:00.000000000Z,2024-03-06T00:03:00.000000000Z,2024-08-21T00:05:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,ETHUSDT-1709942460000000000,1709942460000000000,1709942580000000000,1723248360000000000,True,False,False,"[""holding_expiry""]",2024-03-09T00:01:00.000000000Z,2024-03-09T00:03:00.000000000Z,2024-08-10T00:06:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,BTCUSDT-1731283260001000000,1731283260001000000,1731283440000000000,1734305160000000000,True,False,False,"[""margin""]",2024-11-11T00:01:00.001000000Z,2024-11-11T00:04:00.000000000Z,2024-12-15T23:26:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,ETHUSDT-1731283260001000000,1731283260001000000,1731283440000000000,1745798820000000000,True,False,False,"[""holding_expiry""]",2024-11-11T00:01:00.001000000Z,2024-11-11T00:04:00.000000000Z,2025-04-28T00:07:00.000000000Z,conditional,run_ad71d751b20623006c195ff3
