period,symbol,kind,cause,purpose,count,strategy,source_run_id
full,BTCUSDT,close_requested,holding_expiry,,1,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,close_requested,margin,,3,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,close_requested,real_market_inactivity,,44,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,1,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,renewal,,,37,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,cooldown_elapsed,,4,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,entry,,4,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,holding_expiry,,1,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,margin,,3,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,opening_complete,,4,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,ordinary_close_complete,,1,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,perpetual_closed_waiting_spot,,4,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,rebalance_complete,,16,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,renewal_rebalance,,16,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,spot_filled_waiting_hedge,,4,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,transition,unwind_complete,,47,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,attempt_failed,timeout,close_spot,122,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,attempt_failed,timeout,open_spot,1,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,close_requested,holding_expiry,,2,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,close_requested,margin,,2,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,close_requested,opening_or_second_leg_failed,,1,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,close_requested,real_market_inactivity,,45,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,renewal,,,63,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,cooldown_elapsed,,5,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,entry,,6,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,holding_expiry,,2,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,margin,,2,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,opening_complete,,5,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,opening_or_second_leg_failed,,1,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,ordinary_close_complete,,2,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,perpetual_closed_waiting_spot,,5,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,real_market_inactivity,,1,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,rebalance_complete,,33,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,renewal_rebalance,,33,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,spot_filled_waiting_hedge,,5,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,transition,unwind_complete,,48,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,renewal,,,7,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,transition,entry,,1,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,transition,opening_complete,,1,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,transition,rebalance_complete,,3,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,transition,renewal_rebalance,,3,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,transition,spot_filled_waiting_hedge,,1,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,attempt_failed,timeout,close_spot,120,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,attempt_failed,timeout,open_spot,1,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,close_requested,opening_or_second_leg_failed,,1,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,close_requested,real_market_inactivity,,1,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,renewal,,,16,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,transition,cooldown_elapsed,,2,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,transition,entry,,3,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,transition,opening_complete,,2,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,transition,opening_or_second_leg_failed,,1,conditional,run_ad71d751b20623006c195ff3
