symbol,start_ns,end_ns,start_utc,end_exclusive_utc,seconds,exposure,spot,short,state,collateral_usdt,strategy,source_run_id
BTCUSDT,1640995200000000000,1641081599999999999,2022-01-01T00:00:00.000000000Z,2022-01-01T23:59:59.999999999Z,86399.999999999,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1640995200000000000,1641081599999999999,2022-01-01T00:00:00.000000000Z,2022-01-01T23:59:59.999999999Z,86399.999999999,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641081599999999999,1641167999999999999,2022-01-01T23:59:59.999999999Z,2022-01-02T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641081599999999999,1641167999999999999,2022-01-01T23:59:59.999999999Z,2022-01-02T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641167999999999999,1641254399999999999,2022-01-02T23:59:59.999999999Z,2022-01-03T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641167999999999999,1641254399999999999,2022-01-02T23:59:59.999999999Z,2022-01-03T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641254399999999999,1641340799999999999,2022-01-03T23:59:59.999999999Z,2022-01-04T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641254399999999999,1641340799999999999,2022-01-03T23:59:59.999999999Z,2022-01-04T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641340799999999999,1641427199999999999,2022-01-04T23:59:59.999999999Z,2022-01-05T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641340799999999999,1641427199999999999,2022-01-04T23:59:59.999999999Z,2022-01-05T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641427199999999999,1641513599999999999,2022-01-05T23:59:59.999999999Z,2022-01-06T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641427199999999999,1641513599999999999,2022-01-05T23:59:59.999999999Z,2022-01-06T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641513599999999999,1641599999999999999,2022-01-06T23:59:59.999999999Z,2022-01-07T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641513599999999999,1641599999999999999,2022-01-06T23:59:59.999999999Z,2022-01-07T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641599999999999999,1641686399999999999,2022-01-07T23:59:59.999999999Z,2022-01-08T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641599999999999999,1641686399999999999,2022-01-07T23:59:59.999999999Z,2022-01-08T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641686399999999999,1641772799999999999,2022-01-08T23:59:59.999999999Z,2022-01-09T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641686399999999999,1641772799999999999,2022-01-08T23:59:59.999999999Z,2022-01-09T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641772799999999999,1641859199999999999,2022-01-09T23:59:59.999999999Z,2022-01-10T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641772799999999999,1641859199999999999,2022-01-09T23:59:59.999999999Z,2022-01-10T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641859199999999999,1641945599999999999,2022-01-10T23:59:59.999999999Z,2022-01-11T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
ETHUSDT,1641859199999999999,1641945599999999999,2022-01-10T23:59:59.999999999Z,2022-01-11T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
BTCUSDT,1641945599999999999,1642031999999999999,2022-01-11T23:59:59.999999999Z,2022-01-12T23:59:59.999999999Z,86400,flat,0,0,FLAT,0,conditional,run_ad71d751b20623006c195ff3
