period,symbol,scope,filter,state,applied,count,denominator,strategy,source_run_id
full,BTCUSDT,actual_decision,accepted,selected,True,4,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,actual_decision,funding_not_above_cost,selected,True,4265,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,actual_decision,invalid_or_stale_data,selected,True,1,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,actual_decision,state_or_cooldown,selected,True,842,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,first_rejection,all_pass,selected,True,4,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,first_rejection,cooldown,selected,True,12,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,first_rejection,freshness,selected,True,1,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,first_rejection,funding,selected,True,4265,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,first_rejection,state_active,selected,True,830,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,basis_above_max,not_evaluable,True,1,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,basis_above_max,pass,True,5111,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,basis_negative,fail,True,4451,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,basis_negative,not_evaluable,True,1,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,basis_negative,pass,True,660,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,budget,fail,True,50,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,budget,not_evaluable,True,312,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,budget,pass,True,4750,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,cooldown,fail,True,12,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,cooldown,pass,True,5100,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,coverage,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,debt,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,forecast,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,freshness,fail,True,1,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,freshness,pass,True,5111,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,funding,fail,True,4888,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,funding,pass,True,224,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,mark,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,operational,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,pending_orders,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,price_alignment,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,rules,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,sizing,fail,True,312,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,sizing,pass,True,4800,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,state_active,fail,True,830,5112,conditional,run_ad71d751b20623006c195ff3
full,BTCUSDT,simultaneous,state_active,pass,True,4282,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,actual_decision,accepted,selected,True,6,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,actual_decision,funding_not_above_cost,selected,True,3687,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,actual_decision,state_or_cooldown,selected,True,1419,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,first_rejection,all_pass,selected,True,6,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,first_rejection,cooldown,selected,True,15,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,first_rejection,funding,selected,True,3687,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,first_rejection,state_active,selected,True,1404,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,basis_above_max,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,basis_negative,fail,True,4399,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,basis_negative,pass,True,713,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,budget,fail,True,11,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,budget,not_evaluable,True,70,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,budget,pass,True,5031,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,cooldown,fail,True,15,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,cooldown,pass,True,5097,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,coverage,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,debt,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,forecast,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,freshness,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,funding,fail,True,4852,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,funding,pass,True,260,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,mark,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,operational,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,pending_orders,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,price_alignment,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,rules,pass,True,5112,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,sizing,fail,True,70,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,sizing,pass,True,5042,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,state_active,fail,True,1404,5112,conditional,run_ad71d751b20623006c195ff3
full,ETHUSDT,simultaneous,state_active,pass,True,3708,5112,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,actual_decision,accepted,selected,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,actual_decision,funding_not_above_cost,selected,True,2041,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,actual_decision,invalid_or_stale_data,selected,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,actual_decision,state_or_cooldown,selected,True,147,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,first_rejection,all_pass,selected,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,first_rejection,freshness,selected,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,first_rejection,funding,selected,True,2041,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,first_rejection,state_active,selected,True,147,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,basis_above_max,not_evaluable,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,basis_above_max,pass,True,2189,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,basis_negative,fail,True,1960,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,basis_negative,not_evaluable,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,basis_negative,pass,True,229,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,budget,not_evaluable,True,52,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,budget,pass,True,2138,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,cooldown,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,coverage,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,debt,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,forecast,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,freshness,fail,True,1,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,freshness,pass,True,2189,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,funding,fail,True,2145,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,funding,pass,True,45,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,mark,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,operational,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,pending_orders,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,price_alignment,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,rules,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,sizing,fail,True,52,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,sizing,pass,True,2138,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,state_active,fail,True,147,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,BTCUSDT,simultaneous,state_active,pass,True,2043,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,actual_decision,accepted,selected,True,3,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,actual_decision,funding_not_above_cost,selected,True,1822,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,actual_decision,state_or_cooldown,selected,True,365,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,first_rejection,all_pass,selected,True,3,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,first_rejection,cooldown,selected,True,6,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,first_rejection,funding,selected,True,1822,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,first_rejection,state_active,selected,True,359,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,basis_above_max,pass,True,2190,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,basis_negative,fail,True,1905,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,basis_negative,pass,True,285,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,budget,not_evaluable,True,27,2190,conditional,run_ad71d751b20623006c195ff3
