date,time_ns,symbol,complete,expected_minutes,observed_minutes,valid_minutes,eligible_minutes,unknown_market_minutes,invalid_forecast_minutes,known_closure_missing_minutes,nonoperational_minutes,funding_failed_minutes,basis_failed_minutes,opportunity_sum,opportunity,eligible_fraction,reason
2022-01-01,1640995200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1363,0E-30,0E-30,0,
2022-01-02,1641081600000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1119,0E-30,0E-30,0,
2022-01-03,1641168000000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,856,0E-30,0E-30,0,
2022-01-04,1641254400000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,827,0E-30,0E-30,0,
2022-01-05,1641340800000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1003,0E-30,0E-30,0,
2022-01-06,1641427200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1425,0E-30,0E-30,0,
2022-01-07,1641513600000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1402,0E-30,0E-30,0,
2022-01-08,1641600000000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1162,0E-30,0E-30,0,
2022-01-09,1641686400000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1358,0E-30,0E-30,0,
2022-01-10,1641772800000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1397,0E-30,0E-30,0,
2022-01-11,1641859200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1438,0E-30,0E-30,0,
2022-01-12,1641945600000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-31,0E-31,0,
2022-01-13,1642032000000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-31,0E-31,0,
2022-01-14,1642118400000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1440,0E-31,0E-31,0,
2022-01-15,1642204800000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1438,0E-31,0E-31,0,
2022-01-16,1642291200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1436,0E-31,0E-31,0,
2022-01-17,1642377600000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1376,0E-31,0E-31,0,
2022-01-18,1642464000000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1438,0E-31,0E-31,0,
2022-01-19,1642550400000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1376,0E-30,0E-30,0,
2022-01-20,1642636800000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1424,0E-30,0E-30,0,
2022-01-21,1642723200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1436,0E-30,0E-30,0,
2022-01-22,1642809600000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1438,0E-30,0E-30,0,
2022-01-23,1642896000000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-31,0E-31,0,
2022-01-24,1642982400000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1421,0E-31,0E-31,0,
2022-01-25,1643068800000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1440,0E-31,0E-31,0,
2022-01-26,1643155200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-32,0E-32,0,
2022-01-27,1643241600000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1437,0E-32,0E-32,0,
2022-01-28,1643328000000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-32,0E-32,0,
2022-01-29,1643414400000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1438,0E-33,0E-33,0,
2022-01-30,1643500800000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-33,0E-33,0,
2022-01-31,1643587200000000000,BTCUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-31,0E-31,0,
2022-01-01,1640995200000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1427,0E-30,0E-30,0,
2022-01-02,1641081600000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1402,0E-30,0E-30,0,
2022-01-03,1641168000000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-30,0E-30,0,
2022-01-04,1641254400000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1213,0E-30,0E-30,0,
2022-01-05,1641340800000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1209,0E-30,0E-30,0,
2022-01-06,1641427200000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1427,0E-30,0E-30,0,
2022-01-07,1641513600000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1340,0E-30,0E-30,0,
2022-01-08,1641600000000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1399,0E-30,0E-30,0,
2022-01-09,1641686400000000000,ETHUSDT,True,1440,1440,1440,0,0,0,0,0,1440,1439,0E-30,0E-30,0,
