date,symbol,forecast_anchor,forecast_available_at,forecast,minutes,valid_minutes,eligible_minutes,opportunity_sum
2022-01-01,BTCUSDT,1640966400000000000,1640966460000000000,0.001741294598199389493034768713,2,2,0,0E-30
2022-01-01,BTCUSDT,1640995200006000000,1640995260006000000,0.001815306428948212415256468724,480,480,0,0E-30
2022-01-01,BTCUSDT,1641024000009000000,1641024060009000000,0.001874040372795722793898060191,479,479,0,0E-30
2022-01-01,BTCUSDT,1641052800000000000,1641052860000000000,0.001920659448443394750032589783,479,479,0,0E-30
2022-01-02,BTCUSDT,1641052800000000000,1641052860000000000,0.001920659448443394750032589783,2,2,0,0E-30
2022-01-02,BTCUSDT,1641081600028000000,1641081660028000000,0.001957658716371901069762689421,479,479,0,0E-30
2022-01-02,BTCUSDT,1641110400000000000,1641110460000000000,0.001987028747205889261350229728,480,480,0,0E-30
2022-01-02,BTCUSDT,1641139200000000000,1641139260000000000,0.002010335786455687465594620450,479,479,0,0E-30
2022-01-03,BTCUSDT,1641139200000000000,1641139260000000000,0.002010335786455687465594620450,2,2,0,0E-30
2022-01-03,BTCUSDT,1641168000010000000,1641168060010000000,0.002028833322481251930914056821,480,480,0,0E-30
2022-01-03,BTCUSDT,1641196800013000000,1641196860013000000,0.002043514215673493223515961142,480,480,0,0E-30
2022-01-03,BTCUSDT,1641225600018000000,1641225660018000000,0.002055167129981490562381740101,478,478,0,0E-30
2022-01-04,BTCUSDT,1641225600018000000,1641225660018000000,0.002055167129981490562381740101,1,1,0,0E-30
2022-01-04,BTCUSDT,1641254400000000000,1641254460000000000,0.002064416840636883661848484648,481,481,0,0E-30
2022-01-04,BTCUSDT,1641283200010000000,1641283260010000000,0.002071759192436645539769051978,480,480,0,0E-30
2022-01-04,BTCUSDT,1641312000002000000,1641312060002000000,0.002077585374947990069300293733,478,478,0,0E-30
2022-01-05,BTCUSDT,1641312000002000000,1641312060002000000,0.002077585374947990069300293733,2,2,0,0E-30
2022-01-05,BTCUSDT,1641340800001000000,1641340860001000000,0.002082209291179369079605881817,480,480,0,0E-30
2022-01-05,BTCUSDT,1641369600017000000,1641369660017000000,0.002085879266361566913503601614,479,479,0,0E-30
2022-01-05,BTCUSDT,1641398400000000000,1641398460000000000,0.002088792761448974015534140320,479,479,0,0E-30
2022-01-06,BTCUSDT,1641398400000000000,1641398460000000000,0.002088792761448974015534140320,2,2,0,0E-30
2022-01-06,BTCUSDT,1641427200002000000,1641427260002000000,0.002091104778952861110784375304,480,480,0,0E-30
2022-01-06,BTCUSDT,1641456000021000000,1641456060021000000,0.002092940072503301555492246682,480,480,0,0E-30
2022-01-06,BTCUSDT,1641484800006000000,1641484860006000000,0.002094412575415659876917415852,478,478,0,0E-30
2022-01-07,BTCUSDT,1641484800006000000,1641484860006000000,0.002094412575415659876917415852,2,2,0,0E-30
2022-01-07,BTCUSDT,1641513600005000000,1641513660005000000,0.002095565273179567965261335535,479,479,0,0E-30
2022-01-07,BTCUSDT,1641542400000000000,1641542460000000000,0.002096480230050019758951877878,481,481,0,0E-30
2022-01-07,BTCUSDT,1641571200001000000,1641571260001000000,0.002097206376901965163538928091,478,478,0,0E-30
2022-01-08,BTCUSDT,1641571200001000000,1641571260001000000,0.002097206376901965163538928091,2,2,0,0E-30
2022-01-08,BTCUSDT,1641600000014000000,1641600060014000000,0.002097782476644088074269094842,480,480,0,0E-30
2022-01-08,BTCUSDT,1641628800013000000,1641628860013000000,0.002098239965572398162580161397,479,479,0,0E-30
2022-01-08,BTCUSDT,1641657600000000000,1641657660000000000,0.002098603272742134041559924703,479,479,0,0E-30
2022-01-09,BTCUSDT,1641657600000000000,1641657660000000000,0.002098603272742134041559924703,2,2,0,0E-30
2022-01-09,BTCUSDT,1641686400003000000,1641686460003000000,0.002098891371744292948532870833,479,479,0,0E-30
2022-01-09,BTCUSDT,1641715200000000000,1641715260000000000,0.002099120126277007508862626731,480,480,0,0E-30
2022-01-09,BTCUSDT,1641744000000000000,1641744060000000000,0.002099301634966719997684087083,479,479,0,0E-30
2022-01-10,BTCUSDT,1641744000000000000,1641744060000000000,0.002099301634966719997684087083,1,1,0,0E-30
2022-01-10,BTCUSDT,1641772800000000000,1641772860000000000,0.002099445714285895500958778100,481,481,0,0E-30
2022-01-10,BTCUSDT,1641801600010000000,1641801660010000000,0.001862222633718162927024454710,480,480,0,0E-30
2022-01-10,BTCUSDT,1641830400007000000,1641830460007000000,0.001911276019227459350890016737,478,478,0,0E-30
2022-01-11,BTCUSDT,1641830400007000000,1641830460007000000,0.001911276019227459350890016737,2,2,0,0E-30
2022-01-11,BTCUSDT,1641859200013000000,1641859260013000000,0.001950209594793645992389209915,480,480,0,0E-30
2022-01-11,BTCUSDT,1641888000004000000,1641888060004000000,0.001868207979554627419598954887,479,479,0,0E-30
2022-01-11,BTCUSDT,1641916800000000000,1641916860000000000,0.001916024288566342677483670236,479,479,0,0E-30
2022-01-12,BTCUSDT,1641916800000000000,1641916860000000000,0.001916024288566342677483670236,2,2,0,0E-30
2022-01-12,BTCUSDT,1641945600012000000,1641945660012000000,0.001313973432695757254878876104,480,480,0,0E-30
2022-01-12,BTCUSDT,1641974400015000000,1641974460015000000,0.001459883195618414372378547901,479,479,0,0E-30
2022-01-12,BTCUSDT,1642003200000000000,1642003260000000000,0.0009272535352186376131085560160,479,479,0,0E-31
2022-01-13,BTCUSDT,1642003200000000000,1642003260000000000,0.0009272535352186376131085560160,2,2,0,0E-31
2022-01-13,BTCUSDT,1642032000007000000,1642032060007000000,0.0004107219499075320564039543659,479,479,0,0E-31
2022-01-13,BTCUSDT,1642060800000000000,1642060860000000000,0.0007592360288030740726873907156,481,481,0,0E-31
2022-01-13,BTCUSDT,1642089600014000000,1642089660014000000,0.0003391257197776065326473867488,478,478,0,0E-31
2022-01-14,BTCUSDT,1642089600014000000,1642089660014000000,0.0003391257197776065326473867488,1,1,0,0E-31
2022-01-14,BTCUSDT,1642118400000000000,1642118460000000000,0.0002947917008366359607059239053,481,481,0,0E-31
2022-01-14,BTCUSDT,1642147200006000000,1642147260006000000,-0.0001633073172523978699746149544,480,480,0,-0E-31
2022-01-14,BTCUSDT,1642176000014000000,1642176060014000000,-0.0004179975852542682935197753737,478,478,0,-0E-31
2022-01-15,BTCUSDT,1642176000014000000,1642176060014000000,-0.0004179975852542682935197753737,1,1,0,-0E-31
2022-01-15,BTCUSDT,1642204800000000000,1642204860000000000,-0.0002328931430393294335548086218,481,481,0,-0E-31
2022-01-15,BTCUSDT,1642233600002000000,1642233660002000000,0.0002483814901159183376625098334,479,479,0,0E-31
2022-01-15,BTCUSDT,1642262400000000000,1642262460000000000,0.0003123848191150620665794022780,479,479,0,0E-31
2022-01-16,BTCUSDT,1642262400000000000,1642262460000000000,0.0003123848191150620665794022780,1,1,0,0E-31
2022-01-16,BTCUSDT,1642291200000000000,1642291260000000000,0.0006408945186522976146894532311,481,481,0,0E-31
2022-01-16,BTCUSDT,1642320000017000000,1642320060017000000,0.0004076887201811109878209303725,480,480,0,0E-31
2022-01-16,BTCUSDT,1642348800011000000,1642348860011000000,0.0004803947578807226689413255104,478,478,0,0E-31
2022-01-17,BTCUSDT,1642348800011000000,1642348860011000000,0.0004803947578807226689413255104,2,2,0,0E-31
2022-01-17,BTCUSDT,1642377600005000000,1642377660005000000,0.0004571468459958171227913703325,480,480,0,0E-31
2022-01-17,BTCUSDT,1642406400006000000,1642406460006000000,0.0006507978983945370920256644991,480,480,0,0E-31
2022-01-17,BTCUSDT,1642435200012000000,1642435260012000000,0.0009497675004196434548753599676,478,478,0,0E-31
2022-01-18,BTCUSDT,1642435200012000000,1642435260012000000,0.0009497675004196434548753599676,2,2,0,0E-31
2022-01-18,BTCUSDT,1642464000020000000,1642464060020000000,0.001187048307302727357546270395,479,479,0,0E-30
2022-01-18,BTCUSDT,1642492800000000000,1642492860000000000,0.001375312407313264883001126963,481,481,0,0E-30
2022-01-18,BTCUSDT,1642521600013000000,1642521660013000000,0.001524807704952349581824159385,478,478,0,0E-30
2022-01-19,BTCUSDT,1642521600013000000,1642521660013000000,0.001524807704952349581824159385,2,2,0,0E-30
2022-01-19,BTCUSDT,1642550400001000000,1642550460001000000,0.001425672244280365853153630201,479,479,0,0E-30
2022-01-19,BTCUSDT,1642579200000000000,1642579260000000000,0.001564792456123206890147935688,480,480,0,0E-30
2022-01-19,BTCUSDT,1642608000000000000,1642608060000000000,0.001675200142293325149614147631,479,479,0,0E-30
2022-01-20,BTCUSDT,1642608000000000000,1642608060000000000,0.001675200142293325149614147631,2,2,0,0E-30
2022-01-20,BTCUSDT,1642636800015000000,1642636860015000000,0.001762835948774724448041189166,479,479,0,0E-30
2022-01-20,BTCUSDT,1642665600000000000,1642665660000000000,0.001832396274744123338178509076,480,480,0,0E-30
2022-01-20,BTCUSDT,1642694400000000000,1642694460000000000,0.001887602782758624371080923281,479,479,0,0E-30
2022-01-21,BTCUSDT,1642694400000000000,1642694460000000000,0.001887602782758624371080923281,2,2,0,0E-30
2022-01-21,BTCUSDT,1642723200007000000,1642723260007000000,0.001931417999393034482313449278,480,480,0,0E-30
2022-01-21,BTCUSDT,1642752000015000000,1642752060015000000,0.001728902319090688204310177858,479,479,0,0E-30
2022-01-21,BTCUSDT,1642780800000000000,1642780860000000000,0.001728604940779665559550913815,479,479,0,0E-30
2022-01-22,BTCUSDT,1642780800000000000,1642780860000000000,0.001728604940779665559550913815,2,2,0,0E-30
2022-01-22,BTCUSDT,1642809600017000000,1642809660017000000,0.001326429152020029811738705422,480,480,0,0E-30
2022-01-22,BTCUSDT,1642838400003000000,1642838460003000000,0.001231359993491505636807766111,480,480,0,0E-30
2022-01-22,BTCUSDT,1642867200021000000,1642867260021000000,0.001410551127516200187583469467,478,478,0,0E-30
2022-01-23,BTCUSDT,1642867200021000000,1642867260021000000,0.001410551127516200187583469467,2,2,0,0E-30
2022-01-23,BTCUSDT,1642896000026000000,1642896060026000000,0.001552784014914217914078927089,480,480,0,0E-30
2022-01-23,BTCUSDT,1642924800010000000,1642924860010000000,0.001178002352004108077787298420,480,480,0,0E-30
2022-01-23,BTCUSDT,1642953600009000000,1642953660009000000,0.0008668035853039858218769953972,478,478,0,0E-31
2022-01-24,BTCUSDT,1642953600009000000,1642953660009000000,0.0008668035853039858218769953972,2,2,0,0E-31
2022-01-24,BTCUSDT,1642982400010000000,1642982460010000000,0.0008387288695815854524694520858,479,479,0,0E-31
2022-01-24,BTCUSDT,1643011200000000000,1643011260000000000,0.0009085277828613809524313844401,481,481,0,0E-31
2022-01-24,BTCUSDT,1643040000021000000,1643040060021000000,0.0009380895870973672114103975514,478,478,0,0E-31
2022-01-25,BTCUSDT,1643040000021000000,1643040060021000000,0.0009380895870973672114103975514,1,1,0,0E-31
2022-01-25,BTCUSDT,1643068800000000000,1643068860000000000,0.001177802850025542681662657967,480,480,0,0E-30
2022-01-25,BTCUSDT,1643097600000000000,1643097660000000000,0.001286860609606657819817429158,481,481,0,0E-30
2022-01-25,BTCUSDT,1643126400012000000,1643126460012000000,0.0005877507900766945963663793204,478,478,0,0E-31
2022-01-26,BTCUSDT,1643126400012000000,1643126460012000000,0.0005877507900766945963663793204,1,1,0,0E-31
2022-01-26,BTCUSDT,1643155200000000000,1643155260000000000,0.0004957799790817452452767389459,481,481,0,0E-31
2022-01-26,BTCUSDT,1643184000001000000,1643184060001000000,0.0003109767385434146650645845466,480,480,0,0E-31
2022-01-26,BTCUSDT,1643212800005000000,1643212860005000000,0.00006788496979884914516365675710,478,478,0,0E-32
2022-01-27,BTCUSDT,1643212800005000000,1643212860005000000,0.00006788496979884914516365675710,2,2,0,0E-32
2022-01-27,BTCUSDT,1643241600004000000,1643241660004000000,-0.0001570697103214370261842231903,480,480,0,-0E-31
2022-01-27,BTCUSDT,1643270400004000000,1643270460004000000,-0.0005659924602860801297884222903,480,480,0,-0E-31
2022-01-27,BTCUSDT,1643299200019000000,1643299260019000000,-0.0007764934530263192774994004304,478,478,0,-0E-31
2022-01-28,BTCUSDT,1643299200019000000,1643299260019000000,-0.0007764934530263192774994004304,1,1,0,-0E-31
2022-01-28,BTCUSDT,1643328000000000000,1643328060000000000,-0.0006376644206147392272211688946,480,480,0,-0E-31
2022-01-28,BTCUSDT,1643356800000000000,1643356860000000000,-0.0001956846691959906618107398161,481,481,0,-0E-31
