method,strategy,symbol,open_time_utc,available_at_utc,spot,short,average,collateral,mark_close,mark_method,runtime_position_match,close_causes,source,balance,maintenance,liquidation_price,ratio,distance,liquidate,preventive
futures_scaled,conditional,BTCUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0,0,0,0,19854.48571219,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0,0,0,0,1070.589963129941287931823061,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0,0,0,0,19918.70000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0,0,0,0,1075.049892087000204662585819,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0,0,0,0,19906,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0,0,0,0,1076.430834806886924150767799,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0,0,0,0,19916.30000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0,0,0,0,1076.781088878548161935784085,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0,0,0,0,19915.42238191,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0,0,0,0,1075.460130665425779432294090,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0,0,0,0,19898.20000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0,0,0,0,1076.360783992554676593764541,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0,0,0,0,19909.19947294,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0,0,0,0,1076.881161470451372731503025,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:20:00.000000000Z,2022-07-12T13:21:00.000000000Z,0,0,0,0,19919.50000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:20:00.000000000Z,2022-07-12T13:21:00.000000000Z,0,0,0,0,1076.040551698464402047463937,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:21:00.000000000Z,2022-07-12T13:22:00.000000000Z,0,0,0,0,19907.57458687,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-12T13:21:00.000000000Z,2022-07-12T13:22:00.000000000Z,0,0,0,0,1075.680290367612843182875756,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:53:00.000000000Z,0,0,0,0,19853.10000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
