strategy,symbol,year,price_observations,official_price_observations,approximated_price_observations,open_position_events,official_open_position_events,approximated_open_position_events,base_funding_usdt,official_event_funding_usdt,approximated_event_funding_usdt,observed_proxy_delta_usdt,observed_absolute_deltas_usdt,observed_max_absolute_delta_usdt,observed_delta_return_bps,favorable_delta_usdt,adverse_delta_usdt,favorable_delta_return_bps,adverse_delta_return_bps
conditional,BTCUSDT,2022,1095,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,BTCUSDT,2023,1095,185,910,147,147,0,70.3567840205436728717,70.3567840205436728717,0,-0.0002266391856272025,0.0010130361357905261,0.0002441957015056608,-0.00022663918562720250000,0,0,0,0
conditional,BTCUSDT,2024,1098,1098,0,683,683,0,284.4533188468455053431,284.4533188468455053431,0,-0.0002265929188792148,0.0072301845319672114,0.0003747369832709088,-0.00022659291887921480000,0,0,0,0
conditional,BTCUSDT,2025,1095,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,BTCUSDT,2026,729,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,BTCUSDT,all,5112,3107,2005,830,830,0,354.8101028673891782148,354.8101028673891782148,0,-0.0004532321045064173,0.0082432206677577375,0.0003747369832709088,-0.00045323210450641730000,0,0,0,0
conditional,ETHUSDT,2022,1095,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,ETHUSDT,2023,1095,185,910,359,156,203,130.5236521762044512580,79.2528899422375468034,51.2707622339669044546,-0.0001192716846917594,0.0019754257643718274,0.0001923254086819604,-0.00011927168469175940000,0.005969644474237588643307188959,-0.005969644474237588643307188959,0.005969644474237588643307188959,-0.005969644474237588643307188959
conditional,ETHUSDT,2024,1098,1098,0,693,693,0,319.5147526755286076165,319.5147526755286076165,0,0.0009419830161511341,0.0077368473383940507,0.0007831013821861776,0.00094198301615113410000,0,0,0,0
conditional,ETHUSDT,2025,1095,1095,0,352,352,0,46.1065554930436998107,46.1065554930436998107,0,-0.0001408243573637124,0.0020954245838932768,0.0003236087220000000,-0.00014082435736371240000,0,0,0,0
conditional,ETHUSDT,2026,729,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,ETHUSDT,all,5112,3107,2005,1404,1201,203,496.1449603447767586852,444.8741981108098542306,51.2707622339669044546,0.0006818869740956623,0.0118076976866591549,0.0007831013821861776,0.00068188697409566230000,0.005969644474237588643307188959,-0.005969644474237588643307188959,0.005969644474237588643307188959,-0.005969644474237588643307188959
conditional,ALL,2022,2190,0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,ALL,2023,2190,370,1820,506,303,203,200.8804361967481241297,149.6096739627812196751,51.2707622339669044546,-0.0003459108703189619,0.0029884619001623535,0.0002441957015056608,-0.00034591087031896190000,0.005969644474237588643307188959,-0.005969644474237588643307188959,0.005969644474237588643307188959,-0.005969644474237588643307188959
conditional,ALL,2024,2196,2196,0,1376,1376,0,603.9680715223741129596,603.9680715223741129596,0,0.0007153900972719193,0.0149670318703612621,0.0007831013821861776,0.00071539009727191930000,0,0,0,0
conditional,ALL,2025,2190,2190,0,352,352,0,46.1065554930436998107,46.1065554930436998107,0,-0.0001408243573637124,0.0020954245838932768,0.0003236087220000000,-0.00014082435736371240000,0,0,0,0
conditional,ALL,2026,1458,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conditional,ALL,all,10224,6214,4010,2234,2031,203,850.9550632121659369000,799.6843009781990324454,51.2707622339669044546,0.0002286548695892450,0.0200509183544168924,0.0007831013821861776,0.0002286548695892450000,0.005969644474237588643307188959,-0.005969644474237588643307188959,0.005969644474237588643307188959,-0.005969644474237588643307188959
permanent,BTCUSDT,2022,1095,0,1095,1075,0,1075,115.8955500606555643084,0,115.8955500606555643084,0,0,0,0,0.01854423904457819659467546972,-0.01854423904457819659467548112,0.01854423904457819659467546972,-0.01854423904457819659467548112
permanent,BTCUSDT,2023,1095,185,910,1028,181,847,236.5527948332846227354,84.5161031226749064672,152.0366917106097162682,-0.0001746100753533256,0.0011686883613561424,0.0002441957015056608,-0.00017461007535332560000,0.01566039542642181236707354228,-0.01566039542642181236707355849,0.01566039542642181236707354228,-0.01566039542642181236707355849
permanent,BTCUSDT,2024,1098,1098,0,1078,1078,0,385.1032436760659877299,385.1032436760659877299,0,0.0009237042484615851,0.0105525585304863907,0.0010570250600000000,0.00092370424846158510000,0,0,0,0
permanent,BTCUSDT,2025,1095,1095,0,1095,1095,0,168.2628798249891172621,168.2628798249891172621,0,-0.0002151476982640601,0.0025141116271725149,0.0000817313760000000,-0.00021514769826406010000,0,0,0,0
