symbol,year,price_observations,official_prices,approximated_prices,first_official_utc,last_official_utc,paired_observations,bias_bps,mae_bps,p95_abs_bps,max_abs_bps
BTCUSDT,2022,1095,0,1095,,,0,,,,
BTCUSDT,2023,1095,185,910,2023-10-31T08:00:00.000000000Z,2023-12-31T16:00:00.000000000Z,185,-0.005141531018357282161244021622,0.1308418679830141702246522378,0.7470984172593250978055322000,1.931791080372048652516100000
BTCUSDT,2024,1098,1098,0,2024-01-01T00:00:00.000000000Z,2024-12-31T16:00:00.000000000Z,1098,-0.006406171992632216287436426230,0.1912431441641771605903985938,1.015550751738196211975446600,6.538303130148270181219110000
BTCUSDT,2025,1095,1095,0,2025-01-01T00:00:00.015000000Z,2025-12-31T16:00:00.001000000Z,1095,-0.004526251053728898161470830137,0.1408336191580503302086656429,0.8594865001788769556904963000,3.469112326432333259145564000
BTCUSDT,2026,729,729,0,2026-01-01T00:00:00.008000000Z,2026-08-31T16:00:00.001000000Z,729,0.01232699327053789758805250754,0.2039478570893704253226099616,1.047258108529754287904176000,2.992375859187542073173250000
BTCUSDT,all,5112,3107,2005,2023-10-31T08:00:00.000000000Z,2026-08-31T16:00:00.001000000Z,3107,-0.001272940745386960678646804313,0.1728617697667654636171515484,0.9387745588475827684944214000,6.538303130148270181219110000
ETHUSDT,2022,1095,0,1095,,,0,,,,
ETHUSDT,2023,1095,185,910,2023-10-31T08:00:00.000000000Z,2023-12-31T16:00:00.000000000Z,185,0.002967251825828505007882713514,0.2447688273263458516264762054,1.167392952085630812943545200,2.892794979284646122919271000
ETHUSDT,2024,1098,1098,0,2024-01-01T00:00:00.000000000Z,2024-12-31T16:00:00.000000000Z,1098,-0.01186564439951944119026114845,0.1958646844181864791878255565,1.001492984876394689504926150,2.825123691572375909581172000
ETHUSDT,2025,1095,1095,0,2025-01-01T00:00:00.015000000Z,2025-12-31T16:00:00.001000000Z,1095,-0.03024287083845265687716200822,0.2431857872293591393341984100,1.174849594601453321343850700,4.223598802572690358339014000
ETHUSDT,2026,729,729,0,2026-01-01T00:00:00.008000000Z,2026-08-31T16:00:00.001000000Z,729,0.03193572233040393168168249383,0.2686077097806301478974821701,1.167920130321113440876265200,10.22931879314978505954726000
ETHUSDT,all,5112,3107,2005,2023-10-31T08:00:00.000000000Z,2026-08-31T16:00:00.001000000Z,3107,-0.007181956212467095617957611844,0.2325217618258031451842105954,1.135601893930837155781560200,10.22931879314978505954726000
