symbol,year,funding_time,funding_time_utc,funding_rate,rate_available_at,interval_hours,price_method,official_price,previous_closed_mark_price,saved_price,relative_error_bps,mark_open_time,mark_close_time,mark_available_at,mark_age_milliseconds,mark_estimation_method,mark_anchor_open_time,mark_source_file,funding_source_file
BTCUSDT,2022,1640995200006000000,2022-01-01T00:00:00.006000000Z,0.00010000,1640995260006000000,8.000001666666666666666666667,previous_closed_1m,,46210.24349457,46210.24349457,,1640995140000000000,1640995199999000000,1640995200000000000,7,official,,BTCUSDT-1m-2021-12.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641024000009000000,2022-01-01T08:00:00.009000000Z,0.00010000,1641024060009000000,8.000000833333333333333333333,previous_closed_1m,,47199.71868465,47199.71868465,,1641023940000000000,1641023999999000000,1641024000000000000,10,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641052800000000000,2022-01-01T16:00:00.000000000Z,0.00010000,1641052860000000000,7.9999975,previous_closed_1m,,47196.91691248,47196.91691248,,1641052740000000000,1641052799999000000,1641052800000000000,1,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641081600028000000,2022-01-02T00:00:00.028000000Z,0.00010000,1641081660028000000,8.000007777777777777777777778,previous_closed_1m,,47710.85945790,47710.85945790,,1641081540000000000,1641081599999000000,1641081600000000000,29,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641110400000000000,2022-01-02T08:00:00.000000000Z,0.00010000,1641110460000000000,7.999992222222222222222222222,previous_closed_1m,,47170.59028696,47170.59028696,,1641110340000000000,1641110399999000000,1641110400000000000,1,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641139200000000000,2022-01-02T16:00:00.000000000Z,0.00010000,1641139260000000000,8,previous_closed_1m,,47329.68000000,47329.68000000,,1641139140000000000,1641139199999000000,1641139200000000000,1,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641168000010000000,2022-01-03T00:00:00.010000000Z,0.00010000,1641168060010000000,8.000002777777777777777777778,previous_closed_1m,,47294.00771138,47294.00771138,,1641167940000000000,1641167999999000000,1641168000000000000,11,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641196800013000000,2022-01-03T08:00:00.013000000Z,0.00010000,1641196860013000000,8.000000833333333333333333333,previous_closed_1m,,47040.95032849,47040.95032849,,1641196740000000000,1641196799999000000,1641196800000000000,14,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641225600018000000,2022-01-03T16:00:00.018000000Z,0.00010000,1641225660018000000,8.000001388888888888888888889,previous_closed_1m,,46682.60839607,46682.60839607,,1641225540000000000,1641225599999000000,1641225600000000000,19,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641254400000000000,2022-01-04T00:00:00.000000000Z,0.00010000,1641254460000000000,7.999995,previous_closed_1m,,46438.82094630,46438.82094630,,1641254340000000000,1641254399999000000,1641254400000000000,1,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641283200010000000,2022-01-04T08:00:00.010000000Z,0.00010000,1641283260010000000,8.000002777777777777777777778,previous_closed_1m,,46524.41407597,46524.41407597,,1641283140000000000,1641283199999000000,1641283200000000000,11,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641312000002000000,2022-01-04T16:00:00.002000000Z,0.00010000,1641312060002000000,7.999997777777777777777777778,previous_closed_1m,,46906.27012713,46906.27012713,,1641311940000000000,1641311999999000000,1641312000000000000,3,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641340800001000000,2022-01-05T00:00:00.001000000Z,0.00010000,1641340860001000000,7.999999722222222222222222222,previous_closed_1m,,45837.60240322,45837.60240322,,1641340740000000000,1641340799999000000,1641340800000000000,2,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
BTCUSDT,2022,1641369600017000000,2022-01-05T08:00:00.017000000Z,0.00010000,1641369660017000000,8.000004444444444444444444444,previous_closed_1m,,46399.27113543,46399.27113543,,1641369540000000000,1641369599999000000,1641369600000000000,18,official,,BTCUSDT-1m-2022-01.zip,funding-1638403200000-1788220799999.json
