symbol,market,parameter,status,kind,start_utc,end_utc,observed_at_utc,fact_ids,source_ids,counted_seconds,note
BTCUSDT,spot,PRICE_FILTER.minPrice,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_PRICE_FILTER_minPrice,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,PRICE_FILTER.maxPrice,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_PRICE_FILTER_maxPrice,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,PRICE_FILTER.tickSize,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_PRICE_FILTER_tickSize,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,PERCENT_PRICE.multiplierUp,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_PERCENT_PRICE_multiplierUp,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,PERCENT_PRICE.multiplierDown,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_PERCENT_PRICE_multiplierDown,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,PERCENT_PRICE.avgPriceMins,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_PERCENT_PRICE_avgPriceMins,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,LOT_SIZE.minQty,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_LOT_SIZE_minQty,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,LOT_SIZE.maxQty,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_LOT_SIZE_maxQty,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,LOT_SIZE.stepSize,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_LOT_SIZE_stepSize,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MIN_NOTIONAL.minNotional,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MIN_NOTIONAL_minNotional,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MIN_NOTIONAL.applyToMarket,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MIN_NOTIONAL_applyToMarket,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MIN_NOTIONAL.avgPriceMins,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MIN_NOTIONAL_avgPriceMins,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,ICEBERG_PARTS.limit,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_ICEBERG_PARTS_limit,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MARKET_LOT_SIZE.minQty,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MARKET_LOT_SIZE_minQty,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MARKET_LOT_SIZE.maxQty,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MARKET_LOT_SIZE_maxQty,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MARKET_LOT_SIZE.stepSize,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MARKET_LOT_SIZE_stepSize,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MAX_NUM_ORDERS.maxNumOrders,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MAX_NUM_ORDERS_maxNumOrders,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
BTCUSDT,spot,MAX_NUM_ALGO_ORDERS.maxNumAlgoOrders,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_BTCUSDT_MAX_NUM_ALGO_ORDERS_maxNumAlgoOrders,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
ETHUSDT,spot,PRICE_FILTER.minPrice,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_ETHUSDT_PRICE_FILTER_minPrice,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
ETHUSDT,spot,PRICE_FILTER.maxPrice,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_ETHUSDT_PRICE_FILTER_maxPrice,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
ETHUSDT,spot,PRICE_FILTER.tickSize,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_ETHUSDT_PRICE_FILTER_tickSize,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
ETHUSDT,spot,PERCENT_PRICE.multiplierUp,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_ETHUSDT_PERCENT_PRICE_multiplierUp,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
ETHUSDT,spot,PERCENT_PRICE.multiplierDown,observacion_puntual,capture,,,2022-01-02T13:48:38Z,SPOTI22_ETHUSDT_PERCENT_PRICE_multiplierDown,SPOTI22,0,Sin continuidad presumida; null no es vigencia infinita.
