ventana,run_id,parametro,valor
early,run_f4151cc97937f3704d77fb14,accounting_tolerance,1E-8
early,run_f4151cc97937f3704d77fb14,analysis_mode,prescribed_research
early,run_f4151cc97937f3704d77fb14,basis_exit,0.02
early,run_f4151cc97937f3704d77fb14,basis_max,0.005
early,run_f4151cc97937f3704d77fb14,basis_min,0
early,run_f4151cc97937f3704d77fb14,capital,10000
early,run_f4151cc97937f3704d77fb14,cooldown_hours,24
early,run_f4151cc97937f3704d77fb14,correction_seconds,60
early,run_f4151cc97937f3704d77fb14,cost_multiplier,1
early,run_f4151cc97937f3704d77fb14,data_budget_bytes,20000000000
early,run_f4151cc97937f3704d77fb14,data_dir,data/minutes/2022_2023
early,run_f4151cc97937f3704d77fb14,end,2023-09-01T00:00:00Z
early,run_f4151cc97937f3704d77fb14,execution_model,next_minute_vwap
early,run_f4151cc97937f3704d77fb14,fee_profile,prescribed_fixed_no_discounts
early,run_f4151cc97937f3704d77fb14,freshness_seconds,60
early,run_f4151cc97937f3704d77fb14,funding_proxy_stress_bps,0
early,run_f4151cc97937f3704d77fb14,half_life_hours,24
early,run_f4151cc97937f3704d77fb14,hedge_tolerance,0.005
early,run_f4151cc97937f3704d77fb14,hedge_trigger,0.02
early,run_f4151cc97937f3704d77fb14,history_start,2022-09-01T00:00:00Z
early,run_f4151cc97937f3704d77fb14,holding_hours,168
early,run_f4151cc97937f3704d77fb14,horizon_hours,168
early,run_f4151cc97937f3704d77fb14,inactivity_seconds,1800
early,run_f4151cc97937f3704d77fb14,leg_delay_seconds,1
early,run_f4151cc97937f3704d77fb14,leverage,2
early,run_f4151cc97937f3704d77fb14,liquidation_distance,0.15
early,run_f4151cc97937f3704d77fb14,margin_exit_ratio,0.50
early,run_f4151cc97937f3704d77fb14,max_volume_participation,0.01
early,run_f4151cc97937f3704d77fb14,order_timeout_seconds,120
early,run_f4151cc97937f3704d77fb14,participation_seconds,60
early,run_f4151cc97937f3704d77fb14,rebalance_threshold,0.05
early,run_f4151cc97937f3704d77fb14,research_futures_taker_fee,0.0005
early,run_f4151cc97937f3704d77fb14,research_liquidation_fee,0.0125
early,run_f4151cc97937f3704d77fb14,research_maintenance_multiplier,1
early,run_f4151cc97937f3704d77fb14,rules_file,data/rules/history.json
early,run_f4151cc97937f3704d77fb14,sample_end,2022-09-02T00:00:00Z
early,run_f4151cc97937f3704d77fb14,sample_start,2022-09-01T00:00:00Z
early,run_f4151cc97937f3704d77fb14,signal_delay_seconds,60
early,run_f4151cc97937f3704d77fb14,signal_price_model,closed_minute
early,run_f4151cc97937f3704d77fb14,sizing_model,joint_quantity
early,run_f4151cc97937f3704d77fb14,slippage,0.0001
early,run_f4151cc97937f3704d77fb14,start,2022-09-01T00:00:00Z
early,run_f4151cc97937f3704d77fb14,symbols,"[""BTCUSDT"", ""ETHUSDT""]"
early,run_f4151cc97937f3704d77fb14,target_fraction,0.30
early,run_f4151cc97937f3704d77fb14,vwap_seconds,5
early,run_f4151cc97937f3704d77fb14,window_hours,336
early,run_f4151cc97937f3704d77fb14,costo_ciclo_derivado,0.0034
late,run_519a165818e2cadce24bc873,accounting_tolerance,1E-8
late,run_519a165818e2cadce24bc873,analysis_mode,prescribed_research
late,run_519a165818e2cadce24bc873,basis_exit,0.02
late,run_519a165818e2cadce24bc873,basis_max,0.005
late,run_519a165818e2cadce24bc873,basis_min,0
late,run_519a165818e2cadce24bc873,capital,10000
late,run_519a165818e2cadce24bc873,cooldown_hours,24
late,run_519a165818e2cadce24bc873,correction_seconds,60
late,run_519a165818e2cadce24bc873,cost_multiplier,1
late,run_519a165818e2cadce24bc873,data_budget_bytes,20000000000
late,run_519a165818e2cadce24bc873,data_dir,data/minutes/2025_2026
late,run_519a165818e2cadce24bc873,end,2026-09-01T00:00:00Z
late,run_519a165818e2cadce24bc873,execution_model,next_minute_vwap
late,run_519a165818e2cadce24bc873,fee_profile,prescribed_fixed_no_discounts
late,run_519a165818e2cadce24bc873,freshness_seconds,60
late,run_519a165818e2cadce24bc873,funding_proxy_stress_bps,0
late,run_519a165818e2cadce24bc873,half_life_hours,24
late,run_519a165818e2cadce24bc873,hedge_tolerance,0.005
late,run_519a165818e2cadce24bc873,hedge_trigger,0.02
late,run_519a165818e2cadce24bc873,history_start,2025-09-01T00:00:00Z
late,run_519a165818e2cadce24bc873,holding_hours,168
late,run_519a165818e2cadce24bc873,horizon_hours,168
late,run_519a165818e2cadce24bc873,inactivity_seconds,1800
late,run_519a165818e2cadce24bc873,leg_delay_seconds,1
late,run_519a165818e2cadce24bc873,leverage,2
late,run_519a165818e2cadce24bc873,liquidation_distance,0.15
late,run_519a165818e2cadce24bc873,margin_exit_ratio,0.50
late,run_519a165818e2cadce24bc873,max_volume_participation,0.01
late,run_519a165818e2cadce24bc873,order_timeout_seconds,120
late,run_519a165818e2cadce24bc873,participation_seconds,60
late,run_519a165818e2cadce24bc873,rebalance_threshold,0.05
late,run_519a165818e2cadce24bc873,research_futures_taker_fee,0.0005
late,run_519a165818e2cadce24bc873,research_liquidation_fee,0.0125
late,run_519a165818e2cadce24bc873,research_maintenance_multiplier,1
late,run_519a165818e2cadce24bc873,rules_file,data/rules/history.json
late,run_519a165818e2cadce24bc873,sample_end,2025-09-02T00:00:00Z
late,run_519a165818e2cadce24bc873,sample_start,2025-09-01T00:00:00Z
late,run_519a165818e2cadce24bc873,signal_delay_seconds,60
late,run_519a165818e2cadce24bc873,signal_price_model,closed_minute
late,run_519a165818e2cadce24bc873,sizing_model,joint_quantity
late,run_519a165818e2cadce24bc873,slippage,0.0001
late,run_519a165818e2cadce24bc873,start,2025-09-01T00:00:00Z
late,run_519a165818e2cadce24bc873,symbols,"[""BTCUSDT"", ""ETHUSDT""]"
late,run_519a165818e2cadce24bc873,target_fraction,0.30
late,run_519a165818e2cadce24bc873,vwap_seconds,5
late,run_519a165818e2cadce24bc873,window_hours,336
late,run_519a165818e2cadce24bc873,costo_ciclo_derivado,0.0034
