date,strategy,equity_usdt,daily_return,net_pnl_usdt
2022-01-01,conditional,10000,0,0
2022-01-02,conditional,10000,0,0
2022-01-03,conditional,10000,0,0
2022-01-04,conditional,10000,0,0
2022-01-05,conditional,10000,0,0
2022-01-06,conditional,10000,0,0
2022-01-07,conditional,10000,0,0
2022-01-08,conditional,10000,0,0
2022-01-09,conditional,10000,0,0
2022-01-10,conditional,10000,0,0
2022-01-11,conditional,10000,0,0
2022-01-12,conditional,10000,0,0
2022-01-13,conditional,10000,0,0
2022-01-14,conditional,10000,0,0
2022-01-15,conditional,10000,0,0
2022-01-16,conditional,10000,0,0
2022-01-17,conditional,10000,0,0
2022-01-18,conditional,10000,0,0
2022-01-19,conditional,10000,0,0
2022-01-20,conditional,10000,0,0
2022-01-21,conditional,10000,0,0
2022-01-22,conditional,10000,0,0
2022-01-23,conditional,10000,0,0
2022-01-24,conditional,10000,0,0
2022-01-25,conditional,10000,0,0
2022-01-26,conditional,10000,0,0
2022-01-27,conditional,10000,0,0
2022-01-28,conditional,10000,0,0
2022-01-29,conditional,10000,0,0
2022-01-30,conditional,10000,0,0
2022-01-31,conditional,10000,0,0
2022-02-01,conditional,10000,0,0
2022-02-02,conditional,10000,0,0
2022-02-03,conditional,10000,0,0
2022-02-04,conditional,10000,0,0
2022-02-05,conditional,10000,0,0
2022-02-06,conditional,10000,0,0
2022-02-07,conditional,10000,0,0
2022-02-08,conditional,10000,0,0
2022-02-09,conditional,10000,0,0
2022-02-10,conditional,10000,0,0
2022-02-11,conditional,10000,0,0
2022-02-12,conditional,10000,0,0
2022-02-13,conditional,10000,0,0
2022-02-14,conditional,10000,0,0
2022-02-15,conditional,10000,0,0
2022-02-16,conditional,10000,0,0
2022-02-17,conditional,10000,0,0
2022-02-18,conditional,10000,0,0
2022-02-19,conditional,10000,0,0
2022-02-20,conditional,10000,0,0
2022-02-21,conditional,10000,0,0
2022-02-22,conditional,10000,0,0
2022-02-23,conditional,10000,0,0
2022-02-24,conditional,10000,0,0
2022-02-25,conditional,10000,0,0
2022-02-26,conditional,10000,0,0
2022-02-27,conditional,10000,0,0
2022-02-28,conditional,10000,0,0
2022-03-01,conditional,10000,0,0
2022-03-02,conditional,10000,0,0
2022-03-03,conditional,10000,0,0
2022-03-04,conditional,10000,0,0
2022-03-05,conditional,10000,0,0
2022-03-06,conditional,10000,0,0
2022-03-07,conditional,10000,0,0
2022-03-08,conditional,10000,0,0
2022-03-09,conditional,10000,0,0
2022-03-10,conditional,10000,0,0
2022-03-11,conditional,10000,0,0
2022-03-12,conditional,10000,0,0
2022-03-13,conditional,10000,0,0
2022-03-14,conditional,10000,0,0
2022-03-15,conditional,10000,0,0
2022-03-16,conditional,10000,0,0
2022-03-17,conditional,10000,0,0
2022-03-18,conditional,10000,0,0
2022-03-19,conditional,10000,0,0
2022-03-20,conditional,10000,0,0
2022-03-21,conditional,10000,0,0
2022-03-22,conditional,10000,0,0
2022-03-23,conditional,10000,0,0
2022-03-24,conditional,10000,0,0
2022-03-25,conditional,10000,0,0
2022-03-26,conditional,10000,0,0
2022-03-27,conditional,10000,0,0
2022-03-28,conditional,10000,0,0
2022-03-29,conditional,10000,0,0
2022-03-30,conditional,10000,0,0
2022-03-31,conditional,10000,0,0
2022-04-01,conditional,10000,0,0
2022-04-02,conditional,10000,0,0
2022-04-03,conditional,10000,0,0
2022-04-04,conditional,10000,0,0
2022-04-05,conditional,10000,0,0
2022-04-06,conditional,10000,0,0
2022-04-07,conditional,10000,0,0
2022-04-08,conditional,10000,0,0
2022-04-09,conditional,10000,0,0
2022-04-10,conditional,10000,0,0
2022-04-11,conditional,10000,0,0
2022-04-12,conditional,10000,0,0
2022-04-13,conditional,10000,0,0
2022-04-14,conditional,10000,0,0
2022-04-15,conditional,10000,0,0
2022-04-16,conditional,10000,0,0
2022-04-17,conditional,10000,0,0
2022-04-18,conditional,10000,0,0
2022-04-19,conditional,10000,0,0
2022-04-20,conditional,10000,0,0
2022-04-21,conditional,10000,0,0
2022-04-22,conditional,10000,0,0
2022-04-23,conditional,10000,0,0
2022-04-24,conditional,10000,0,0
2022-04-25,conditional,10000,0,0
2022-04-26,conditional,10000,0,0
2022-04-27,conditional,10000,0,0
2022-04-28,conditional,10000,0,0
2022-04-29,conditional,10000,0,0
2022-04-30,conditional,10000,0,0
2022-05-01,conditional,10000,0,0
2022-05-02,conditional,10000,0,0
2022-05-03,conditional,10000,0,0
2022-05-04,conditional,10000,0,0
2022-05-05,conditional,10000,0,0
2022-05-06,conditional,10000,0,0
2022-05-07,conditional,10000,0,0
2022-05-08,conditional,10000,0,0
2022-05-09,conditional,10000,0,0
2022-05-10,conditional,10000,0,0
2022-05-11,conditional,10000,0,0
2022-05-12,conditional,10000,0,0
2022-05-13,conditional,10000,0,0
2022-05-14,conditional,10000,0,0
2022-05-15,conditional,10000,0,0
2022-05-16,conditional,10000,0,0
2022-05-17,conditional,10000,0,0
2022-05-18,conditional,10000,0,0
2022-05-19,conditional,10000,0,0
2022-05-20,conditional,10000,0,0
2022-05-21,conditional,10000,0,0
2022-05-22,conditional,10000,0,0
2022-05-23,conditional,10000,0,0
2022-05-24,conditional,10000,0,0
2022-05-25,conditional,10000,0,0
2022-05-26,conditional,10000,0,0
2022-05-27,conditional,10000,0,0
2022-05-28,conditional,10000,0,0
2022-05-29,conditional,10000,0,0
2022-05-30,conditional,10000,0,0
2022-05-31,conditional,10000,0,0
2022-06-01,conditional,10000,0,0
2022-06-02,conditional,10000,0,0
2022-06-03,conditional,10000,0,0
2022-06-04,conditional,10000,0,0
2022-06-05,conditional,10000,0,0
2022-06-06,conditional,10000,0,0
2022-06-07,conditional,10000,0,0
2022-06-08,conditional,10000,0,0
2022-06-09,conditional,10000,0,0
2022-06-10,conditional,10000,0,0
2022-06-11,conditional,10000,0,0
2022-06-12,conditional,10000,0,0
2022-06-13,conditional,10000,0,0
2022-06-14,conditional,10000,0,0
2022-06-15,conditional,10000,0,0
2022-06-16,conditional,10000,0,0
2022-06-17,conditional,10000,0,0
2022-06-18,conditional,10000,0,0
2022-06-19,conditional,10000,0,0
2022-06-20,conditional,10000,0,0
2022-06-21,conditional,10000,0,0
2022-06-22,conditional,10000,0,0
2022-06-23,conditional,10000,0,0
2022-06-24,conditional,10000,0,0
2022-06-25,conditional,10000,0,0
2022-06-26,conditional,10000,0,0
2022-06-27,conditional,10000,0,0
2022-06-28,conditional,10000,0,0
2022-06-29,conditional,10000,0,0
2022-06-30,conditional,10000,0,0
2022-07-01,conditional,10000,0,0
2022-07-02,conditional,10000,0,0
2022-07-03,conditional,10000,0,0
2022-07-04,conditional,10000,0,0
2022-07-05,conditional,10000,0,0
2022-07-06,conditional,10000,0,0
2022-07-07,conditional,10000,0,0
2022-07-08,conditional,10000,0,0
2022-07-09,conditional,10000,0,0
2022-07-10,conditional,10000,0,0
2022-07-11,conditional,10000,0,0
