period,symbol,covered_seconds,unhedged_seconds,dust_seconds,flat_seconds,invested_seconds,calendar_seconds,strategy,source_run_id,any_unhedged_seconds,any_covered_seconds,both_covered_seconds,cash_or_dust_seconds
full,BTCUSDT,23978940.000000000,1440,64435440.000000000,58809780.000000000,23980380.000000000,147225600,conditional,run_ad71d751b20623006c195ff3,,,,
full,ETHUSDT,40477020.000000000,9960,74050440.000000000,32688180.000000000,40486980.000000000,147225600,conditional,run_ad71d751b20623006c195ff3,,,,
full,PORTFOLIO,,,,,41691120.000000000,147225600,conditional,run_ad71d751b20623006c195ff3,11340.000000000,41682240.000000000,22773720.000000000,105534480.000000000
2022-2023,BTCUSDT,4261980.000000000,240,0,58809780.000000000,4262220.000000000,63072000,conditional,run_ad71d751b20623006c195ff3,,,,
2022-2023,ETHUSDT,10381620.000000000,7860,19994340.000000000,32688180.000000000,10389480.000000000,63072000,conditional,run_ad71d751b20623006c195ff3,,,,
2022-2023,PORTFOLIO,,,,,10389480.000000000,63072000,conditional,run_ad71d751b20623006c195ff3,8100.000000000,10381680.000000000,4261920.000000000,52682520.000000000
2024-2026-08,BTCUSDT,19716960.000000000,1200,64435440.000000000,0,19718160.000000000,84153600,conditional,run_ad71d751b20623006c195ff3,,,,
2024-2026-08,ETHUSDT,30095400.000000000,2100,54056100.000000000,0,30097500.000000000,84153600,conditional,run_ad71d751b20623006c195ff3,,,,
2024-2026-08,PORTFOLIO,,,,,31301640.000000000,84153600,conditional,run_ad71d751b20623006c195ff3,3240.000000000,31300560.000000000,18511800.000000000,52851960.000000000
full,BTCUSDT,144268680.000000000,11820,2685780.000000000,259320.000000000,144280500.000000000,147225600,permanent,run_dfea4b7ac1475668d5968c97,,,,
full,ETHUSDT,138972960.000000000,12660,7865400.000000000,374580.000000000,138985620.000000000,147225600,permanent,run_dfea4b7ac1475668d5968c97,,,,
full,PORTFOLIO,,,,,144587820.000000000,147225600,permanent,run_dfea4b7ac1475668d5968c97,16440.000000000,144579240.000000000,138662400.000000000,2637780.000000000
2022-2023,BTCUSDT,60614760.000000000,9060,2188860.000000000,259320.000000000,60623820.000000000,63072000,permanent,run_dfea4b7ac1475668d5968c97,,,,
2022-2023,ETHUSDT,55775940.000000000,9240,6912240.000000000,374580.000000000,55785180.000000000,63072000,permanent,run_dfea4b7ac1475668d5968c97,,,,
2022-2023,PORTFOLIO,,,,,60736260.000000000,63072000,permanent,run_dfea4b7ac1475668d5968c97,10680.000000000,60728280.000000000,55662420.000000000,2335740.000000000
2024-2026-08,BTCUSDT,83653920.000000000,2760,496920.000000000,0,83656680.000000000,84153600,permanent,run_dfea4b7ac1475668d5968c97,,,,
2024-2026-08,ETHUSDT,83197020.000000000,3420,953160.000000000,0,83200440.000000000,84153600,permanent,run_dfea4b7ac1475668d5968c97,,,,
2024-2026-08,PORTFOLIO,,,,,83851560.000000000,84153600,permanent,run_dfea4b7ac1475668d5968c97,5760.000000000,83850960.000000000,82999980.000000000,302040.000000000
