window,symbol,sample_reason,decision_utc,conditional_funding_anchor_utc,spot_interval_utc,spot_available_utc,futures_interval_utc,futures_available_utc,spot_original_source_path,spot_original_source_line,spot_original_timestamp_unit,futures_original_source_path,futures_original_source_line,futures_original_timestamp_unit,spot_original_close,futures_original_close,basis_independent,conditional_basis_persisted,permanent_basis_persisted,classification_audited,conditional_basis_difference,permanent_basis_difference,audit_status,conditional_signal_id,permanent_signal_id
early,BTCUSDT,temporal_grid_0/13,2022-09-01T00:01:00.012000000Z,2022-09-01T00:00:00.012000000Z,"[2022-09-01T00:00:00.000000000Z,2022-09-01T00:01:00.000000000Z)",2022-09-01T00:01:00.000000000Z,"[2022-09-01T00:00:00.000000000Z,2022-09-01T00:01:00.000000000Z)",2022-09-01T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2022-09.zip,1,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2022-09.zip,2,ms,20025.37000000,20017.70,-0.000383014146555094862167340728286168994630311449925769161818,-0.0003830141465550948621673407,-0.0003830141465550948621673407,negative,2.8286168994630311449925769161818E-29,2.8286168994630311449925769161818E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1,run_f4151cc97937f3704d77fb14:signals.parquet:row=2191
early,BTCUSDT,temporal_grid_1/13,2022-09-29T00:01:00.010000000Z,2022-09-29T00:00:00.010000000Z,"[2022-09-29T00:00:00.000000000Z,2022-09-29T00:01:00.000000000Z)",2022-09-29T00:01:00.000000000Z,"[2022-09-29T00:00:00.000000000Z,2022-09-29T00:01:00.000000000Z)",2022-09-29T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2022-09.zip,40321,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2022-09.zip,40322,ms,19407.57000000,19402.70,-0.000250933012221519747191430972553493301840467405244448429144,-0.0002509330122215197471914310,-0.0002509330122215197471914310,negative,-2.7446506698159532594755551570856E-29,-2.7446506698159532594755551570856E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=169,run_f4151cc97937f3704d77fb14:signals.parquet:row=2359
early,BTCUSDT,temporal_grid_2/13,2022-10-27T00:01:00.009000000Z,2022-10-27T00:00:00.009000000Z,"[2022-10-27T00:00:00.000000000Z,2022-10-27T00:01:00.000000000Z)",2022-10-27T00:01:00.000000000Z,"[2022-10-27T00:00:00.000000000Z,2022-10-27T00:01:00.000000000Z)",2022-10-27T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2022-10.zip,37441,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2022-10.zip,37442,ms,20753.12000000,20742.00,-0.000535823047329750900105622672639101975992043605973463267210,-0.0005358230473297509001056227,-0.0005358230473297509001056227,negative,-2.7360898024007956394026536732790E-29,-2.7360898024007956394026536732790E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=337,run_f4151cc97937f3704d77fb14:signals.parquet:row=2527
early,BTCUSDT,minimum,2022-11-10T00:01:00.006000000Z,2022-11-10T00:00:00.006000000Z,"[2022-11-10T00:00:00.000000000Z,2022-11-10T00:01:00.000000000Z)",2022-11-10T00:01:00.000000000Z,"[2022-11-10T00:00:00.000000000Z,2022-11-10T00:01:00.000000000Z)",2022-11-10T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2022-11.zip,12961,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2022-11.zip,12962,ms,15882.61000000,15856.10,-0.001669121133113512199821062155401410725315297674626525489199,-0.0016691211331135121998210622,-0.0016691211331135121998210622,negative,-4.4598589274684702325373474510801E-29,-4.4598589274684702325373474510801E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=421,run_f4151cc97937f3704d77fb14:signals.parquet:row=2611
early,BTCUSDT,temporal_grid_3/13,2022-11-24T00:01:00.007000000Z,2022-11-24T00:00:00.007000000Z,"[2022-11-24T00:00:00.000000000Z,2022-11-24T00:01:00.000000000Z)",2022-11-24T00:01:00.000000000Z,"[2022-11-24T00:00:00.000000000Z,2022-11-24T00:01:00.000000000Z)",2022-11-24T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2022-11.zip,33121,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2022-11.zip,33122,ms,16615.39000000,16608.60,-0.000408657274972179407164081011640412894310636103034596238788,-0.0004086572749721794071640810,-0.0004086572749721794071640810,negative,1.1640412894310636103034596238788E-29,1.1640412894310636103034596238788E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=505,run_f4151cc97937f3704d77fb14:signals.parquet:row=2695
early,BTCUSDT,temporal_grid_4/13,2022-12-22T00:01:00.004000000Z,2022-12-22T00:00:00.004000000Z,"[2022-12-22T00:00:00.000000000Z,2022-12-22T00:01:00.000000000Z)",2022-12-22T00:01:00.000000000Z,"[2022-12-22T00:00:00.000000000Z,2022-12-22T00:01:00.000000000Z)",2022-12-22T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2022-12.zip,30241,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2022-12.zip,30242,ms,16820.23000000,16812.00,-0.000489291763549012112200606055921946370531199632823094571240,-0.0004892917635490121122006061,-0.0004892917635490121122006061,negative,-4.4078053629468800367176905428760E-29,-4.4078053629468800367176905428760E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=673,run_f4151cc97937f3704d77fb14:signals.parquet:row=2863
early,BTCUSDT,temporal_grid_5/13,2023-01-19T00:01:00.000000000Z,2023-01-19T00:00:00.000000000Z,"[2023-01-19T00:00:00.000000000Z,2023-01-19T00:01:00.000000000Z)",2023-01-19T00:01:00.000000000Z,"[2023-01-19T00:00:00.000000000Z,2023-01-19T00:01:00.000000000Z)",2023-01-19T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2023-01.zip,25921,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2023-01.zip,25922,ms,20716.97000000,20721.90,0.00023796916247887601323938780622842046882338488688258949064,0.000237969162478876013239388,0.000237969162478876013239388,positive_eligible,1.9377157953117661511311741050936E-28,1.9377157953117661511311741050936E-28,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=841,run_f4151cc97937f3704d77fb14:signals.parquet:row=3031
early,BTCUSDT,nearest_zero,2023-01-21T16:01:00.016000000Z,2023-01-21T16:00:00.016000000Z,"[2023-01-21T16:00:00.000000000Z,2023-01-21T16:01:00.000000000Z)",2023-01-21T16:01:00.000000000Z,"[2023-01-21T16:00:00.000000000Z,2023-01-21T16:01:00.000000000Z)",2023-01-21T16:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2023-01.zip,29761,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2023-01.zip,29762,ms,23035.44000000,23035.60,0.00000694581913781547042296565639727307140649364631194368330,0.000006945819137815470422966,0.000006945819137815470422966,positive_eligible,3.4360272692859350635368805631670E-28,3.4360272692859350635368805631670E-28,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=857,run_f4151cc97937f3704d77fb14:signals.parquet:row=3047
early,BTCUSDT,nearest_zero,2023-01-29T16:01:00.008000000Z,2023-01-29T16:00:00.008000000Z,"[2023-01-29T16:00:00.000000000Z,2023-01-29T16:01:00.000000000Z)",2023-01-29T16:01:00.000000000Z,"[2023-01-29T16:00:00.000000000Z,2023-01-29T16:01:00.000000000Z)",2023-01-29T16:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2023-01.zip,41281,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2023-01.zip,41282,ms,23530.93000000,23531.10,0.00000722453383695417053214641325268487050873042416938047073,0.000007224533836954170532146,0.000007224533836954170532146,positive_eligible,-4.1325268487050873042416938047073E-28,-4.1325268487050873042416938047073E-28,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=905,run_f4151cc97937f3704d77fb14:signals.parquet:row=3095
early,BTCUSDT,nearest_zero,2023-02-02T00:01:00.004000000Z,2023-02-02T00:00:00.004000000Z,"[2023-02-02T00:00:00.000000000Z,2023-02-02T00:01:00.000000000Z)",2023-02-02T00:01:00.000000000Z,"[2023-02-02T00:00:00.000000000Z,2023-02-02T00:01:00.000000000Z)",2023-02-02T00:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2023-02.zip,1441,ms,data/minutes/2022_2023/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2023-02.zip,1442,ms,23737.43000000,23737.30,-0.000005476582764014469974213720693436484067567550488827139248,-0.0000054765827640144699742137,-0.0000054765827640144699742137,negative,2.0693436484067567550488827139248E-29,2.0693436484067567550488827139248E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=925,run_f4151cc97937f3704d77fb14:signals.parquet:row=3115
