measure,observations,p10,p50,p90,scenario,strategy,symbol,window
basis,1095,-0.0005787158505173959585843351,-0.0004297000289713789474405789,-0.0001833420087119064829312805,alignment_only,conditional,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,conditional,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,alignment_only,conditional,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,alignment_only,conditional,BTCUSDT,early
basis,1095,-0.0006225179778898787163249973,-0.0004403268986895871494997886,-0.0000735699834467537244804120,alignment_only,conditional,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,conditional,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,alignment_only,conditional,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,alignment_only,conditional,ETHUSDT,early
basis,1095,-0.0005787158505173959585843351,-0.0004297000289713789474405789,-0.0001833420087119064829312805,alignment_only,permanent,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,permanent,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,alignment_only,permanent,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,alignment_only,permanent,BTCUSDT,early
basis,1095,-0.0006225179778898787163249973,-0.0004403268986895871494997886,-0.0000735699834467537244804120,alignment_only,permanent,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,permanent,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,alignment_only,permanent,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,alignment_only,permanent,ETHUSDT,early
basis,1095,-0.0005780830951986304057651343,-0.0004275357022349003301136324,-0.0001846809611705810142046324,joint_sizing_only,conditional,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,joint_sizing_only,conditional,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,joint_sizing_only,conditional,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,joint_sizing_only,conditional,BTCUSDT,early
basis,1095,-0.0006212752249246416162359925,-0.0004404418327016470206428133,-0.0000761803188146342392442912,joint_sizing_only,conditional,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,joint_sizing_only,conditional,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,joint_sizing_only,conditional,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,joint_sizing_only,conditional,ETHUSDT,early
basis,1095,-0.0005780830951986304057651343,-0.0004275357022349003301136324,-0.0001846809611705810142046324,joint_sizing_only,permanent,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,joint_sizing_only,permanent,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,joint_sizing_only,permanent,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,joint_sizing_only,permanent,BTCUSDT,early
basis,1095,-0.0006212752249246416162359925,-0.0004404418327016470206428133,-0.0000761803188146342392442912,joint_sizing_only,permanent,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,joint_sizing_only,permanent,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,joint_sizing_only,permanent,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,joint_sizing_only,permanent,ETHUSDT,early
basis,1095,-0.0005780830951986304057651343,-0.0004275357022349003301136324,-0.0001846809611705810142046324,legacy_reference,conditional,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,legacy_reference,conditional,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,legacy_reference,conditional,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,legacy_reference,conditional,BTCUSDT,early
basis,1095,-0.0006212752249246416162359925,-0.0004404418327016470206428133,-0.0000761803188146342392442912,legacy_reference,conditional,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,legacy_reference,conditional,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,legacy_reference,conditional,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,legacy_reference,conditional,ETHUSDT,early
basis,1095,-0.0005780830951986304057651343,-0.0004275357022349003301136324,-0.0001846809611705810142046324,legacy_reference,permanent,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,legacy_reference,permanent,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,legacy_reference,permanent,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,legacy_reference,permanent,BTCUSDT,early
basis,1095,-0.0006212752249246416162359925,-0.0004404418327016470206428133,-0.0000761803188146342392442912,legacy_reference,permanent,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,legacy_reference,permanent,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,legacy_reference,permanent,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,legacy_reference,permanent,ETHUSDT,early
basis,1095,-0.0005787158505173959585843351,-0.0004297000289713789474405789,-0.0001833420087119064829312805,vwap_joint,conditional,BTCUSDT,early
