id_cifra,archivo_presentado,seleccion_presentada,campo_presentado,valor_original,unidad,archivo_fuente,campo_fuente,filtro_fuente,calculo,run_id
F00001,tablas/resultados_principales.csv,early/conditional,capital_inicial_usdt,10000,USDT,evidencia/revision/scenario_summary.csv,capital_usdt,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00002,tablas/resultados_principales.csv,early/conditional,equity_final_usdt,10073.63631770096690445460000,USDT,evidencia/revision/scenario_summary.csv,final_equity_usdt,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00003,tablas/resultados_principales.csv,early/conditional,retorno_neto,0.00736363177009669,proporción,evidencia/revision/scenario_summary.csv,net_return,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00004,tablas/resultados_principales.csv,early/conditional,cagr,0.00736363177009669,proporción/año,evidencia/revision/scenario_summary.csv,cagr,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00005,tablas/resultados_principales.csv,early/conditional,sharpe,1.9181736175616881,razón,evidencia/revision/scenario_summary.csv,sharpe,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00006,tablas/resultados_principales.csv,early/conditional,drawdown_diario,-0.0012238200504499641,proporción con signo,evidencia/revision/scenario_summary.csv,max_drawdown,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00007,tablas/resultados_principales.csv,early/conditional,aperturas_completas,1,aperturas,evidencia/revision/scenario_summary.csv,openings,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00008,tablas/resultados_principales.csv,early/conditional,ciclos_cerrados,1,ciclos,evidencia/revision/scenario_summary.csv,complete_cycles,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00009,tablas/resultados_principales.csv,early/conditional,intentos_orden_fallidos,121,órdenes/intentos,evidencia/revision/scenario_summary.csv,failed_attempts,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00010,tablas/resultados_principales.csv,early/conditional,aperturas_fallidas,1,ciclos sin apertura completa,evidencia/revision/scenario_summary.csv,failed_cycles,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00011,tablas/resultados_principales.csv,early/conditional,intentos_apertura,2,aperturas intentadas,evidencia/revision/scenario_summary.csv,opening_attempts,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00012,tablas/resultados_principales.csv,early/conditional,fills,18,fills,evidencia/revision/scenario_summary.csv,fills,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00013,tablas/resultados_principales.csv,early/conditional,fills_parciales,1,fills,evidencia/revision/scenario_summary.csv,partial_fills,window=early;scenario=vwap_joint;strategy=conditional,,run_f4151cc97937f3704d77fb14
F00014,datos/equity_diaria.csv,early/conditional/cada fecha_utc,equity_usdt,serie completa,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/equity_daily.csv,equity,strategy=conditional;partial_day=False;orden time_ns,copia decimal sin redondeo,run_f4151cc97937f3704d77fb14
F00015,datos/equity_diaria.csv,early/conditional/cada fecha_utc,retorno_diario_decimal,serie completa,proporción/día,evidencia/corridas/run_f4151cc97937f3704d77fb14/equity_daily.csv,equity; config.capital,strategy=conditional;partial_day=False;orden time_ns,equity_t/equity_anterior-1; primer denominador=capital; Decimal 60,run_f4151cc97937f3704d77fb14
F00016,datos/equity_diaria.csv,early/conditional/cada fecha_utc,retorno_diario_metricas,serie completa,proporción/día,evidencia/corridas/run_f4151cc97937f3704d77fb14/equity_daily.csv,equity; config.capital,strategy=conditional;partial_day=False;orden time_ns,"mismo cociente en binary64, convención de métricas persistidas",run_f4151cc97937f3704d77fb14
F00017,tablas/pnl_componentes.csv,early/conditional,spot_usdt,511.7728006730000000000000001,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt,strategy=conditional;component=spot_pnl,,run_f4151cc97937f3704d77fb14
F00018,tablas/pnl_componentes.csv,early/conditional,futuros_usdt,-472.3086499999999999999999989,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt,strategy=conditional;component=futures_pnl,,run_f4151cc97937f3704d77fb14
F00019,tablas/pnl_componentes.csv,early/conditional,funding_usdt,51.2707622339669044546,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt,strategy=conditional;component=funding,,run_f4151cc97937f3704d77fb14
F00020,tablas/pnl_componentes.csv,early/conditional,comisiones_usdt,-17.098595206,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt,strategy=conditional;component=fees,,run_f4151cc97937f3704d77fb14
F00021,tablas/pnl_componentes.csv,early/conditional,liquidaciones_usdt,0,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt,strategy=conditional;component=liquidation_fees,,run_f4151cc97937f3704d77fb14
F00022,tablas/pnl_componentes.csv,early/conditional,slippage_informativo_usdt,2.160014946032706543719342500,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt,strategy=conditional;component=slippage_informational,,run_f4151cc97937f3704d77fb14
F00023,tablas/pnl_componentes.csv,early/conditional,precios_usdt,39.4641506730000000000000012,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt; equity_daily.equity; config.capital,strategy=conditional,spot_usdt+futuros_usdt,run_f4151cc97937f3704d77fb14
F00024,tablas/pnl_componentes.csv,early/conditional,neto_componentes_usdt,73.6363177009669044546000012,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt; equity_daily.equity; config.capital,strategy=conditional,spot+futuros+funding+comisiones+liquidaciones; excluye slippage informativo,run_f4151cc97937f3704d77fb14
F00025,tablas/pnl_componentes.csv,early/conditional,beneficio_equity_usdt,73.63631770096690445460000,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt; equity_daily.equity; config.capital,strategy=conditional,equity_final-capital_inicial,run_f4151cc97937f3704d77fb14
F00026,tablas/pnl_componentes.csv,early/conditional,residuo_conciliacion_usdt,-1.2E-24,USDT,evidencia/corridas/run_f4151cc97937f3704d77fb14/pnl_components.csv,amount_usdt; equity_daily.equity; config.capital,strategy=conditional,beneficio_equity-neto_componentes,run_f4151cc97937f3704d77fb14
F00027,tablas/actividad_y_rechazos.csv,early/conditional,capital_deployed_daily_avg_usdt,842.5147340091264190500625236,USDT,evidencia/revision/scenario_summary.csv,capital_deployed_daily_avg_usdt,window=early;scenario=vwap_joint;strategy=conditional,copia,run_f4151cc97937f3704d77fb14
F00028,tablas/actividad_y_rechazos.csv,early/conditional,capital_deployed_daily_max_usdt,5298.486771938165559529892693,USDT,evidencia/revision/scenario_summary.csv,capital_deployed_daily_max_usdt,window=early;scenario=vwap_joint;strategy=conditional,copia,run_f4151cc97937f3704d77fb14
F00029,tablas/actividad_y_rechazos.csv,early/conditional,covered_asset_hours,1627.850000000,horas-activo,evidencia/revision/scenario_summary.csv,covered_asset_seconds,window=early;scenario=vwap_joint;strategy=conditional,segundos/3600,run_f4151cc97937f3704d77fb14
F00030,tablas/actividad_y_rechazos.csv,early/conditional,unhedged_asset_hours,2.15,horas-activo,evidencia/revision/scenario_summary.csv,unhedged_asset_seconds,window=early;scenario=vwap_joint;strategy=conditional,segundos/3600,run_f4151cc97937f3704d77fb14
F00031,tablas/actividad_y_rechazos.csv,early/conditional,dust_asset_hours,3881.950000000,horas-activo,evidencia/revision/scenario_summary.csv,dust_asset_seconds,window=early;scenario=vwap_joint;strategy=conditional,segundos/3600,run_f4151cc97937f3704d77fb14
F00032,tablas/parametros_vigentes.csv,early,accounting_tolerance,1E-8,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.accounting_tolerance,corrida principal,,run_f4151cc97937f3704d77fb14
F00033,tablas/parametros_vigentes.csv,early,analysis_mode,prescribed_research,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.analysis_mode,corrida principal,,run_f4151cc97937f3704d77fb14
F00034,tablas/parametros_vigentes.csv,early,basis_exit,0.02,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.basis_exit,corrida principal,,run_f4151cc97937f3704d77fb14
F00035,tablas/parametros_vigentes.csv,early,basis_max,0.005,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.basis_max,corrida principal,,run_f4151cc97937f3704d77fb14
F00036,tablas/parametros_vigentes.csv,early,basis_min,0,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.basis_min,corrida principal,,run_f4151cc97937f3704d77fb14
F00037,tablas/parametros_vigentes.csv,early,capital,10000,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.capital,corrida principal,,run_f4151cc97937f3704d77fb14
F00038,tablas/parametros_vigentes.csv,early,cooldown_hours,24,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.cooldown_hours,corrida principal,,run_f4151cc97937f3704d77fb14
F00039,tablas/parametros_vigentes.csv,early,correction_seconds,60,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.correction_seconds,corrida principal,,run_f4151cc97937f3704d77fb14
F00040,tablas/parametros_vigentes.csv,early,cost_multiplier,1,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.cost_multiplier,corrida principal,,run_f4151cc97937f3704d77fb14
F00041,tablas/parametros_vigentes.csv,early,data_budget_bytes,20000000000,según parámetro,evidencia/corridas/run_f4151cc97937f3704d77fb14/run_manifest.json,config.data_budget_bytes,corrida principal,,run_f4151cc97937f3704d77fb14
