ventana,estrategia,run_id,simbolo,tipo,medida,valor,unidad,denominador,unidad_denominador,alcance
early,conditional,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,capital_deployed_daily_avg_usdt,842.5147340091264190500625236,USDT,,,cortes diarios persistidos
early,conditional,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,capital_deployed_daily_max_usdt,5298.486771938165559529892693,USDT,,,cortes diarios persistidos
early,conditional,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,covered_asset_hours,1627.850000000,horas-activo,,,suma por activo
early,conditional,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,unhedged_asset_hours,2.15,horas-activo,,,suma por activo
early,conditional,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,dust_asset_hours,3881.950000000,horas-activo,,,suma por activo
early,permanent,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,capital_deployed_daily_avg_usdt,7187.874168040020271649548277,USDT,,,cortes diarios persistidos
early,permanent,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,capital_deployed_daily_max_usdt,10536.70518614061608820136202,USDT,,,cortes diarios persistidos
early,permanent,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,covered_asset_hours,13601.900000000,horas-activo,,,suma por activo
early,permanent,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,unhedged_asset_hours,4.6,horas-activo,,,suma por activo
early,permanent,run_f4151cc97937f3704d77fb14,PORTFOLIO,exposición,dust_asset_hours,1065.400000000,horas-activo,,,suma por activo
late,conditional,run_519a165818e2cadce24bc873,PORTFOLIO,exposición,capital_deployed_daily_avg_usdt,0E-8,USDT,,,cortes diarios persistidos
late,conditional,run_519a165818e2cadce24bc873,PORTFOLIO,exposición,capital_deployed_daily_max_usdt,0E-8,USDT,,,cortes diarios persistidos
late,conditional,run_519a165818e2cadce24bc873,PORTFOLIO,exposición,covered_asset_hours,0,horas-activo,,,suma por activo
late,conditional,run_519a165818e2cadce24bc873,PORTFOLIO,exposición,unhedged_asset_hours,0,horas-activo,,,suma por activo
late,conditional,run_519a165818e2cadce24bc873,PORTFOLIO,exposición,dust_asset_hours,0,horas-activo,,,suma por activo
