scenario,comparator,strategy,period,run_id,comparator_run_id,metric,value,comparator_value,delta,reason
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,starting_equity_usdt,10000,10000,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,final_equity_usdt,10785.76304964716593690000000,10785.76304964716593690000000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,net_pnl_usdt,785.76304964716593690000000,785.76304964716593690000000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,net_return,0.07857630496471659369000,0.07857630496471659369000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,cagr,0.016334619265710986,0.016334619265710986,0E-18,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,sharpe,4.9623712776540545,4.9623712776540545,0E-16,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,annual_volatility,0.0032662470755764556,0.0032662470755764556,0E-19,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,max_drawdown,-0.0020616558706701528492637308,-0.0020616558706701528492637308,0E-28,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,max_drawdown_days,493,493,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_pnl_usdt,2211.193604481400000000000000,2211.193604481400000000000000,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_pnl_usdt,-2161.487990000000000000000000,-2161.487990000000000000000000,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,funding_usdt,850.9550632121659369000,850.9550632121659369000,0E-19,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,fees_usdt,-114.8976280464,-114.8976280464,0E-10,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,liquidation_fees_usdt,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,slippage_informational_usdt,15.34780638071242939671804124,15.34780638071242939671804124,0E-26,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_realized_pnl_usdt,2211.210988979846943548434474,2211.210988979846943548434474,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_unrealized_pnl_usdt,-0.017384498446943548434474,-0.017384498446943548434474,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_realized_pnl_usdt,-2161.487989999999999999999999,-2161.487989999999999999999999,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_unrealized_pnl_usdt,-1.023E-24,-1.023E-24,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,reconciliation_residual_usdt,0E-24,0E-24,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_deployed_usdt_daily_mean,2074.621944697141096005307256,2074.621944697141096005307256,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_deployed_usdt_daily_max,10811.783139323008315565031983,10811.783139323008315565031983,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_utilization_daily_mean,0.1980684995507296294809487908,0.1980684995507296294809487908,0E-28,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_utilization_daily_max,1.0274044222483662865705574630022333774275912665613,1.0274044222483662865705574630022333774275912665613,0E-49,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,gross_exposure_usdt_daily_mean,2737.391763002225211267605634,2737.391763002225211267605634,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,gross_exposure_usdt_daily_max,14684.3520215261000000,14684.3520215261000000,0E-16,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,collateral_usdt_daily_mean,705.7249109386284786344152218,705.7249109386284786344152218,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,collateral_usdt_daily_max,3544.742637206845047924596894,3544.742637206845047924596894,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,debt_usdt_daily_mean,0E-27,0E-27,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,debt_usdt_daily_max,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,orders_submitted,258,258,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,failed_attempts,123,123,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,fills,138,138,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,partial_fills,3,3,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,openings,10,10,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,completed_openings,9,9,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,renewals,100,100,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,rebalances,49,49,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,corrections,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,close_requests,98,98,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,margin_close_requests,5,5,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,liquidation_fills,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,blocked_orders,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,turnover_usdt,151394.8450414,151394.8450414,0E-7,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,invested_seconds,114537420.000,114537420.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,unhedged_seconds,85644240.000,85644240.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,covered_seconds,41682240.000,41682240.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,both_covered_seconds,22773720.000,22773720.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,cash_seconds,32688180.000,32688180.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,calendar_seconds,147225600,147225600,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,invested_fraction,0.7779721733176838810641627543,0.7779721733176838810641627543,0E-28,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,maintenance_daily_mean_usdt,7.628296337430747250586854460,7.628296337430747250586854460,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,maintenance_daily_max_usdt,39.136299750000000,39.136299750000000,0E-15,
BTC_PROMO_REALIZADA,BASE_E3,conditional,full,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,maintenance_ratio_daily_max,0.03531794991078364508968137174,0.03531794991078364508968137174,0E-29,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,starting_equity_usdt,10000,10000,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,final_equity_usdt,10217.44071106276812412970000,10217.44071106276812412970000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,net_pnl_usdt,217.44071106276812412970000,217.44071106276812412970000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,net_return,0.02174407110627681241297,0.02174407110627681241297,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,cagr,0.010813568916779457,0.010813568916779457,0E-18,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,sharpe,3.3374368352976136,3.3374368352976136,0E-16,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,annual_volatility,0.0032242892635432276,0.0032242892635432276,0E-19,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,max_drawdown,-0.001223820050450,-0.001223820050450,0E-15,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,max_drawdown_days,206,206,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_pnl_usdt,1285.579227767000000000000000,1285.579227767000000000000000,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_pnl_usdt,-1241.311098371979999999999999,-1241.311098371979999999999999,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,funding_usdt,200.8804361967481241297,200.8804361967481241297,0E-19,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,fees_usdt,-27.7078545290,-27.7078545290,0E-10,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,liquidation_fees_usdt,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,slippage_informational_usdt,3.590470572963450080154911384,3.590470572963450080154911384,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_realized_pnl_usdt,620.6437845934466274456304127,620.6437845934466274456304127,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_unrealized_pnl_usdt,664.935443173553372554369587,664.935443173553372554369587,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_realized_pnl_usdt,-580.8928499999999999999999989,-580.8928499999999999999999989,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_unrealized_pnl_usdt,-660.4182483719799999999999998,-660.4182483719799999999999998,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,reconciliation_residual_usdt,-1E-24,-1E-24,0E-24,
