scenario,strategy,run_id,period,orders_submitted,failed_attempts,fills,partial_fills,openings,completed_openings,renewals,rebalances,corrections,close_requests,margin_close_requests,liquidation_fills,blocked_orders,turnover_usdt
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,258,123,138,3,10,9,100,49,0,98,5,0,0,151394.8450414
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,108,2,108,2,6,6,77,39,0,96,5,0,0,116245.1694274
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,83,1,83,1,6,6,61,28,0,95,5,0,0,101542.7136104
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2025,25,1,25,1,0,0,16,11,0,1,0,0,0,14702.455817
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,735,407,332,4,20,17,458,129,0,20,7,0,0,301199.1216450
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022-2023,444,319,128,3,9,8,189,47,0,9,0,0,0,117791.7839230
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024+,291,88,204,1,11,9,269,82,0,11,7,0,0,183407.3377220
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022,58,8,50,0,4,4,92,19,0,2,0,0,0,43331.1396411
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2023,386,311,78,3,5,4,97,28,0,7,0,0,0,74460.6442819
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024,223,88,136,1,10,8,96,50,0,10,6,0,0,153077.5825191
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2025,64,0,64,0,1,1,104,30,0,1,1,0,0,30244.2493529
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2026,4,0,4,0,0,0,69,2,0,0,0,0,0,85.505850
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,258,123,138,3,10,9,100,49,0,98,5,0,0,151394.8450414
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022-2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024+,108,2,108,2,6,6,77,39,0,96,5,0,0,116245.1694274
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2023,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024,83,1,83,1,6,6,61,28,0,95,5,0,0,101542.7136104
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2025,25,1,25,1,0,0,16,11,0,1,0,0,0,14702.455817
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,396,243,156,3,12,11,113,54,0,100,6,0,0,180967.4560413
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022-2023,290,241,50,1,6,5,36,16,0,4,1,0,0,64239.3950010
