scenario,strategy,run_id,period,symbol,invested_seconds,unhedged_seconds,covered_seconds,cash_seconds,calendar_seconds,invested_fraction,both_covered_seconds
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,BTCUSDT,88415820.000,64436880.000,23978940.000,58809780.000,147225600,0.6005465082159624413145539906,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,ETHUSDT,114537420.000,74060400.000,40477020.000,32688180.000,147225600,0.7779721733176838810641627543,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,PORTFOLIO,114537420.000,85644240.000,41682240.000,32688180.000,147225600,0.7779721733176838810641627543,22773720.000
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,BTCUSDT,4262220.000,240.000,4261980.000,58809780.000,63072000,0.06757705479452054794520547945,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,ETHUSDT,30383820.000,20002200.000,10381620.000,32688180.000,63072000,0.4817323059360730593607305936,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,PORTFOLIO,30383820.000,20002440.000,10381680.000,32688180.000,63072000,0.4817323059360730593607305936,4261920.000
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,BTCUSDT,84153600.000,64436640.000,19716960.000,0.000,84153600,1.000,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,ETHUSDT,84153600.000,54058200.000,30095400.000,0.000,84153600,1.000,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,PORTFOLIO,84153600.000,65641800.000,31300560.000,0.000,84153600,1.000,18511800.000
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,BTCUSDT,0,0,0,31536000,31536000,0,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,ETHUSDT,0,0,0,31536000,31536000,0,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,PORTFOLIO,0,0,0,31536000,31536000,0,0
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,BTCUSDT,4262220.000,240.000,4261980.000,27273780.000,31536000,0.1351541095890410958904109589,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,ETHUSDT,30383820.000,20002200.000,10381620.000,1152180.000,31536000,0.9634646118721461187214611872,
