scenario,strategy,run_id,boundary,boundary_utc,fill_id,status
BASE_E3,conditional,run_ad71d751b20623006c195ff3,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
BASE_E3,conditional,run_ad71d751b20623006c195ff3,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,promo_start,2022-07-08T14:00:00.000000000Z,,no_fill_at_boundary
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,promo_end,2023-03-22T00:00:00.000000000Z,,no_fill_at_boundary
