scenario,strategy,run_id,base_run_id,opportunity_daily_sha256,exact_base_invariance,expected_base_invariance,independent_of_portfolio,per_asset_minutes_verified,decision_cost
BASE_E3,conditional,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,run_dfea4b7ac1475668d5968c97,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,run_ad71d751b20623006c195ff3,c2c829cecab2378e0ed50493f220288a12265fd40f7ddae02c8768014f8b4ffe,False,False,True,True,scenario contemporaneous cost
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,run_dfea4b7ac1475668d5968c97,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,run_dfea4b7ac1475668d5968c97,c2c829cecab2378e0ed50493f220288a12265fd40f7ddae02c8768014f8b4ffe,False,False,True,True,scenario contemporaneous cost
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,run_ad71d751b20623006c195ff3,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,run_ad71d751b20623006c195ff3,f9b0c8728f21309862f101b14879dca83523c889b97bc16a94d78959eeb50487,False,False,True,True,scenario contemporaneous cost
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,run_ad71d751b20623006c195ff3,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,run_dfea4b7ac1475668d5968c97,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,run_dfea4b7ac1475668d5968c97,8c4d3b3bd8a7160f76333a952552a83f75b32fed29e2437b11c360dd67578ffc,True,True,True,True,0.0034
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,run_dfea4b7ac1475668d5968c97,f9b0c8728f21309862f101b14879dca83523c889b97bc16a94d78959eeb50487,False,False,True,True,scenario contemporaneous cost
