scenario,strategy,run_id,period,start_utc,end_exclusive_utc,days,coverage_complete,starting_equity_usdt,final_equity_usdt,net_pnl_usdt,net_return,cagr,cagr_reason,sharpe,sharpe_reason,annual_volatility,max_drawdown,max_drawdown_days,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,reconciliation_residual_usdt,capital_deployed_usdt_daily_mean,capital_deployed_usdt_daily_max,capital_utilization_daily_mean,capital_utilization_daily_max,gross_exposure_usdt_daily_mean,gross_exposure_usdt_daily_max,collateral_usdt_daily_mean,collateral_usdt_daily_max,debt_usdt_daily_mean,debt_usdt_daily_max,orders_submitted,failed_attempts,fills,partial_fills,openings,completed_openings,renewals,rebalances,corrections,close_requests,margin_close_requests,liquidation_fills,blocked_orders,turnover_usdt,invested_seconds,unhedged_seconds,covered_seconds,both_covered_seconds,cash_seconds,calendar_seconds,invested_fraction,maintenance_daily_mean_usdt,maintenance_daily_max_usdt,maintenance_ratio_daily_max,maintenance_reason
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,1704,True,10000,10785.76304964716593690000000,785.76304964716593690000000,0.07857630496471659369000,0.016334619265710986,,4.9623712776540545,,0.0032662470755764556,-0.0020616558706701528492637308,493,2211.193604481400000000000000,-2161.487990000000000000000000,850.9550632121659369000,-114.8976280464,0,15.34780638071242939671804124,2211.210988979846943548434474,-0.017384498446943548434474,-2161.487989999999999999999999,-1.023E-24,0E-24,2074.621944697141096005307256,10811.783139323008315565031983,0.1980684995507296294809487908,1.0274044222483662865705574630022333774275912665613,2737.391763002225211267605634,14684.3520215261000000,705.7249109386284786344152218,3544.742637206845047924596894,0E-27,0,258,123,138,3,10,9,100,49,0,98,5,0,0,151394.8450414,114537420.000,85644240.000,41682240.000,22773720.000,32688180.000,147225600,0.7779721733176838810641627543,7.628296337430747250586854460,39.136299750000000,0.03531794991078364508968137174,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,730,True,10000,10217.44071106276812412970000,217.44071106276812412970000,0.02174407110627681241297,0.010813568916779457,,3.3374368352976136,,0.0032242892635432276,-0.001223820050450,206,1285.579227767000000000000000,-1241.311098371979999999999999,200.8804361967481241297,-27.7078545290,0,3.590470572963450080154911384,620.6437845934466274456304127,664.935443173553372554369587,-580.8928499999999999999999989,-660.4182483719799999999999998,-1E-24,1051.040075854035127333250440,9667.791514294600000000000000,0.1042204491765538707102810628,0.95489695136064988465951677277067404821792009153841,1427.100965892637917808219178,13476.0297036588600000,337.5202026836221136346203025,3023.078550207000000000000000,0E-26,0,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140,30383820.000,20002440.000,10381680.000,4261920.000,32688180.000,63072000,0.4817323059360730593607305936,4.113869596876340335616438356,35.425191432213190,0.02321153030002510659919636475,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,974,True,10217.44071106276812412970000,10785.76304964716593690000000,568.32233858439781277030000,0.055622768426642889470764155,0.020492334276123285,,6.181079222662197,,0.0032827820497003694,-0.0020616558706701528492637308,493,925.614376714400000000000000,-920.1768916280200000000000013,650.0746270154178127703,-87.1897735174,0,11.75733580774897931656312986,1590.567204386400316102804061,-664.952827672000316102804061,-1580.595140000000000000000000,660.4182483719800000000000000,1.3E-24,2841.782893624725651580873451,10811.783139323008315565031983,0.2684063607141262453973630015,1.0274044222483662865705574630022333774275912665613,3719.437226954995975359342916,14684.3520215261000000,981.6894253391979308416537153,3544.742637206845047924596894,0E-27,0E-26,108,2,108,2,6,6,77,39,0,96,5,0,0,116245.1694274,84153600.000,65641800.000,31300560.000,18511800.000,0.000,84153600,1.000,10.26231227234318775154004107,39.136299750000000,0.03531794991078364508968137174,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,365,True,10000,10000,0,0,0.0,,,zero sample volatility,0.0,0,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31536000,31536000,0,0,0,,no defined active daily margin ratio
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,365,True,10000,10217.44071106276812412970000,217.44071106276812412970000,0.02174407110627681241297,0.021744071106276852,,4.790370676993327,,0.004492705254516057,-0.001223820050450,206,1285.579227767000000000000000,-1241.311098371979999999999999,200.8804361967481241297,-27.7078545290,0,3.590470572963450080154911384,620.6437845934466274456304127,664.935443173553372554369587,-580.8928499999999999999999989,-660.4182483719799999999999998,-1E-24,2102.080151708070254666500880,9667.791514294600000000000000,0.2084408983531077414205621255,0.95489695136064988465951677277067404821792009153841,2854.201931785275835616438356,13476.0297036588600000,675.0404053672442272692406049,3023.078550207000000000000000,0E-26,0,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140,30383820.000,20002440.000,10381680.000,4261920.000,1152180.000,31536000,0.9634646118721461187214611872,8.227739193752680671232876712,35.425191432213190,0.02321153030002510659919636475,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,366,True,10217.44071106276812412970000,10752.56697146071223708930000,535.12626039794411295960000,0.052373806272107342731451990,0.0522270351463172,,10.458780671296287,,0.004869044772446918,-0.0020616558706701528492637308,99,2684.307542705400000000000000,-2676.988248284430000000000000,603.9680715223741129596,-76.1611055454,0,10.26119849514917785658782064,3213.821770627276024018641786,-529.514227921876024018641786,-3205.059089999999999999999999,528.0708417155700000000000001,0E-24,5896.766335080019923215983257,10811.783139323008315565031983,0.5597503463683226893695423525,1.0274044222483662865705574630022333774275912665613,7865.348498754823333333333333,14684.3520215261000000,1963.971003968867464199589759,3544.742637206845047924596894,0E-27,0E-26,83,1,83,1,6,6,61,28,0,95,5,0,0,101542.7136104,31622400.000,13110600.000,21192120.000,18511800.000,0.000,31622400,1.000,20.70910055450861846994535519,39.136299750000000,0.03531794991078364508968137174,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2025,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,365,True,10752.56697146071223708930000,10785.85173007036593690000000,33.28475860965369981070000,0.003095517442299830623850489,0.003095517442299745,,3.291837531193849,,0.000939046649754778,-0.0005433013179041337464200769,250,-1758.604485567800000000000000,1756.811356656409999999999999,46.1065554930436998107,-11.0286679720,0,1.496137312599801459975309226,-1623.254566240875707915837725,-135.349919326924292084162275,1624.463949999999999999999999,132.3474066564100000000000000,1E-24,1669.931643631186007514303746,6351.675861247000092716848892,0.1549172514869622263210762487,0.58859410197432088906355406835493861962257814697539,2037.970681326268876712328767,7459.2201756438000000,650.2797611719816239526599142,2620.877555603200092716848892,0E-27,0E-27,25,1,25,1,0,0,16,11,0,1,0,0,0,14702.455817,31536000.000,31536000.000,10108440.000,0.000,0.000,31536000,1.000,6.619072192635919205479452055,24.234742155000000,0.02138879806567289849153793992,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2026,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,243,True,10785.85173007036593690000000,10785.76304964716593690000000,-0.08868042320000000000000,-0.0000082219212185871070573614,-1.2349773872051244e-05,,-0.4357775412356786,,2.833888592146185e-05,-0.0000335007952181014721272241,229,-0.088680423200000000000000,0E-24,0E-19,0E-10,0,0E-27,0E-24,-0.088680423200000000000000,0E-24,0E-11,0E-24,0.6379005177473251028806584362,0.872745974200000000000000,0.00005914309469813210117791123284,0.000080915169561779786959332698846441751487820208753315,0.6379005177473251028806584362,0.8727459742000000,0E-24,0E-24,0E-27,0E-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20995200,20995200,0,0,0,20995200,1,0,0,,no defined active daily margin ratio
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,1704,True,10000,11680.06921675742584680269999,1680.06921675742584680269999,0.168006921675742584680269999,0.03382477331458349,,6.5336323814925095,,0.005093606267896351,-0.0048274899052302995404322594,154,2428.905414541000000000000001,-2316.046982739940000000000014,1796.4187642363658468027,-229.2079792800,0,30.50942939449756667191741646,5042.116002082429475766102376,-2613.210587541429475766102376,-4935.154555270059468501745856,2619.107572530119468501745846,3E-24,8972.082859564201407067601849,11390.839988444023937470733887,0.8263087072301911798676557582,1.0177669999873091995643640908771225014728336087947,11325.91971805310295774647887,16160.9364332599800000,3308.106921967248766222530796,3891.962269777540849980786611,0E-27,0,735,407,332,4,20,17,458,129,0,20,7,0,0,301199.1216450,146966280.000,8188680.000,144579240.000,138662400.000,259320.000,147225600,0.9982386215440792905581637976,29.47650607281412458039906103,42.342212756160920,0.03723135744870568335597465779,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,730,True,10000,10616.65659629191340324689999,616.65659629191340324689999,0.061665659629191340324689999,0.030371612394863752,,4.616517824854036,,0.00648577480827393,-0.0048274899052302995404322594,145,-845.8722407020000000000000000,952.9001168552599999999999910,598.0126099816534032469,-88.3838898430,0,11.98240190820243118013510424,-1513.289321933532557571530687,667.417081231532557571530687,1622.540408279269477060892817,-669.6402914240094770608928249,-1.0E-24,8312.755964329959247043391764,10325.585232950605923070408999,0.8135405799590527780166061842,1.0006386526421492934761385268006355598143915301969,10525.65402898403709589041096,14412.7950375129400000,3048.985091875911986769419185,3474.605786891336637931034483,0E-27,0,444,319,128,3,9,8,189,47,0,9,0,0,0,117791.7839230,62812680.000,7035060.000,60728280.000,55662420.000,259320.000,63072000,0.9958885083713850837138508371,27.12202291431580941095890411,37.806949270688930,0.03047854265085599301109004744,
