scenario,strategy,status,engine_status,run_id,path,manifest_sha256,reason
BASE_E3,conditional,reutilizado_verificado,complete,run_ad71d751b20623006c195ff3,corridas/run_ad71d751b20623006c195ff3,a9510b7ad3a5435e83d062e561507ec0b4f118bceca83719da6162d5cc55209f,Exact code/config/dependencies/data/output verification before extension
BASE_E3,permanent,reutilizado_verificado,complete,run_dfea4b7ac1475668d5968c97,corridas/run_dfea4b7ac1475668d5968c97,d37bb1781a7402b33ef6b006b8df8f44635e84c238da0bbd769894b00ee40261,Exact code/config/dependencies/data/output verification before extension
BTC_PROMO_REALIZADA,conditional,ejecutado,complete,run_1ae1cf88ac71b976740edc03,corridas/run_1ae1cf88ac71b976740edc03,ee0c0035127b6dc83a192d7e53d479e200ee0d12f0e3c8e45445d47632778bad,
BTC_PROMO_DECISION,conditional,ejecutado,complete,run_d434594cde4077ba6661d7e4,corridas/run_d434594cde4077ba6661d7e4,1352d1b59138add4c14587887b75144fc9a23944df165e67479138dff1d764de,
BTC_PROMO_REALIZADA,permanent,ejecutado,complete,run_d3ebbfeb6f98be343782ccbb,corridas/run_d3ebbfeb6f98be343782ccbb,de8d627dab7bb908948e8e666419084dd5b73ad80c6a1b915a33c912bf62953d,
BTC_PROMO_DECISION,permanent,ejecutado,complete,run_a45c9456ea5d541c9ddce187,corridas/run_a45c9456ea5d541c9ddce187,a1668fe49627fa258363394b1a6733aae74c67e1ae59a9c5e2e93a40e3e0e45c,
FUT4_REALIZADA,conditional,ejecutado,complete,run_d17c6848d9a0c5c85249b152,corridas/run_d17c6848d9a0c5c85249b152,03ce44c6fdcc72b5ceeefd688d9fc6967a0db0d6b5aa7acb9a5587f6f4b3ec05,
FUT4_DECISION,conditional,ejecutado,complete,run_8f497f6f609b074f796e043f,corridas/run_8f497f6f609b074f796e043f,cd7067a92739cd55221bc9cec0fb819f0a37eba6e46a1bc7125f7bda5801c916,
MARGEN_2X,conditional,ejecutado,complete,run_70383794701c4f0fc157b2ed,corridas/run_70383794701c4f0fc157b2ed,0c24c059518e3de36125c142680f98d686068d3793a63f7ee121e64c3394a623,
MARGEN_2X,permanent,ejecutado,complete,run_3f5d9cce8ff1c2ba5447e3b6,corridas/run_3f5d9cce8ff1c2ba5447e3b6,29ae8e7e0862a22875bf4e6563d16bbb4d334c4963384897097a89df12f1f9dd,
FUT4_REALIZADA,permanent,ejecutado,complete,run_edc965655c124abd4318e838,corridas/run_edc965655c124abd4318e838,894cf8bf272547cf8f5162f7cafdea3f01739f5ac5a8d620f5a407fd147886f6,
FUT4_DECISION,permanent,ejecutado,complete,run_9a4b6b4c853215594e14bd86,corridas/run_9a4b6b4c853215594e14bd86,d1ae0f2000074f51e03a6bd354310a3b86d992955b9852880f925132c49d9f94,
