run_id,symbol,fact_id,source_id,temporal_kind,diagnostic_anchor_utc,existing_short_quantity,last_ledger_event_id,last_ledger_timestamp_utc,existing_positions_affected,known_from_utc,subsequent_increase_fills_before_flat,increase_fill_ids,cohort_closed_at_ns,scope
run_ad71d751b20623006c195ff3,ETHUSDT,TIERS_MARG22_ETHUSDT_after,MARG22,exact_event,2022-09-13T07:00:00Z,0,,,True,,0,,,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_dfea4b7ac1475668d5968c97,ETHUSDT,TIERS_MARG22_ETHUSDT_after,MARG22,exact_event,2022-09-13T07:00:00Z,1.721,funding:ETHUSDT:1663027200004000000,2022-09-13T00:00:00.004000000Z,True,,2,fill-permanent-00000058-1664697960000000000|fill-permanent-00000060-1672560360000000000,1673656800000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_ad71d751b20623006c195ff3,BTCUSDT,TIERS_MARG23_BTCUSDT_after,MARG23,exact_event,2023-12-24T09:35:00Z,0.072,funding:BTCUSDT:1703404800000000000,2023-12-24T08:00:00.000000000Z,False,,0,,1704984360000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_dfea4b7ac1475668d5968c97,BTCUSDT,TIERS_MARG23_BTCUSDT_after,MARG23,exact_event,2023-12-24T09:35:00Z,0.072,funding:BTCUSDT:1703404800000000000,2023-12-24T08:00:00.000000000Z,False,,0,,1704984180000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_ad71d751b20623006c195ff3,ETHUSDT,TIERS_MARG23_ETHUSDT_after,MARG23,exact_event,2023-12-24T09:35:00Z,1.306,funding:ETHUSDT:1703404800000000000,2023-12-24T08:00:00.000000000Z,False,,0,,1704973620000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_dfea4b7ac1475668d5968c97,ETHUSDT,TIERS_MARG23_ETHUSDT_after,MARG23,exact_event,2023-12-24T09:35:00Z,1.342,funding:ETHUSDT:1703404800000000000,2023-12-24T08:00:00.000000000Z,False,,1,fill-permanent-00000446-1704441960000000000,1704984660000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_ad71d751b20623006c195ff3,BTCUSDT,TIERS_MARG24_BTCUSDT_after,MARG24,approximate_rollout,2024-05-28T10:30:00Z,0.045,funding:BTCUSDT:1716883200000000000,2024-05-28T08:00:00.000000000Z,False,,3,fill-conditional-00000198-1718755500000000000|fill-conditional-00000200-1719360300000000000|fill-conditional-00000212-1722989100000000000,1724198640000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_dfea4b7ac1475668d5968c97,BTCUSDT,TIERS_MARG24_BTCUSDT_after,MARG24,approximate_rollout,2024-05-28T10:30:00Z,0.046,funding:BTCUSDT:1716883200000000000,2024-05-28T08:00:00.000000000Z,False,,5,fill-permanent-00000514-1716998700000000000|fill-permanent-00000520-1718813100000000000|fill-permanent-00000522-1719417900000000000|fill-permanent-00000526-1720627500000000000|fill-permanent-00000534-1723046700000000000,1730150100000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_ad71d751b20623006c195ff3,ETHUSDT,TIERS_MARG24_ETHUSDT_after,MARG24,approximate_rollout,2024-05-28T10:30:00Z,0.847,funding:ETHUSDT:1716883200000000000,2024-05-28T08:00:00.000000000Z,False,,4,fill-conditional-00000196-1718409900000000000|fill-conditional-00000202-1720224300000000000|fill-conditional-00000208-1722038700000000000|fill-conditional-00000210-1722643500000000000,1723248240000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
run_dfea4b7ac1475668d5968c97,ETHUSDT,TIERS_MARG24_ETHUSDT_after,MARG24,approximate_rollout,2024-05-28T10:30:00Z,0.874,funding:ETHUSDT:1716883200000000000,2024-05-28T08:00:00.000000000Z,False,,6,fill-permanent-00000518-1718323500000000000|fill-permanent-00000524-1720137900000000000|fill-permanent-00000532-1721952300000000000|fill-permanent-00000536-1723161900000000000|fill-permanent-00000540-1724371500000000000|fill-permanent-00000544-1728000300000000000,1730150100000000000,quantity_reconstructed_from_recorded_ledger_no_policy_applied
