fact_id,source_id,derived_fact_id,tier_index,floor_exclusive_usdt,cap_inclusive_usdt,published_rate,derived_deduction_usdt,maintenance_at_cap,next_formula_at_cap,continuity_checked,boundary_selection_passed
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,0,0,100000,0.005,0,500.000,500.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,1,100000,250000,0.0065,150.0000,1475.0000,1475.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,2,250000,1000000,0.01,1025.0000,8975.0000,8975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,3,1000000,5000000,0.02,11025.0000,88975.0000,88975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,4,5000000,10000000,0.05,161025.0000,338975.0000,338975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,5,10000000,20000000,0.1,661025.0000,1338975.0000,1338975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,6,20000000,40000000,0.125,1161025.0000,3838975.0000,3838975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,7,40000000,80000000,0.15,2161025.0000,9838975.0000,9838975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,8,80000000,150000000,0.25,10161025.0000,27338975.0000,27338975.0000,True,True
TIERS_MARG22_ETHUSDT_before,MARG22,TIERS_MARG22_ETHUSDT_before_DERIVED,9,150000000,300000000,0.5,47661025.0000,102338975.0000,,False,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,0,0,250000,0.0065,0,1625.0000,1625.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,1,250000,1000000,0.01,875.0000,9125.0000,9125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,2,1000000,5000000,0.02,10875.0000,89125.0000,89125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,3,5000000,10000000,0.05,160875.0000,339125.0000,339125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,4,10000000,20000000,0.1,660875.0000,1339125.0000,1339125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,5,20000000,40000000,0.125,1160875.0000,3839125.0000,3839125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,6,40000000,80000000,0.15,2160875.0000,9839125.0000,9839125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,7,80000000,150000000,0.25,10160875.0000,27339125.0000,27339125.0000,True,True
TIERS_MARG22_ETHUSDT_after,MARG22,TIERS_MARG22_ETHUSDT_after_DERIVED,8,150000000,300000000,0.5,47660875.0000,102339125.0000,,False,True
TIERS_MARG23_BTCUSDT_before,MARG23,TIERS_MARG23_BTCUSDT_before_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
TIERS_MARG23_BTCUSDT_before,MARG23,TIERS_MARG23_BTCUSDT_before_DERIVED,1,50000,500000,0.005,50.000,2450.000,2450.000,True,True
