START FUT4_DECISION/permanent code=314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97
[futures_scaled/permanent] 0.8% | UTC 2022-01-14T20:05:00.000000000Z | fills 8
[futures_scaled/permanent] 4.2% | UTC 2022-03-14T09:52:00.000000000Z | fills 10
[futures_scaled/permanent] 7.3% | UTC 2022-05-05T00:17:00.000000000Z | fills 16
[futures_scaled/permanent] 10.3% | UTC 2022-06-25T00:01:00.001000000Z | fills 26
[futures_scaled/permanent] 12.0% | UTC 2022-07-25T04:56:00.000000000Z | fills 32
[futures_scaled/permanent] 13.6% | UTC 2022-08-20T20:04:00.000000000Z | fills 40
[futures_scaled/permanent] 15.1% | UTC 2022-09-14T13:12:00.000000000Z | fills 48
[futures_scaled/permanent] 16.4% | UTC 2022-10-07T16:01:00.007000000Z | fills 50
[futures_scaled/permanent] 17.7% | UTC 2022-10-30T08:04:00.000000000Z | fills 50
[futures_scaled/permanent] 19.1% | UTC 2022-11-22T21:37:00.000000000Z | fills 50
[futures_scaled/permanent] 20.4% | UTC 2022-12-15T08:57:00.000000000Z | fills 50
[futures_scaled/permanent] 21.7% | UTC 2023-01-06T08:43:00.000000000Z | fills 52
[futures_scaled/permanent] 23.2% | UTC 2023-01-30T16:04:00.000000000Z | fills 65
[futures_scaled/permanent] 24.8% | UTC 2023-02-27T23:30:00.000000000Z | fills 72
[futures_scaled/permanent] 26.5% | UTC 2023-03-27T17:05:00.000000000Z | fills 88
[futures_scaled/permanent] 28.0% | UTC 2023-04-23T22:07:00.000000000Z | fills 96
[futures_scaled/permanent] 29.3% | UTC 2023-05-15T20:08:00.000000000Z | fills 98
[futures_scaled/permanent] 30.7% | UTC 2023-06-07T19:18:00.000000000Z | fills 98
[futures_scaled/permanent] 32.0% | UTC 2023-06-29T11:02:00.000000000Z | fills 102
[futures_scaled/permanent] 33.4% | UTC 2023-07-24T06:48:00.000000000Z | fills 102
[futures_scaled/permanent] 34.9% | UTC 2023-08-18T08:06:00.000000000Z | fills 106
[futures_scaled/permanent] 36.2% | UTC 2023-09-09T15:50:00.000000000Z | fills 106
[futures_scaled/permanent] 37.4% | UTC 2023-10-01T01:59:00.000000000Z | fills 106
[futures_scaled/permanent] 38.9% | UTC 2023-10-25T22:37:00.000000000Z | fills 108
[futures_scaled/permanent] 40.2% | UTC 2023-11-16T21:56:00.000000000Z | fills 120
[futures_scaled/permanent] 41.5% | UTC 2023-12-09T12:14:00.000000000Z | fills 126
[futures_scaled/permanent] 42.8% | UTC 2023-12-31T19:17:00.000000000Z | fills 128
[futures_scaled/permanent] 44.2% | UTC 2024-01-23T16:25:00.000000000Z | fills 142
[futures_scaled/permanent] 45.4% | UTC 2024-02-14T09:40:00.000000000Z | fills 150
[futures_scaled/permanent] 46.6% | UTC 2024-03-05T13:39:00.000000000Z | fills 164
[futures_scaled/permanent] 47.9% | UTC 2024-03-26T11:34:00.000000000Z | fills 172
[futures_scaled/permanent] 49.1% | UTC 2024-04-16T23:32:00.000000000Z | fills 176
[futures_scaled/permanent] 50.4% | UTC 2024-05-08T22:34:00.000000000Z | fills 182
[futures_scaled/permanent] 51.7% | UTC 2024-05-30T20:06:00.000000000Z | fills 186
[futures_scaled/permanent] 52.9% | UTC 2024-06-20T21:42:00.000000000Z | fills 194
[futures_scaled/permanent] 54.2% | UTC 2024-07-12T07:59:00.000000000Z | fills 200
[futures_scaled/permanent] 55.4% | UTC 2024-08-01T18:23:00.000000000Z | fills 206
[futures_scaled/permanent] 56.6% | UTC 2024-08-22T09:16:00.000000000Z | fills 214
[futures_scaled/permanent] 57.8% | UTC 2024-09-12T05:03:00.000000000Z | fills 214
[futures_scaled/permanent] 59.0% | UTC 2024-10-02T17:12:00.000000000Z | fills 216
[futures_scaled/permanent] 61.1% | UTC 2024-11-07T04:50:00.000000000Z | fills 232
[futures_scaled/permanent] 63.4% | UTC 2024-12-15T12:19:00.000000000Z | fills 250
[futures_scaled/permanent] 65.6% | UTC 2025-01-22T16:04:00.000000000Z | fills 257
[futures_scaled/permanent] 67.5% | UTC 2025-02-24T09:18:00.000000000Z | fills 268
[futures_scaled/permanent] 69.3% | UTC 2025-03-27T05:13:00.000000000Z | fills 270
[futures_scaled/permanent] 71.4% | UTC 2025-05-02T06:28:00.000000000Z | fills 270
[futures_scaled/permanent] 73.9% | UTC 2025-06-13T02:52:00.000000000Z | fills 276
[futures_scaled/permanent] 76.2% | UTC 2025-07-23T06:36:00.000000000Z | fills 284
