START FUT4_REALIZADA/permanent code=314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97
[futures_scaled/permanent] 1.6% | UTC 2022-01-28T16:58:00.000000000Z | fills 8
[futures_scaled/permanent] 3.5% | UTC 2022-02-28T22:06:00.000000000Z | fills 8
[futures_scaled/permanent] 5.3% | UTC 2022-04-01T02:50:00.000000000Z | fills 12
[futures_scaled/permanent] 7.2% | UTC 2022-05-04T08:01:00.011000000Z | fills 16
[futures_scaled/permanent] 9.0% | UTC 2022-06-02T12:44:00.000000000Z | fills 22
[futures_scaled/permanent] 11.0% | UTC 2022-07-07T04:53:00.000000000Z | fills 26
[futures_scaled/permanent] 13.2% | UTC 2022-08-14T15:23:00.000000000Z | fills 38
[futures_scaled/permanent] 15.1% | UTC 2022-09-14T13:12:00.000000000Z | fills 48
[futures_scaled/permanent] 16.7% | UTC 2022-10-12T06:59:00.000000000Z | fills 50
[futures_scaled/permanent] 18.3% | UTC 2022-11-08T04:42:00.000000000Z | fills 50
[futures_scaled/permanent] 19.8% | UTC 2022-12-04T01:09:00.000000000Z | fills 50
[futures_scaled/permanent] 21.3% | UTC 2022-12-29T15:21:00.000000000Z | fills 50
[futures_scaled/permanent] 22.8% | UTC 2023-01-24T07:31:00.000000000Z | fills 62
[futures_scaled/permanent] 24.5% | UTC 2023-02-22T11:23:00.000000000Z | fills 72
[futures_scaled/permanent] 26.3% | UTC 2023-03-24T12:00:00.000000000Z | fills 86
[futures_scaled/permanent] 27.9% | UTC 2023-04-21T08:05:00.000000000Z | fills 94
[futures_scaled/permanent] 29.3% | UTC 2023-05-15T14:13:00.000000000Z | fills 98
[futures_scaled/permanent] 30.8% | UTC 2023-06-09T16:53:00.000000000Z | fills 100
[futures_scaled/permanent] 32.2% | UTC 2023-07-04T11:17:00.000000000Z | fills 102
[futures_scaled/permanent] 33.8% | UTC 2023-07-31T03:50:00.000000000Z | fills 102
[futures_scaled/permanent] 35.4% | UTC 2023-08-27T01:27:00.000000000Z | fills 106
[futures_scaled/permanent] 36.7% | UTC 2023-09-18T05:20:00.000000000Z | fills 106
[futures_scaled/permanent] 38.1% | UTC 2023-10-11T16:01:00.000000000Z | fills 106
[futures_scaled/permanent] 39.5% | UTC 2023-11-04T10:35:00.000000000Z | fills 112
[futures_scaled/permanent] 40.7% | UTC 2023-11-25T15:00:00.000000000Z | fills 124
[futures_scaled/permanent] 42.1% | UTC 2023-12-19T17:44:00.000000000Z | fills 128
[futures_scaled/permanent] 43.5% | UTC 2024-01-11T14:44:00.000000000Z | fills 132
[futures_scaled/permanent] 44.2% | UTC 2024-01-24T12:48:00.000000000Z | fills 142
[futures_scaled/permanent] 46.4% | UTC 2024-03-01T19:45:00.000000000Z | fills 164
[futures_scaled/permanent] 48.5% | UTC 2024-04-06T05:01:00.000000000Z | fills 174
[futures_scaled/permanent] 50.6% | UTC 2024-05-12T04:30:00.000000000Z | fills 182
[futures_scaled/permanent] 51.7% | UTC 2024-05-31T01:51:00.000000000Z | fills 186
[futures_scaled/permanent] 52.8% | UTC 2024-06-19T00:44:00.000000000Z | fills 192
[futures_scaled/permanent] 53.8% | UTC 2024-07-05T09:15:00.000000000Z | fills 198
[futures_scaled/permanent] 54.9% | UTC 2024-07-24T08:30:00.000000000Z | fills 204
[futures_scaled/permanent] 55.8% | UTC 2024-08-09T06:30:00.000000000Z | fills 210
[futures_scaled/permanent] 57.0% | UTC 2024-08-28T11:17:00.000000000Z | fills 214
[futures_scaled/permanent] 57.9% | UTC 2024-09-14T02:53:00.000000000Z | fills 214
[futures_scaled/permanent] 59.0% | UTC 2024-10-02T03:43:00.000000000Z | fills 216
[futures_scaled/permanent] 60.0% | UTC 2024-10-18T20:10:00.000000000Z | fills 220
[futures_scaled/permanent] 61.1% | UTC 2024-11-06T14:25:00.000000000Z | fills 232
[futures_scaled/permanent] 62.0% | UTC 2024-11-22T10:37:00.000000000Z | fills 246
[futures_scaled/permanent] 63.1% | UTC 2024-12-11T10:54:00.000000000Z | fills 250
[futures_scaled/permanent] 64.3% | UTC 2025-01-01T02:18:00.000000000Z | fills 252
[futures_scaled/permanent] 65.5% | UTC 2025-01-20T18:14:00.000000000Z | fills 256
[futures_scaled/permanent] 66.5% | UTC 2025-02-06T16:06:00.000000000Z | fills 266
