import time: self [us] | cumulative | imported package
import time:       233 |        233 | winreg
import time:       392 |        392 |   _io
import time:        68 |         68 |   marshal
import time:       417 |        417 |   nt
import time:      1230 |       2104 | _frozen_importlib_external
import time:      1080 |       1080 |   time
import time:       466 |       1545 | zipimport
import time:       104 |        104 |     _codecs
import time:      1105 |       1208 |   codecs
import time:      2762 |       2762 |   encodings.aliases
import time:      1324 |       1324 |   encodings._win_cp_codecs
import time:      4324 |       9616 | encodings
import time:      1332 |       1332 | encodings.utf_8
import time:      1454 |       1454 | encodings.cp1252
import time:       398 |        398 | _signal
import time:        77 |         77 |       _abc
import time:       421 |        498 |     abc
import time:       199 |        199 |       _stat
import time:       387 |        585 |     stat
import time:      1778 |       1778 |     _collections_abc
import time:       187 |        187 |       genericpath
import time:       216 |        216 |       _winapi
import time:       470 |        872 |     ntpath
import time:      1283 |       5014 |   os
import time:       487 |        487 |   _sitebuiltins
import time:       212 |        212 |   errno
import time:      1689 |       1689 |   encodings.utf_8_sig
import time:      3778 |       3778 |   _virtualenv
import time:      1124 |       1124 |   sitecustomize
import time:      5468 |      17770 | site
import time:      2427 |       2427 | __future__
import time:       129 |        129 |         _types
import time:      1640 |       1768 |       types
import time:      4130 |       5898 |     enum
import time:       158 |        158 |       _sre
import time:      1541 |       1541 |         re._constants
import time:      1919 |       3460 |       re._parser
import time:      1523 |       1523 |       re._casefix
import time:      2489 |       7629 |     re._compiler
import time:       334 |        334 |         itertools
import time:      1812 |       1812 |         keyword
import time:       174 |        174 |           _operator
import time:      1844 |       2017 |         operator
import time:      1657 |       1657 |         reprlib
import time:       288 |        288 |         _collections
import time:      3175 |       9281 |       collections
import time:       156 |        156 |       _functools
import time:      2465 |      11901 |     functools
import time:      1978 |       1978 |     copyreg
import time:      2677 |      30081 |   re
import time:      2034 |       2034 |   gettext
import time:      3346 |      35460 | argparse
import time:      1489 |       1489 |     _weakrefset
import time:      1957 |       3445 |   weakref
import time:      1738 |       5183 | copy
import time:       208 |        208 |   _csv
import time:       441 |        441 |   io
import time:      2243 |       2892 | csv
import time:       143 |        143 |   _datetime
import time:      1501 |       1643 | datetime
import time:     11677 |      11677 |   _hashlib
import time:       181 |        181 |   _blake2
import time:      2093 |      13950 | hashlib
import time:       152 |        152 |       _json
import time:      2053 |       2205 |     json.scanner
import time:      2516 |       4721 |   json.decoder
import time:      2148 |       2148 |   json.encoder
import time:      2262 |       9130 | json
import time:       865 |        865 |       posix
import time:       727 |        727 |       posix
import time:       369 |       1961 |     posixpath
import time:      1877 |       3837 |   fnmatch
import time:       160 |        160 |   zlib
import time:      1710 |       1710 |       compression
import time:      1966 |       3676 |     compression._common
import time:      3207 |       3207 |     compression._common._streams
import time:      1765 |       1765 |     _bz2
import time:      1686 |      10332 |   bz2
import time:      1489 |       1489 |     _lzma
import time:      1705 |       3193 |   lzma
import time:      1586 |       1586 |     _zstd
import time:      1926 |       1926 |     compression.zstd._zstdfile
import time:      3182 |       6693 |   compression.zstd
import time:      3032 |      27244 | shutil
import time:       118 |        118 |     _locale
import time:      2394 |       2512 |   locale
import time:      2203 |       2203 |   signal
import time:        84 |         84 |     _contextvars
import time:      2441 |       2525 |   threading
import time:      2611 |       2611 |     _py_warnings
import time:      1609 |       4219 |   warnings
import time:      4567 |       4567 |   contextlib
import time:      1073 |       1073 |   fcntl
import time:       136 |        136 |   msvcrt
import time:      2926 |      20157 | subprocess
import time:      1728 |       1728 |   email
import time:      1894 |       1894 |     urllib
import time:       157 |        157 |     math
import time:      4064 |       4064 |     ipaddress
import time:      3412 |       9526 |   urllib.parse
import time:      1819 |       1819 |   email._parseaddr
import time:      3147 |      16218 | email.utils
import time:      2088 |       2088 |   glob
import time:      1028 |       1028 |   pwd
import time:       869 |        869 |   grp
import time:       887 |        887 |     fcntl
import time:       736 |        736 |     posix
import time:      2321 |       3943 |   pathlib._os
import time:      2990 |      10916 | pathlib
import time:      2707 |       2707 |           _ast
import time:      1865 |       4572 |         ast
import time:      2323 |       6895 |       annotationlib
import time:       139 |        139 |           _opcode
import time:      1925 |       1925 |           _opcode_metadata
import time:      1889 |       3951 |         opcode
import time:      3216 |       7167 |       dis
import time:      1531 |       1531 |         importlib
import time:       197 |       1728 |       importlib.machinery
import time:      2156 |       2156 |       linecache
import time:      1607 |       1607 |         token
import time:       111 |        111 |         _tokenize
import time:      4253 |       5970 |       tokenize
import time:      6292 |      30203 |     inspect
import time:      2634 |      32837 |   dataclasses
import time:     19261 |      52098 | _colorize
import time:      2651 |       2651 |     numbers
import time:      2615 |       5266 |   _decimal
import time:      2474 |       7740 | decimal
import time:      3926 |       3926 |   html.entities
import time:      2298 |       6223 | html
import time:      2304 |       2304 |   _markupbase
import time:      5701 |       8004 | html.parser
import time:       112 |        112 |       _bisect
import time:      1351 |       1462 |     bisect
import time:        73 |         73 |     _random
import time:      2404 |       3938 |   random
import time:      2310 |       6248 | tempfile
