scenario,strategy,run_id,period,start_utc,end_exclusive_utc,old_invested_seconds,old_unhedged_seconds,old_invested_fraction,raw_invested_seconds,raw_unhedged_seconds,raw_invested_fraction,invested_seconds,unhedged_seconds,covered_seconds,dust_seconds,dust_only_seconds,no_active_seconds,no_inventory_seconds,calendar_seconds,invested_fraction,delta_invested_seconds,delta_unhedged_seconds,h2_before,h2_after,h2_changed
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,85644240.000,0.7779721733176838810641627543,114537420.000000000,85644240.000000000,0.7779721733176838810641627543,41691120.000000000,11340.000000000,41682240.000000000,85633920.000000000,72846300.000000000,105534480.000000000,32688180.000000000,147225600,0.2831784689619196661450182577,-72846300.000000000,-85632900.000000000,no_favorable,no_favorable,False
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,146966280.000,8188680.000,0.9982386215440792905581637976,146966280.000000000,8188680.000000000,0.9982386215440792905581637976,144587820.000000000,16440.000000000,144579240.000000000,8172720.000000000,2378460.000000000,2637780.000000000,259320.000000000,147225600,0.9820834148408972352634324465,-2378460.000000000,-8172240.000000000,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,85644240.000,0.7779721733176838810641627543,114537420.000000000,85644240.000000000,0.7779721733176838810641627543,41691120.000000000,11340.000000000,41682240.000000000,85633920.000000000,72846300.000000000,105534480.000000000,32688180.000000000,147225600,0.2831784689619196661450182577,-72846300.000000000,-85632900.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,117158280.000,85644720.000,0.7957738328116849243609806990,117158280.000000000,85644720.000000000,0.7957738328116849243609806990,44427120.000000000,11820.000000000,44418540.000000000,85633920.000000000,72731160.000000000,102798480.000000000,30067320.000000000,147225600,0.3017621935315597287428273344,-72731160.000000000,-85632900.000000000,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,146966280.000,8188440.000,0.9982386215440792905581637976,146966280.000000000,8188440.000000000,0.9982386215440792905581637976,144587820.000000000,16200.000000000,144579240.000000000,8172720.000000000,2378460.000000000,2637780.000000000,259320.000000000,147225600,0.9820834148408972352634324465,-2378460.000000000,-8172240.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,146966280.000,8188440.000,0.9982386215440792905581637976,146966280.000000000,8188440.000000000,0.9982386215440792905581637976,144587820.000000000,16200.000000000,144579240.000000000,8172720.000000000,2378460.000000000,2637780.000000000,259320.000000000,147225600,0.9820834148408972352634324465,-2378460.000000000,-8172240.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,85644240.000,0.7779721733176838810641627543,114537420.000000000,85644240.000000000,0.7779721733176838810641627543,41691120.000000000,11340.000000000,41682240.000000000,85633920.000000000,72846300.000000000,105534480.000000000,32688180.000000000,147225600,0.2831784689619196661450182577,-72846300.000000000,-85632900.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,91111860.000,0.7779721733176838810641627543,114537420.000000000,91111860.000000000,0.7779721733176838810641627543,41687160.000000000,11580.000000000,41678100.000000000,91101960.000000000,72850260.000000000,105538440.000000000,32688180.000000000,147225600,0.2831515714658320292123109025,-72850260.000000000,-91100280.000000000,no_favorable,no_favorable,False
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,85776060.000,0.7779721733176838810641627543,114537420.000000000,85776060.000000000,0.7779721733176838810641627543,30267420.000000000,10440.000000000,30259320.000000000,85765860.000000000,84270000.000000000,116958180.000000000,32688180.000000000,147225600,0.2055853058163797600417318727,-84270000.000000000,-85765620.000000000,no_favorable,no_favorable,False
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,146966280.000,15241740.000,0.9982386215440792905581637976,146966280.000000000,15241740.000000000,0.9982386215440792905581637976,144565800.000000000,16260.000000000,144556920.000000000,15226320.000000000,2400480.000000000,2659800.000000000,259320.000000000,147225600,0.9819338484611371935315597287,-2400480.000000000,-15225480.000000000,no_favorable,no_favorable,False
