scenario,strategy,run_id,base_run_id,forecast_evaluation_sha256,h1_summary_sha256,signal_forecasts_sha256,exact_invariance,btc_weight,eth_weight,ignored_identity_fields
BASE_E3,conditional,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,run_dfea4b7ac1475668d5968c97,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,run_ad71d751b20623006c195ff3,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,run_dfea4b7ac1475668d5968c97,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,run_dfea4b7ac1475668d5968c97,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,run_ad71d751b20623006c195ff3,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,run_ad71d751b20623006c195ff3,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,run_ad71d751b20623006c195ff3,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,run_dfea4b7ac1475668d5968c97,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,run_dfea4b7ac1475668d5968c97,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,run_dfea4b7ac1475668d5968c97,571a235ce23c155c1d58da7f3585ac784bb035edccf3d1b8349d039deaa9d4a5,3ceca9ad252c6b0f506437d631e19e8565a17366c544d458cb47a0a089e6eba0,4041e26ee80e58be2663de9218799af338ee1a63a06860d1fa276f2b2555c534,True,0.5,0.5,run_id; strategy/filter only in raw signal projection
