scenario,strategy,run_id,period,symbol,observations,excluded,exclusion_reasons,weight,mae_ewma,mae_no_change
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,BTCUSDT,5090,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0005738673687550344265736146450,0.0007883688661062381786037283772
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,ETHUSDT,5090,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0006859281684077233802725445059,0.0009522955567889761709151788703
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,EQUAL_WEIGHT,10180,44,see asset rows,1,0.0006298977685813789034230795755,0.000870332211447607174759453624
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,BTCUSDT,2190,0,{},0.5,0.0006289535940745395062795205479,0.0008781982522651851738222134977
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,ETHUSDT,2190,0,{},0.5,0.0008478924536525869472219624128,0.001177098409233068060946235352
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,EQUAL_WEIGHT,4380,0,see asset rows,1,0.0007384230238635632267507414805,0.001027648330749126617384224425
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,BTCUSDT,2900,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0005322677710137530043129477738,0.0007205321917310333787663206483
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,ETHUSDT,2900,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0005636172081710850314383289145,0.0007825306440811964332710362172
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,EQUAL_WEIGHT,5800,44,see asset rows,1,0.000547942489592419017875638344,0.000751531417906114906018678433
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,BTCUSDT,1095,0,{},0.5,0.0007383722695559857529445662100,0.001065118819929190527881362311
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,ETHUSDT,1095,0,{},0.5,0.001093934867927324822638273973,0.001552108900476259518368493151
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,EQUAL_WEIGHT,2190,0,see asset rows,1,0.0009161535687416552877914200915,0.001308613860202725023124927731
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,BTCUSDT,1095,0,{},0.5,0.0005195349185930932596144748858,0.0006912776846011798197630646849
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,ETHUSDT,1095,0,{},0.5,0.0006018500393778490718056508528,0.0008020879179898766035239775525
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,EQUAL_WEIGHT,2190,0,see asset rows,1,0.0005606924789854711657100628695,0.0007466828012955282116435211185
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,BTCUSDT,1098,0,{},0.5,0.0007620327403636963496922300035,0.0009242768300233504932302574863
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,ETHUSDT,1098,0,{},0.5,0.0007437248359846636040328086079,0.0009062940543107856617976401093
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,EQUAL_WEIGHT,2196,0,see asset rows,1,0.0007528787881741799768625193055,0.000915285442167068077513948798
