scenario,period,conditional_run_id,conditional_start_utc,conditional_end_exclusive_utc,permanent_run_id,permanent_start_utc,permanent_end_exclusive_utc,start_utc,end_exclusive_utc,conditional_cagr,conditional_sharpe,permanent_sharpe,sharpe_difference,cagr_positive,sharpe_superior,verdict,reason
BASE_E3,2022,run_ad71d751b20623006c195ff3,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0.0,,2.621727629634954,,False,,no_concluyente,undefined_or_nonfinite_conditional_sharpe (zero sample volatility)
BASE_E3,2022-2023,run_ad71d751b20623006c195ff3,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.010813568916779457,3.3374368352976136,4.616517824854036,-1.2790809895564224,True,False,no_favorable,sharpe_not_superior
BASE_E3,2023,run_ad71d751b20623006c195ff3,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.021744071106276852,4.790370676993327,6.076624589697891,-1.286253912704564,True,False,no_favorable,sharpe_not_superior
BASE_E3,2024,run_ad71d751b20623006c195ff3,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,0.0522270351463172,10.458780671296287,11.759986344788732,-1.301205673492445,True,False,no_favorable,sharpe_not_superior
BASE_E3,2024+,run_ad71d751b20623006c195ff3,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.020492334276123285,6.181079222662197,9.61345768430874,-3.432378461646543,True,False,no_favorable,sharpe_not_superior
BASE_E3,2025,run_ad71d751b20623006c195ff3,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,0.003095517442299745,3.291837531193849,13.661006498214906,-10.369168967021057,True,False,no_favorable,sharpe_not_superior
BASE_E3,2026,run_ad71d751b20623006c195ff3,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,-0.000012349773872051244,-0.4357775412356786,6.352469083047746,-6.7882466242834246,False,False,no_favorable,cagr_not_positive; sharpe_not_superior
BASE_E3,full,run_ad71d751b20623006c195ff3,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_dfea4b7ac1475668d5968c97,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.016334619265710986,4.9623712776540545,6.5336323814925095,-1.5712611038384550,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2022,run_d434594cde4077ba6661d7e4,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0.0006381599796696502,2.125640871201156,2.665925094969278,-0.540284223768122,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2022-2023,run_d434594cde4077ba6661d7e4,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.01577868625300072,2.8172038892831583,4.6370629251251385,-1.8198590358419802,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2023,run_d434594cde4077ba6661d7e4,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.03114830186651641,3.9429486275785157,6.0862321042001755,-2.1432834766216598,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2024,run_d434594cde4077ba6661d7e4,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,0.05089901278820367,9.649359891477717,11.738524517526226,-2.089164626048509,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2024+,run_d434594cde4077ba6661d7e4,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.020012241438753624,5.784667492696792,9.601177444137129,-3.816509951440337,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2025,run_d434594cde4077ba6661d7e4,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,0.003107028967548997,3.305184983083818,13.68190844970223,-10.376723466618412,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_DECISION,2026,run_d434594cde4077ba6661d7e4,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,-0.000013560882116923374,-0.4590769439979133,6.32355146163819,-6.7826284056361033,False,False,no_favorable,cagr_not_positive; sharpe_not_superior
BTC_PROMO_DECISION,full,run_d434594cde4077ba6661d7e4,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_a45c9456ea5d541c9ddce187,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.018196414423353898,4.038075708354908,6.543972219536645,-2.505896511181737,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_REALIZADA,2022,run_1ae1cf88ac71b976740edc03,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,run_d3ebbfeb6f98be343782ccbb,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0.0,,2.665925094969278,,False,,no_concluyente,undefined_or_nonfinite_conditional_sharpe (zero sample volatility)
BTC_PROMO_REALIZADA,2022-2023,run_1ae1cf88ac71b976740edc03,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_d3ebbfeb6f98be343782ccbb,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.010813568916779457,3.3374368352976136,4.6370629251251385,-1.2996260898275249,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_REALIZADA,2023,run_1ae1cf88ac71b976740edc03,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_d3ebbfeb6f98be343782ccbb,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.021744071106276852,4.790370676993327,6.0862321042001755,-1.2958614272068485,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_REALIZADA,2024,run_1ae1cf88ac71b976740edc03,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,run_d3ebbfeb6f98be343782ccbb,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,0.0522270351463172,10.458780671296287,11.738524517526226,-1.279743846229939,True,False,no_favorable,sharpe_not_superior
BTC_PROMO_REALIZADA,2024+,run_1ae1cf88ac71b976740edc03,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_d3ebbfeb6f98be343782ccbb,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.020492334276123285,6.181079222662197,9.601177444137129,-3.420098221474932,True,False,no_favorable,sharpe_not_superior
