scenario,period,conditional_run_id,permanent_run_id,verdict_before,verdict_after,changed
BASE_E3,2022,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_concluyente,no_concluyente,False
BASE_E3,2022-2023,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BASE_E3,2023,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BASE_E3,2024,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BASE_E3,2024+,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BASE_E3,2025,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BASE_E3,2026,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BASE_E3,full,run_ad71d751b20623006c195ff3,run_dfea4b7ac1475668d5968c97,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2022,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2022-2023,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2023,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2024,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2024+,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2025,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,2026,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_DECISION,full,run_d434594cde4077ba6661d7e4,run_a45c9456ea5d541c9ddce187,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,2022,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_concluyente,no_concluyente,False
BTC_PROMO_REALIZADA,2022-2023,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,2023,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,2024,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,2024+,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,2025,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,2026,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
BTC_PROMO_REALIZADA,full,run_1ae1cf88ac71b976740edc03,run_d3ebbfeb6f98be343782ccbb,no_favorable,no_favorable,False
FUT4_DECISION,2022,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_concluyente,no_concluyente,False
FUT4_DECISION,2022-2023,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_DECISION,2023,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_DECISION,2024,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_DECISION,2024+,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_DECISION,2025,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_DECISION,2026,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_DECISION,full,run_8f497f6f609b074f796e043f,run_9a4b6b4c853215594e14bd86,no_favorable,no_favorable,False
FUT4_REALIZADA,2022,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_concluyente,no_concluyente,False
FUT4_REALIZADA,2022-2023,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
FUT4_REALIZADA,2023,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
FUT4_REALIZADA,2024,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
FUT4_REALIZADA,2024+,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
FUT4_REALIZADA,2025,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
FUT4_REALIZADA,2026,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
FUT4_REALIZADA,full,run_d17c6848d9a0c5c85249b152,run_edc965655c124abd4318e838,no_favorable,no_favorable,False
MARGEN_2X,2022,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,no_concluyente,no_concluyente,False
MARGEN_2X,2022-2023,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,no_favorable,no_favorable,False
MARGEN_2X,2023,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,no_favorable,no_favorable,False
MARGEN_2X,2024,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,no_favorable,no_favorable,False
MARGEN_2X,2024+,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,no_favorable,no_favorable,False
MARGEN_2X,2025,run_70383794701c4f0fc157b2ed,run_3f5d9cce8ff1c2ba5447e3b6,no_favorable,no_favorable,False
