scenario,strategy,run_id,period,observed_days,valid_days,coverage_complete,opportunity_mean,eligible_fraction,portfolio_cagr,source_run_id,provenance,h3_descriptive
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.016334619265710986,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.010813568916779457,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.020492334276123285,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,365,365,True,0,0,0.0,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.021744071106276852,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.0522270351463172,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2025,365,365,True,0,0,0.003095517442299745,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2026,243,243,True,0,0,-1.2349773872051244e-05,run_d17c6848d9a0c5c85249b152,derivado_invariancia_verificada,contraria
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.03382477331458349,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.030371612394863752,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.036420456461579806,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022,365,365,True,0,0,0.010916010799879581,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.05020164710731656,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.06450887343878318,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2025,365,365,True,0,0,0.027261015716906867,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2026,243,243,True,0,0,0.008869542894801494,run_edc965655c124abd4318e838,derivado_invariancia_verificada,not_used_for_H3_cagr
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.016334619265710986,run_1ae1cf88ac71b976740edc03,observado_en_corrida,contraria
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.010813568916779457,run_1ae1cf88ac71b976740edc03,observado_en_corrida,contraria
