scenario,strategy,run_id,period,metric,value_before,value_after,unchanged
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,scenario,BASE_E3,BASE_E3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,strategy,conditional,conditional,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,run_id,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,period,full,full,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,start_utc,2022-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,end_exclusive_utc,2026-09-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,days,1704,1704,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,coverage_complete,True,True,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,starting_equity_usdt,10000,10000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,final_equity_usdt,10785.76304964716593690000000,10785.76304964716593690000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,net_pnl_usdt,785.76304964716593690000000,785.76304964716593690000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,net_return,0.07857630496471659369000,0.07857630496471659369000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,cagr,0.016334619265710986,0.016334619265710986,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,cagr_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,sharpe,4.9623712776540545,4.9623712776540545,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,sharpe_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,annual_volatility,0.0032662470755764556,0.0032662470755764556,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,max_drawdown,-0.0020616558706701528492637308,-0.0020616558706701528492637308,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,max_drawdown_days,493,493,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,spot_pnl_usdt,2211.193604481400000000000000,2211.193604481400000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,futures_pnl_usdt,-2161.487990000000000000000000,-2161.487990000000000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,funding_usdt,850.9550632121659369000,850.9550632121659369000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,fees_usdt,-114.8976280464,-114.8976280464,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,liquidation_fees_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,slippage_informational_usdt,15.34780638071242939671804124,15.34780638071242939671804124,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,spot_realized_pnl_usdt,2211.210988979846943548434474,2211.210988979846943548434474,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,spot_unrealized_pnl_usdt,-0.017384498446943548434474,-0.017384498446943548434474,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,futures_realized_pnl_usdt,-2161.487989999999999999999999,-2161.487989999999999999999999,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,futures_unrealized_pnl_usdt,-1.023E-24,-1.023E-24,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,reconciliation_residual_usdt,0E-24,0E-24,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,capital_deployed_usdt_daily_mean,2074.621944697141096005307256,2074.621944697141096005307256,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,capital_deployed_usdt_daily_max,10811.783139323008315565031983,10811.783139323008315565031983,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,capital_utilization_daily_mean,0.1980684995507296294809487908,0.1980684995507296294809487908,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,capital_utilization_daily_max,1.0274044222483662865705574630022333774275912665613,1.0274044222483662865705574630022333774275912665613,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,gross_exposure_usdt_daily_mean,2737.391763002225211267605634,2737.391763002225211267605634,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,gross_exposure_usdt_daily_max,14684.3520215261000000,14684.3520215261000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,collateral_usdt_daily_mean,705.7249109386284786344152218,705.7249109386284786344152218,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,collateral_usdt_daily_max,3544.742637206845047924596894,3544.742637206845047924596894,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,debt_usdt_daily_mean,0E-27,0E-27,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,debt_usdt_daily_max,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,orders_submitted,258,258,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,failed_attempts,123,123,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,fills,138,138,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,partial_fills,3,3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,openings,10,10,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,completed_openings,9,9,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,renewals,100,100,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,rebalances,49,49,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,corrections,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,close_requests,98,98,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,margin_close_requests,5,5,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,liquidation_fills,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,blocked_orders,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,turnover_usdt,151394.8450414,151394.8450414,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,maintenance_daily_mean_usdt,7.628296337430747250586854460,7.628296337430747250586854460,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,maintenance_daily_max_usdt,39.136299750000000,39.136299750000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,maintenance_ratio_daily_max,0.03531794991078364508968137174,0.03531794991078364508968137174,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,full,maintenance_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,scenario,BASE_E3,BASE_E3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,strategy,conditional,conditional,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,run_id,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,period,2022-2023,2022-2023,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,start_utc,2022-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,end_exclusive_utc,2024-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,days,730,730,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,coverage_complete,True,True,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,starting_equity_usdt,10000,10000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,final_equity_usdt,10217.44071106276812412970000,10217.44071106276812412970000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,net_pnl_usdt,217.44071106276812412970000,217.44071106276812412970000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,net_return,0.02174407110627681241297,0.02174407110627681241297,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,cagr,0.010813568916779457,0.010813568916779457,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,cagr_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,sharpe,3.3374368352976136,3.3374368352976136,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,sharpe_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,annual_volatility,0.0032242892635432276,0.0032242892635432276,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,max_drawdown,-0.001223820050450,-0.001223820050450,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,max_drawdown_days,206,206,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,spot_pnl_usdt,1285.579227767000000000000000,1285.579227767000000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,futures_pnl_usdt,-1241.311098371979999999999999,-1241.311098371979999999999999,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,funding_usdt,200.8804361967481241297,200.8804361967481241297,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,fees_usdt,-27.7078545290,-27.7078545290,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,liquidation_fees_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,slippage_informational_usdt,3.590470572963450080154911384,3.590470572963450080154911384,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,spot_realized_pnl_usdt,620.6437845934466274456304127,620.6437845934466274456304127,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,spot_unrealized_pnl_usdt,664.935443173553372554369587,664.935443173553372554369587,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,futures_realized_pnl_usdt,-580.8928499999999999999999989,-580.8928499999999999999999989,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,futures_unrealized_pnl_usdt,-660.4182483719799999999999998,-660.4182483719799999999999998,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,reconciliation_residual_usdt,-1E-24,-1E-24,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_deployed_usdt_daily_mean,1051.040075854035127333250440,1051.040075854035127333250440,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_deployed_usdt_daily_max,9667.791514294600000000000000,9667.791514294600000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_utilization_daily_mean,0.1042204491765538707102810628,0.1042204491765538707102810628,True
