scenario,strategy,run_id,status,engine_status,engine_code_hash,run_manifest_sha256,positions_rows,postprocessor_version
BASE_E3,conditional,run_ad71d751b20623006c195ff3,reutilizado_verificado,complete,8fcff8b7c1cd00bbc637f3e144db408422eeb11d4504f9afa7e4a5d813cc17c0,a9510b7ad3a5435e83d062e561507ec0b4f118bceca83719da6162d5cc55209f,3800,exposure_h2_v2
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,reutilizado_verificado,complete,8fcff8b7c1cd00bbc637f3e144db408422eeb11d4504f9afa7e4a5d813cc17c0,d37bb1781a7402b33ef6b006b8df8f44635e84c238da0bbd769894b00ee40261,4128,exposure_h2_v2
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,ee0c0035127b6dc83a192d7e53d479e200ee0d12f0e3c8e45445d47632778bad,3800,exposure_h2_v2
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,1352d1b59138add4c14587887b75144fc9a23944df165e67479138dff1d764de,3842,exposure_h2_v2
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,de8d627dab7bb908948e8e666419084dd5b73ad80c6a1b915a33c912bf62953d,4112,exposure_h2_v2
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,a1668fe49627fa258363394b1a6733aae74c67e1ae59a9c5e2e93a40e3e0e45c,4112,exposure_h2_v2
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,03ce44c6fdcc72b5ceeefd688d9fc6967a0db0d6b5aa7acb9a5587f6f4b3ec05,3800,exposure_h2_v2
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,cd7067a92739cd55221bc9cec0fb819f0a37eba6e46a1bc7125f7bda5801c916,3899,exposure_h2_v2
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,0c24c059518e3de36125c142680f98d686068d3793a63f7ee121e64c3394a623,3747,exposure_h2_v2
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,29ae8e7e0862a22875bf4e6563d16bbb4d334c4963384897097a89df12f1f9dd,4158,exposure_h2_v2
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,894cf8bf272547cf8f5162f7cafdea3f01739f5ac5a8d620f5a407fd147886f6,4112,exposure_h2_v2
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,ejecutado,complete,314631c24b36bbee58eb55a9b17505af656de453b60d1496c067e6f30b33de97,d1ae0f2000074f51e03a6bd354310a3b86d992955b9852880f925132c49d9f94,4112,exposure_h2_v2
